question_hash,active,topic,question_type,question_style,tense,question,answer,difficulty,marks,weightage,smart_syllabus,source_reference
q_9_eng_b_urdu_eng_0335,1,ENGLISH_B | Urdu to English Translation | Has / Have Sentences | Expanded Mind-Sharp Practice,Long,translate_to_english,Has / Have Sentences,میرے پاس ایک قلم ہے۔,I have a pen.,Easy,1,PRO,1,Expanded Mind-Sharp Practice
q_9_eng_b_urdu_eng_0336,1,ENGLISH_B | Urdu to English Translation | Has / Have Sentences | Expanded Mind-Sharp Practice,Long,translate_to_english,Has / Have Sentences,اس کی دو بہنیں ہیں۔,She has two sisters.,Easy,1,PRO,1,Expanded Mind-Sharp Practice
q_9_eng_b_urdu_eng_0337,1,ENGLISH_B | Urdu to English Translation | Has / Have Sentences | Expanded Mind-Sharp Practice,Long,translate_to_english,Has / Have Sentences,میرے والد کے پاس ایک نئی گاڑی ہے۔,My father has a new car.,Easy,1,PRO,1,Expanded Mind-Sharp Practice
q_9_eng_b_urdu_eng_0338,1,ENGLISH_B | Urdu to English Translation | Has / Have Sentences | Expanded Mind-Sharp Practice,Long,translate_to_english,Has / Have Sentences,اس کے پاس سائیکل نہیں ہے۔,He does not have a bicycle.,Easy,1,PRO,1,Expanded Mind-Sharp Practice
q_9_eng_b_urdu_eng_0339,1,ENGLISH_B | Urdu to English Translation | Has / Have Sentences | Expanded Mind-Sharp Practice,Long,translate_to_english,Has / Have Sentences,کیا تمہارے پاس کوئی سوال ہے؟,Do you have any question?,Easy,1,PRO,1,Expanded Mind-Sharp Practice
q_9_eng_b_urdu_eng_0340,1,ENGLISH_B | Urdu to English Translation | Has / Have Sentences | Expanded Mind-Sharp Practice,Long,translate_to_english,Has / Have Sentences,کیا اس کے پاس موبائل فون ہے؟,Does she have a mobile phone?,Easy,1,PRO,1,Expanded Mind-Sharp Practice
q_9_eng_b_urdu_eng_0341,1,ENGLISH_B | Urdu to English Translation | Has / Have Sentences | Expanded Mind-Sharp Practice,Long,translate_to_english,Has / Have Sentences,سکول میں ایک بڑا ہال ہے۔,The school has a large hall.,Easy,1,PRO,1,Expanded Mind-Sharp Practice
sep_9_eng_b_urdu_eng_016,1,ENGLISH_B | Urdu to English Translation | Had Sentences | Heading,Topic,topic_separator,Had Sentences,,,,,,1,
sep_9_eng_b_urdu_eng_017,1,ENGLISH_B | Urdu to English Translation | Had Sentences | Mind-Sharp Practice,Topic,topic_separator,Had Sentences,,,,,,1,
q_9_eng_b_urdu_eng_0069,1,ENGLISH_B | Urdu to English Translation | Had Sentences | Board-Pattern Practice,Long,translate_to_english,Had Sentences,میرے پاس ایک پرانی گھڑی تھی۔,I had an old watch.,Easy,1,PRO,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0070,1,ENGLISH_B | Urdu to English Translation | Had Sentences | Board-Pattern Practice,Long,translate_to_english,Had Sentences,اس کے پاس کافی رقم تھی۔,He had enough money.,Easy,1,PRO,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0071,1,ENGLISH_B | Urdu to English Translation | Had Sentences | Board-Pattern Practice,Long,translate_to_english,Had Sentences,ہمارے پاس وقت نہیں تھا۔,We had no time.,Easy,1,PRO,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0072,1,ENGLISH_B | Urdu to English Translation | Had Sentences | Board-Pattern Practice,Long,translate_to_english,Had Sentences,کیا تمہارے پاس نقشہ تھا؟,Did you have a map?,Medium,1,ULTRA,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0073,1,ENGLISH_B | Urdu to English Translation | Had Sentences | Board-Pattern Practice,Long,translate_to_english,Had Sentences,اس کے تین بیٹے تھے۔,He had three sons.,Easy,1,PRO,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0074,1,ENGLISH_B | Urdu to English Translation | Had Sentences | Board-Pattern Practice,Long,translate_to_english,Had Sentences,میرے پاس کل چھٹی تھی۔,I had a holiday yesterday.,Easy,1,PRO,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0075,1,ENGLISH_B | Urdu to English Translation | Had Sentences | Board-Pattern Practice,Long,translate_to_english,Had Sentences,ان کے پاس رہنے کے لیے گھر نہیں تھا۔,They had no house to live in.,Medium,1,ULTRA,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0076,1,ENGLISH_B | Urdu to English Translation | Had Sentences | Board-Pattern Practice,Long,translate_to_english,Had Sentences,اس کمرے میں دو کھڑکیاں تھیں۔,This room had two windows.,Easy,1,PRO,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0077,1,ENGLISH_B | Urdu to English Translation | Had Sentences | Board-Pattern Practice,Long,translate_to_english,Had Sentences,کیا اس کے پاس کوئی ثبوت تھا؟,Did he have any evidence?,Medium,1,ULTRA,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0078,1,ENGLISH_B | Urdu to English Translation | Had Sentences | Board-Pattern Practice,Long,translate_to_english,Had Sentences,ہمارے پاس ایک اچھا موقع تھا۔,We had a good opportunity.,Easy,1,PRO,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0079,1,ENGLISH_B | Urdu to English Translation | Had Sentences | Board-Pattern Practice,Long,translate_to_english,Had Sentences,اس کے پاس جواب دینے کی ہمت نہیں تھی۔,He did not have the courage to answer.,Hard,1,ELITE,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0080,1,ENGLISH_B | Urdu to English Translation | Had Sentences | Board-Pattern Practice,Long,translate_to_english,Had Sentences,میرے پاس تم سے ملنے کا وقت نہیں تھا۔,I did not have time to meet you.,Medium,1,ULTRA,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0342,1,ENGLISH_B | Urdu to English Translation | Had Sentences | Expanded Mind-Sharp Practice,Long,translate_to_english,Had Sentences,میرے پاس ایک گھڑی تھی۔,I had a watch.,Easy,1,PRO,1,Expanded Mind-Sharp Practice
q_9_eng_b_urdu_eng_0343,1,ENGLISH_B | Urdu to English Translation | Had Sentences | Expanded Mind-Sharp Practice,Long,translate_to_english,Had Sentences,ان کے پاس پیسے نہیں تھے۔,They had no money.,Easy,1,PRO,1,Expanded Mind-Sharp Practice
q_9_eng_b_urdu_eng_0344,1,ENGLISH_B | Urdu to English Translation | Had Sentences | Expanded Mind-Sharp Practice,Long,translate_to_english,Had Sentences,اس کے سر میں درد تھا۔,She had a headache.,Easy,1,PRO,1,Expanded Mind-Sharp Practice
q_9_eng_b_urdu_eng_0345,1,ENGLISH_B | Urdu to English Translation | Had Sentences | Expanded Mind-Sharp Practice,Long,translate_to_english,Had Sentences,کیا اس کے پاس ٹکٹ تھا؟,Did he have a ticket?,Easy,1,PRO,1,Expanded Mind-Sharp Practice
q_9_eng_b_urdu_eng_0346,1,ENGLISH_B | Urdu to English Translation | Had Sentences | Expanded Mind-Sharp Practice,Long,translate_to_english,Had Sentences,ہمارے پاس کافی کھانا تھا۔,We had enough food.,Easy,1,PRO,1,Expanded Mind-Sharp Practice
q_9_eng_b_urdu_eng_0347,1,ENGLISH_B | Urdu to English Translation | Had Sentences | Expanded Mind-Sharp Practice,Long,translate_to_english,Had Sentences,گاؤں میں ایک چھوٹا سکول تھا۔,The village had a small school.,Easy,1,PRO,1,Expanded Mind-Sharp Practice
q_9_eng_b_urdu_eng_0348,1,ENGLISH_B | Urdu to English Translation | Had Sentences | Expanded Mind-Sharp Practice,Long,translate_to_english,Had Sentences,بچے کو بخار تھا۔,The child had a fever.,Easy,1,PRO,1,Expanded Mind-Sharp Practice
q_9_eng_b_urdu_eng_0349,1,ENGLISH_B | Urdu to English Translation | Had Sentences | Expanded Mind-Sharp Practice,Long,translate_to_english,Had Sentences,تمہارے پاس چھتری کیوں نہیں تھی؟,Why did you not have an umbrella?,Easy,1,PRO,1,Expanded Mind-Sharp Practice
sep_9_eng_b_urdu_eng_018,1,ENGLISH_B | Urdu to English Translation | Present Indefinite Tense | Heading,Topic,topic_separator,Present Indefinite Tense,,,,,,1,
sep_9_eng_b_urdu_eng_019,1,ENGLISH_B | Urdu to English Translation | Present Indefinite Tense | Past Paper,Topic,topic_separator,Present Indefinite Tense,,,,,,1,
q_9_eng_b_urdu_eng_0081,1,ENGLISH_B | Urdu to English Translation | Present Indefinite Tense | Past Paper | 2013,Long,translate_to_english,Present Indefinite Tense,آپ اپنی غلطی کو تسلیم نہیں کرتے ہیں۔,You do not admit your mistake.,Medium,1,ULTRA,1,Past Paper | 2013
q_9_eng_b_urdu_eng_0082,1,ENGLISH_B | Urdu to English Translation | Present Indefinite Tense | Past Paper | 2014,Long,translate_to_english,Present Indefinite Tense,آپ شام کو سیر کے لیے نہیں جاتے۔,You do not go for a walk in the evening.,Medium,1,ULTRA,1,Past Paper | 2014
q_9_eng_b_urdu_eng_0083,1,ENGLISH_B | Urdu to English Translation | Present Indefinite Tense | Past Paper | 2013,Long,translate_to_english,Present Indefinite Tense,اسلم عید پر نئے جوتے خریدتا ہے۔,Aslam buys new shoes on Eid.,Medium,1,ULTRA,1,Past Paper | 2013
q_9_eng_b_urdu_eng_0084,1,ENGLISH_B | Urdu to English Translation | Present Indefinite Tense | Past Paper | 2013 Evening,Long,translate_to_english,Present Indefinite Tense,خدا ان کی مدد کرتا ہے جو اپنی مدد آپ کرتے ہیں۔,God helps those who help themselves.,Medium,1,ULTRA,1,Past Paper | 2013 Evening
q_9_eng_b_urdu_eng_0085,1,ENGLISH_B | Urdu to English Translation | Present Indefinite Tense | Past Paper | 2023,Long,translate_to_english,Present Indefinite Tense,دانت صبح کو صاف کیے جاتے ہیں۔,The teeth are cleaned in the morning.,Medium,1,ULTRA,1,Past Paper | 2023
q_9_eng_b_urdu_eng_0086,1,ENGLISH_B | Urdu to English Translation | Present Indefinite Tense | Past Paper | 2015,Long,translate_to_english,Present Indefinite Tense,مرغیاں سارا سال انڈے دیتی ہیں۔,Hens lay eggs throughout the year.,Medium,1,ULTRA,1,Past Paper | 2015
q_9_eng_b_urdu_eng_0087,1,ENGLISH_B | Urdu to English Translation | Present Indefinite Tense | Past Paper | 2023 Evening,Long,translate_to_english,Present Indefinite Tense,میں تیرنا جانتا ہوں۔,I know how to swim.,Medium,1,ULTRA,1,Past Paper | 2023 Evening
q_9_eng_b_urdu_eng_0088,1,ENGLISH_B | Urdu to English Translation | Present Indefinite Tense | Past Paper | 2014,Long,translate_to_english,Present Indefinite Tense,نسیمہ ہمیشہ سچ بولتی ہے۔,Nasima always speaks the truth.,Medium,1,ULTRA,1,Past Paper | 2014
q_9_eng_b_urdu_eng_0089,1,ENGLISH_B | Urdu to English Translation | Present Indefinite Tense | Past Paper | 2020,Long,translate_to_english,Present Indefinite Tense,وہ اپنی آمدن سے زیادہ کیوں خرچ کرتا ہے؟,Why does he spend more than his income?,Hard,1,ULTRA,1,Past Paper | 2020
q_9_eng_b_urdu_eng_0090,1,ENGLISH_B | Urdu to English Translation | Present Indefinite Tense | Past Paper | 2023 Evening,Long,translate_to_english,Present Indefinite Tense,وہ اپنے گناہ پر نہیں پچھتاتا ہے۔,He does not repent of his sin.,Medium,1,ULTRA,1,Past Paper | 2023 Evening
q_9_eng_b_urdu_eng_0091,1,ENGLISH_B | Urdu to English Translation | Present Indefinite Tense | Past Paper | 2017 Evening,Long,translate_to_english,Present Indefinite Tense,وہ باقاعدہ ورزش نہیں کرتا ہے۔,He does not take exercise regularly.,Medium,1,ULTRA,1,Past Paper | 2017 Evening
q_9_eng_b_urdu_eng_0092,1,ENGLISH_B | Urdu to English Translation | Present Indefinite Tense | Past Paper | 2022 Evening,Long,translate_to_english,Present Indefinite Tense,وہ کسی سے نفرت نہیں کرتا ہے۔,He does not hate anyone.,Medium,1,ULTRA,1,Past Paper | 2022 Evening
q_9_eng_b_urdu_eng_0093,1,ENGLISH_B | Urdu to English Translation | Present Indefinite Tense | Past Paper | 2015,Long,translate_to_english,Present Indefinite Tense,وہ گناہ پر نہیں پچھتاتا ہے۔,He does not repent of his sin.,Medium,1,ULTRA,1,Past Paper | 2015
q_9_eng_b_urdu_eng_0094,1,ENGLISH_B | Urdu to English Translation | Present Indefinite Tense | Past Paper | 2015 Evening,Long,translate_to_english,Present Indefinite Tense,پرندے کب چہچہاتے ہیں؟,When do birds chirp?,Hard,1,ULTRA,1,Past Paper | 2015 Evening
q_9_eng_b_urdu_eng_0095,1,ENGLISH_B | Urdu to English Translation | Present Indefinite Tense | Past Paper | 2018,Long,translate_to_english,Present Indefinite Tense,ڈاکٹر مریض کو آرام کا مشورہ دیتا ہے۔,The doctor advises the patient to take rest.,Medium,1,ULTRA,1,Past Paper | 2018
q_9_eng_b_urdu_eng_0096,1,ENGLISH_B | Urdu to English Translation | Present Indefinite Tense | Past Paper | 2013,Long,translate_to_english,Present Indefinite Tense,کیا بچے چڑیا گھر کی سیر سے لطف اٹھاتے ہیں؟,Do the children enjoy a visit to the zoo?,Hard,1,ULTRA,1,Past Paper | 2013
q_9_eng_b_urdu_eng_0097,1,ENGLISH_B | Urdu to English Translation | Present Indefinite Tense | Past Paper | 2013,Long,translate_to_english,Present Indefinite Tense,گھوڑے کے چار سم ہوتے ہیں۔,A horse has four hoofs.,Medium,1,ULTRA,1,Past Paper | 2013
q_9_eng_b_urdu_eng_0098,1,"ENGLISH_B | Urdu to English Translation | Present Indefinite Tense | Past Paper | 2016, 2023",Long,translate_to_english,Present Indefinite Tense,ہم ہر روز اخبار پڑھتے ہیں۔,We read the newspaper every day.,Medium,1,ELITE,1,"Past Paper | 2016, 2023"
sep_9_eng_b_urdu_eng_020,1,ENGLISH_B | Urdu to English Translation | Present Indefinite Tense | Mind-Sharp Practice,Topic,topic_separator,Present Indefinite Tense,,,,,,1,
q_9_eng_b_urdu_eng_0099,1,ENGLISH_B | Urdu to English Translation | Present Indefinite Tense | Board-Pattern Practice,Long,translate_to_english,Present Indefinite Tense,میں روزانہ صبح جلدی اٹھتا ہوں۔,I get up early every morning.,Easy,1,PRO,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0100,1,ENGLISH_B | Urdu to English Translation | Present Indefinite Tense | Board-Pattern Practice,Long,translate_to_english,Present Indefinite Tense,وہ ہمیشہ سچ بولتی ہے۔,She always speaks the truth.,Easy,1,PRO,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0101,1,ENGLISH_B | Urdu to English Translation | Present Indefinite Tense | Board-Pattern Practice,Long,translate_to_english,Present Indefinite Tense,بچے شام کو کھیلتے ہیں۔,The children play in the evening.,Easy,1,PRO,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0102,1,ENGLISH_B | Urdu to English Translation | Present Indefinite Tense | Board-Pattern Practice,Long,translate_to_english,Present Indefinite Tense,ہم اپنے اساتذہ کا احترام کرتے ہیں۔,We respect our teachers.,Easy,1,PRO,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0103,1,ENGLISH_B | Urdu to English Translation | Present Indefinite Tense | Board-Pattern Practice,Long,translate_to_english,Present Indefinite Tense,سورج مشرق سے نکلتا ہے۔,The sun rises in the east.,Easy,1,PRO,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0104,1,ENGLISH_B | Urdu to English Translation | Present Indefinite Tense | Board-Pattern Practice,Long,translate_to_english,Present Indefinite Tense,وہ چائے نہیں پیتا۔,He does not drink tea.,Easy,1,PRO,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0105,1,ENGLISH_B | Urdu to English Translation | Present Indefinite Tense | Board-Pattern Practice,Long,translate_to_english,Present Indefinite Tense,کیا تم انگریزی سمجھتے ہو؟,Do you understand English?,Easy,1,PRO,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0106,1,ENGLISH_B | Urdu to English Translation | Present Indefinite Tense | Board-Pattern Practice,Long,translate_to_english,Present Indefinite Tense,وہ سکول کب جاتی ہے؟,When does she go to school?,Medium,1,ULTRA,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0107,1,ENGLISH_B | Urdu to English Translation | Present Indefinite Tense | Board-Pattern Practice,Long,translate_to_english,Present Indefinite Tense,محنتی طالب علم وقت ضائع نہیں کرتے۔,Hardworking students do not waste time.,Medium,1,ULTRA,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0108,1,ENGLISH_B | Urdu to English Translation | Present Indefinite Tense | Board-Pattern Practice,Long,translate_to_english,Present Indefinite Tense,کون اس کمرے کو صاف کرتا ہے؟,Who cleans this room?,Medium,1,ULTRA,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0109,1,ENGLISH_B | Urdu to English Translation | Present Indefinite Tense | Board-Pattern Practice,Long,translate_to_english,Present Indefinite Tense,اچھی کتابیں ہماری رہنمائی کرتی ہیں۔,Good books guide us.,Easy,1,PRO,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0110,1,ENGLISH_B | Urdu to English Translation | Present Indefinite Tense | Board-Pattern Practice,Long,translate_to_english,Present Indefinite Tense,کیا تم روزانہ اخبار پڑھتے ہو؟,Do you read the newspaper daily?,Easy,1,PRO,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0350,1,ENGLISH_B | Urdu to English Translation | Present Indefinite Tense | Expanded Mind-Sharp Practice,Long,translate_to_english,Present Indefinite Tense,میرا بھائی ہر روز اخبار پڑھتا ہے۔,My brother reads the newspaper every day.,Easy,1,PRO,1,Expanded Mind-Sharp Practice
q_9_eng_b_urdu_eng_0351,1,ENGLISH_B | Urdu to English Translation | Present Indefinite Tense | Expanded Mind-Sharp Practice,Long,translate_to_english,Present Indefinite Tense,پرندے صبح چہچہاتے ہیں۔,Birds chirp in the morning.,Easy,1,PRO,1,Expanded Mind-Sharp Practice
q_9_eng_b_urdu_eng_0352,1,ENGLISH_B | Urdu to English Translation | Present Indefinite Tense | Expanded Mind-Sharp Practice,Long,translate_to_english,Present Indefinite Tense,ہم بڑوں کا احترام کرتے ہیں۔,We respect our elders.,Easy,1,PRO,1,Expanded Mind-Sharp Practice
q_9_eng_b_urdu_eng_0353,1,ENGLISH_B | Urdu to English Translation | Present Indefinite Tense | Expanded Mind-Sharp Practice,Long,translate_to_english,Present Indefinite Tense,یہ دکان نو بجے کھلتی ہے۔,This shop opens at nine o’clock.,Easy,1,PRO,1,Expanded Mind-Sharp Practice
q_9_eng_b_urdu_eng_0354,1,ENGLISH_B | Urdu to English Translation | Present Indefinite Tense | Expanded Mind-Sharp Practice,Long,translate_to_english,Present Indefinite Tense,کیا تم روزانہ انگریزی بولتے ہو؟,Do you speak English every day?,Easy,1,PRO,1,Expanded Mind-Sharp Practice
sep_9_eng_b_urdu_eng_021,1,ENGLISH_B | Urdu to English Translation | Present Continuous Tense | Heading,Topic,topic_separator,Present Continuous Tense,,,,,,1,
sep_9_eng_b_urdu_eng_022,1,ENGLISH_B | Urdu to English Translation | Present Continuous Tense | Past Paper,Topic,topic_separator,Present Continuous Tense,,,,,,1,
q_9_eng_b_urdu_eng_0111,1,ENGLISH_B | Urdu to English Translation | Present Continuous Tense | Past Paper | 2020,Long,translate_to_english,Present Continuous Tense,آپ کی درخواست پر غور کیا جا رہا ہے۔,Your application is being considered.,Medium,1,ULTRA,1,Past Paper | 2020
q_9_eng_b_urdu_eng_0112,1,ENGLISH_B | Urdu to English Translation | Present Continuous Tense | Past Paper | 2023,Long,translate_to_english,Present Continuous Tense,بوندا باندی ہو رہی ہے۔,It is drizzling.,Medium,1,ULTRA,1,Past Paper | 2023
q_9_eng_b_urdu_eng_0113,1,ENGLISH_B | Urdu to English Translation | Present Continuous Tense | Past Paper | 2020,Long,translate_to_english,Present Continuous Tense,فیس یہاں وصول نہیں کی جا رہی ہے۔,The fee is not being collected here.,Hard,1,ULTRA,1,Past Paper | 2020
q_9_eng_b_urdu_eng_0114,1,ENGLISH_B | Urdu to English Translation | Present Continuous Tense | Past Paper | 2014,Long,translate_to_english,Present Continuous Tense,میں اپنی گھڑی تلاش کر رہا ہوں۔,I am looking for my watch.,Medium,1,ULTRA,1,Past Paper | 2014
q_9_eng_b_urdu_eng_0115,1,"ENGLISH_B | Urdu to English Translation | Present Continuous Tense | Past Paper | 2013 Evening, 2015",Long,translate_to_english,Present Continuous Tense,پاکستان دن دوگنی رات چوگنی ترقی کر رہا ہے۔,Pakistan is progressing by leaps and bounds.,Medium,1,ELITE,1,"Past Paper | 2013 Evening, 2015"
q_9_eng_b_urdu_eng_0116,1,ENGLISH_B | Urdu to English Translation | Present Continuous Tense | Past Paper | 2018 Evening,Long,translate_to_english,Present Continuous Tense,چولہے سے دھواں اٹھ رہا ہے۔,Smoke is rising from the stove.,Medium,1,ULTRA,1,Past Paper | 2018 Evening
q_9_eng_b_urdu_eng_0117,1,ENGLISH_B | Urdu to English Translation | Present Continuous Tense | Past Paper | 2015,Long,translate_to_english,Present Continuous Tense,کیا اولے پڑ رہے ہیں؟,Is it hailing?,Hard,1,ULTRA,1,Past Paper | 2015
q_9_eng_b_urdu_eng_0118,1,ENGLISH_B | Urdu to English Translation | Present Continuous Tense | Past Paper | 2016,Long,translate_to_english,Present Continuous Tense,کیا بچہ سو رہا ہے؟,Is the child sleeping?,Hard,1,ULTRA,1,Past Paper | 2016
q_9_eng_b_urdu_eng_0119,1,"ENGLISH_B | Urdu to English Translation | Present Continuous Tense | Past Paper | 2015, 2018",Long,translate_to_english,Present Continuous Tense,کیا دکاندار گاہک سے زیادہ پیسے وصول کر رہا ہے؟,Is the shopkeeper charging the customer more money?,Hard,1,ELITE,1,"Past Paper | 2015, 2018"
sep_9_eng_b_urdu_eng_023,1,ENGLISH_B | Urdu to English Translation | Present Continuous Tense | Mind-Sharp Practice,Topic,topic_separator,Present Continuous Tense,,,,,,1,
q_9_eng_b_urdu_eng_0120,1,ENGLISH_B | Urdu to English Translation | Present Continuous Tense | Board-Pattern Practice,Long,translate_to_english,Present Continuous Tense,میں ایک خط لکھ رہا ہوں۔,I am writing a letter.,Easy,1,PRO,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0121,1,ENGLISH_B | Urdu to English Translation | Present Continuous Tense | Board-Pattern Practice,Long,translate_to_english,Present Continuous Tense,وہ کھانا پکا رہی ہے۔,She is cooking food.,Easy,1,PRO,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0122,1,ENGLISH_B | Urdu to English Translation | Present Continuous Tense | Board-Pattern Practice,Long,translate_to_english,Present Continuous Tense,بچے میدان میں کھیل رہے ہیں۔,The children are playing in the field.,Easy,1,PRO,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0123,1,ENGLISH_B | Urdu to English Translation | Present Continuous Tense | Board-Pattern Practice,Long,translate_to_english,Present Continuous Tense,ہم امتحان کی تیاری کر رہے ہیں۔,We are preparing for the examination.,Easy,1,PRO,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0124,1,ENGLISH_B | Urdu to English Translation | Present Continuous Tense | Board-Pattern Practice,Long,translate_to_english,Present Continuous Tense,وہ آج سکول نہیں جا رہا ہے۔,He is not going to school today.,Easy,1,PRO,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0125,1,ENGLISH_B | Urdu to English Translation | Present Continuous Tense | Board-Pattern Practice,Long,translate_to_english,Present Continuous Tense,کیا بارش ہو رہی ہے؟,Is it raining?,Easy,1,PRO,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0126,1,ENGLISH_B | Urdu to English Translation | Present Continuous Tense | Board-Pattern Practice,Long,translate_to_english,Present Continuous Tense,تم کیوں ہنس رہے ہو؟,Why are you laughing?,Medium,1,ULTRA,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0127,1,ENGLISH_B | Urdu to English Translation | Present Continuous Tense | Board-Pattern Practice,Long,translate_to_english,Present Continuous Tense,استاد سبق سمجھا رہا ہے۔,The teacher is explaining the lesson.,Easy,1,PRO,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0128,1,ENGLISH_B | Urdu to English Translation | Present Continuous Tense | Board-Pattern Practice,Long,translate_to_english,Present Continuous Tense,کون دروازہ کھول رہا ہے؟,Who is opening the door?,Medium,1,ULTRA,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0129,1,ENGLISH_B | Urdu to English Translation | Present Continuous Tense | Board-Pattern Practice,Long,translate_to_english,Present Continuous Tense,سڑک کی مرمت کی جا رہی ہے۔,The road is being repaired.,Hard,1,ELITE,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0130,1,ENGLISH_B | Urdu to English Translation | Present Continuous Tense | Board-Pattern Practice,Long,translate_to_english,Present Continuous Tense,میں اپنی کتاب تلاش کر رہا ہوں۔,I am looking for my book.,Easy,1,PRO,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0131,1,ENGLISH_B | Urdu to English Translation | Present Continuous Tense | Board-Pattern Practice,Long,translate_to_english,Present Continuous Tense,کیا وہ تمہارا انتظار کر رہے ہیں؟,Are they waiting for you?,Medium,1,ULTRA,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0355,1,ENGLISH_B | Urdu to English Translation | Present Continuous Tense | Expanded Mind-Sharp Practice,Long,translate_to_english,Present Continuous Tense,علی خط لکھ رہا ہے۔,Ali is writing a letter.,Medium,1,ULTRA,1,Expanded Mind-Sharp Practice
q_9_eng_b_urdu_eng_0356,1,ENGLISH_B | Urdu to English Translation | Present Continuous Tense | Expanded Mind-Sharp Practice,Long,translate_to_english,Present Continuous Tense,بچے صحن میں دوڑ رہے ہیں۔,The children are running in the courtyard.,Medium,1,ULTRA,1,Expanded Mind-Sharp Practice
q_9_eng_b_urdu_eng_0357,1,ENGLISH_B | Urdu to English Translation | Present Continuous Tense | Expanded Mind-Sharp Practice,Long,translate_to_english,Present Continuous Tense,وہ اپنے کپڑے استری کر رہی ہے۔,She is ironing her clothes.,Medium,1,ULTRA,1,Expanded Mind-Sharp Practice
q_9_eng_b_urdu_eng_0358,1,ENGLISH_B | Urdu to English Translation | Present Continuous Tense | Expanded Mind-Sharp Practice,Long,translate_to_english,Present Continuous Tense,ہم نئی کتابیں خرید رہے ہیں۔,We are buying new books.,Medium,1,ULTRA,1,Expanded Mind-Sharp Practice
q_9_eng_b_urdu_eng_0359,1,ENGLISH_B | Urdu to English Translation | Present Continuous Tense | Expanded Mind-Sharp Practice,Long,translate_to_english,Present Continuous Tense,بارش ہو رہی ہے۔,It is raining.,Medium,1,ULTRA,1,Expanded Mind-Sharp Practice
q_9_eng_b_urdu_eng_0360,1,ENGLISH_B | Urdu to English Translation | Present Continuous Tense | Expanded Mind-Sharp Practice,Long,translate_to_english,Present Continuous Tense,استاد سبق سمجھا رہے ہیں۔,The teacher is explaining the lesson.,Medium,1,ULTRA,1,Expanded Mind-Sharp Practice
q_9_eng_b_urdu_eng_0361,1,ENGLISH_B | Urdu to English Translation | Present Continuous Tense | Expanded Mind-Sharp Practice,Long,translate_to_english,Present Continuous Tense,میں ٹی وی نہیں دیکھ رہا ہوں۔,I am not watching television.,Medium,1,ULTRA,1,Expanded Mind-Sharp Practice
q_9_eng_b_urdu_eng_0362,1,ENGLISH_B | Urdu to English Translation | Present Continuous Tense | Expanded Mind-Sharp Practice,Long,translate_to_english,Present Continuous Tense,لڑکیاں شور نہیں کر رہی ہیں۔,The girls are not making noise.,Medium,1,ULTRA,1,Expanded Mind-Sharp Practice
q_9_eng_b_urdu_eng_0363,1,ENGLISH_B | Urdu to English Translation | Present Continuous Tense | Expanded Mind-Sharp Practice,Long,translate_to_english,Present Continuous Tense,کیا تم میری بات سن رہے ہو؟,Are you listening to me?,Medium,1,ULTRA,1,Expanded Mind-Sharp Practice
q_9_eng_b_urdu_eng_0364,1,ENGLISH_B | Urdu to English Translation | Present Continuous Tense | Expanded Mind-Sharp Practice,Long,translate_to_english,Present Continuous Tense,وہ کیوں رو رہی ہے؟,Why is she crying?,Medium,1,ULTRA,1,Expanded Mind-Sharp Practice
