question_hash,active,topic,bloom_level,question,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
q_9_isl_b2_mcq_001,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXERCISE DIRECT | عقیدہ توحید,Remember,توحید کا لغوی معنی ہے:,ایک بنانا,اطاعت کرنا,حدود مقرر کرنا,برابری کرنا,A | ایک بنانا,Medium,1,ELITE,1
q_9_isl_b2_mcq_074,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXTRA IMPORTANT | عقیدہ آخرت,Remember,حوض کوثر کا تعلق ہے:,آخرت سے,زکوٰۃ سے,حج کے احرام سے,اذان سے,A | آخرت سے,Medium,1,ULTRA,1
q_9_isl_b2_mcq_075,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXTRA IMPORTANT | عقیدہ آخرت,Remember,عقیدہ آخرت انسان میں پیدا کرتا ہے:,جوابدہی کا احساس,غفلت,غرور,بے عملی,A | جوابدہی کا احساس,Medium,1,ULTRA,1
q_9_isl_b2_mcq_076,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXTRA IMPORTANT | نماز,Remember,روزانہ فرض نمازیں ہیں:,پانچ,تین,سات,نو,A | پانچ,Medium,1,ULTRA,1
q_9_isl_b2_mcq_077,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXTRA IMPORTANT | نماز,Remember,نماز روکتی ہے:,فحشاء و منکر سے,علم سے,محنت سے,رزق سے,A | فحشاء و منکر سے,Medium,1,ULTRA,1
q_9_isl_b2_mcq_078,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXTRA IMPORTANT | نماز,Remember,باجماعت نماز کا بڑا فائدہ ہے:,اتحاد و نظم,تنہائی,غفلت,تکبر,A | اتحاد و نظم,Medium,1,ULTRA,1
q_9_isl_b2_mcq_079,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXTRA IMPORTANT | نماز,Remember,نماز کی ادائیگی میں ضروری ہے:,وقت کی پابندی,سستی,تاخیر,غفلت,A | وقت کی پابندی,Medium,1,ULTRA,1
q_9_isl_b2_mcq_080,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXTRA IMPORTANT | نماز,Remember,نماز انسان کو سکھاتی ہے:,نظم و ضبط,فضول خرچی,غرور,بے ترتیبی,A | نظم و ضبط,Medium,1,ULTRA,1
q_9_isl_b2_mcq_081,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXTRA IMPORTANT | نماز,Remember,مسجد میں جماعت سے بڑھتا ہے:,باہمی تعلق,تنہائی,نفرت,تفرقہ,A | باہمی تعلق,Medium,1,ULTRA,1
q_9_isl_b2_mcq_082,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXTRA IMPORTANT | روزہ,Remember,صوم کا بنیادی مفہوم ہے:,رکنا,چلنا,سونا,بولنا,A | رکنا,Medium,1,ULTRA,1
q_9_isl_b2_mcq_083,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXTRA IMPORTANT | روزہ,Remember,روزہ فرض ہے:,رمضان میں,محرم میں,صفر میں,ربیع الاول میں,A | رمضان میں,Medium,1,ULTRA,1
q_9_isl_b2_mcq_084,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXTRA IMPORTANT | روزہ,Remember,رمضان کا روزہ پیدا کرتا ہے:,تقویٰ,غرور,غفلت,فضول خرچی,A | تقویٰ,Medium,1,ULTRA,1
q_9_isl_b2_mcq_085,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXTRA IMPORTANT | روزہ,Remember,سحری و افطار میں اہم ہے:,وقت کی پابندی,تاخیر,بے ترتیبی,فضول خرچی,A | وقت کی پابندی,Medium,1,ULTRA,1
q_9_isl_b2_mcq_086,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXTRA IMPORTANT | روزہ,Remember,روزے میں جھوٹ سے:,بچنا چاہیے,فائدہ ہوتا ہے,اجر بڑھتا ہے,روزہ آسان ہوتا ہے,A | بچنا چاہیے,Medium,1,ULTRA,1
q_9_isl_b2_mcq_087,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXTRA IMPORTANT | روزہ,Remember,رمضان المبارک میں مسلمان کرتے ہیں:,عبادت میں اضافہ,عبادت کم,غفلت زیادہ,نماز ترک,A | عبادت میں اضافہ,Medium,1,ULTRA,1
q_9_isl_b2_mcq_088,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXTRA IMPORTANT | زکوٰۃ,Remember,زکوٰۃ اسلام کا:,بنیادی رکن,اختیاری عمل,صرف رسم,صرف تجارت,A | بنیادی رکن,Medium,1,ULTRA,1
q_9_isl_b2_mcq_089,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXTRA IMPORTANT | زکوٰۃ,Remember,زکوٰۃ کے لیے مال کا نصاب تک پہنچنا:,ضروری ہے,غیر ضروری ہے,مکروہ ہے,منسوخ ہے,A | ضروری ہے,Medium,1,ULTRA,1
q_9_isl_b2_mcq_090,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXTRA IMPORTANT | زکوٰۃ,Remember,عام مالی زکوٰۃ کی معروف شرح ہے:,چالیسواں حصہ,دسواں حصہ,پانچواں حصہ,آدھا مال,A | چالیسواں حصہ,Medium,1,ULTRA,1
q_9_isl_b2_mcq_091,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXTRA IMPORTANT | زکوٰۃ,Remember,قدرتی پانی سے سیراب فصل کا عشر ہے:,دسواں حصہ,بیسواں حصہ,چالیسواں حصہ,آدھا حصہ,A | دسواں حصہ,Medium,1,ULTRA,1
q_9_isl_b2_mcq_092,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXTRA IMPORTANT | زکوٰۃ,Remember,مصنوعی ذرائع سے سیراب فصل پر عام شرح ہے:,بیسواں حصہ,دسواں حصہ,چالیسواں حصہ,آدھا حصہ,A | بیسواں حصہ,Medium,1,ULTRA,1
q_9_isl_b2_mcq_093,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXTRA IMPORTANT | زکوٰۃ,Remember,زکوٰۃ معاشرے میں کم کرتی ہے:,غربت و گداگری,محنت,تجارت,تعلیم,A | غربت و گداگری,Medium,1,ULTRA,1
q_9_isl_b2_mcq_094,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXTRA IMPORTANT | حج اور قربانی,Remember,حج فرض ہے:,صاحب استطاعت مسلمان پر,ہر بچے پر,صرف تاجر پر,صرف عالم پر,A | صاحب استطاعت مسلمان پر,Medium,1,ULTRA,1
q_9_isl_b2_mcq_095,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXTRA IMPORTANT | حج اور قربانی,Remember,حج ادا کیا جاتا ہے:,مکہ مکرمہ میں,مدینہ منورہ میں فقط,یمن میں,شام میں,A | مکہ مکرمہ میں,Medium,1,ULTRA,1
q_9_isl_b2_mcq_096,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXTRA IMPORTANT | حج اور قربانی,Remember,وقوف عرفہ ہوتا ہے:,میدان عرفات میں,منیٰ میں,مدینہ میں,مسجد اقصیٰ میں,A | میدان عرفات میں,Medium,1,ULTRA,1
q_9_isl_b2_mcq_097,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXTRA IMPORTANT | حج اور قربانی,Remember,قربانی یاد دلاتی ہے:,حضرت ابراہیمؑ کی اطاعت,قارون کی دولت,فرعون کی حکومت,نمرود کی طاقت,A | حضرت ابراہیمؑ کی اطاعت,Medium,1,ULTRA,1
q_9_isl_b2_mcq_098,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXTRA IMPORTANT | حج اور قربانی,Remember,حج مسلمانوں میں پیدا کرتا ہے:,اتحاد,تفرقہ,نسلی غرور,طبقاتی فرق,A | اتحاد,Medium,1,ULTRA,1
q_9_isl_b2_mcq_099,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXTRA IMPORTANT | حج اور قربانی,Remember,حج کے دوران مسلمان پہنتے ہیں:,احرام,تاج,زرہ,خصوصی وردی,A | احرام,Medium,1,ULTRA,1
q_9_isl_b2_mcq_100,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXTRA IMPORTANT | حج اور قربانی,Remember,قربانی کا مقصد ہے:,رضائے الٰہی,نمائش,تجارت,فخر,A | رضائے الٰہی,Medium,1,ULTRA,1
