question_hash,active,topic,bloom_level,question,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
q_9_isl_b7_mcq_001,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE DIRECT | خود اعتمادی و خود انحصاری,Remember,جو شخص بڑے کام انجام دینا چاہتا ہے، اس میں ہونا ضروری ہے:,حسن و جمال,جسمانی قوت,بہادری,اعتماد,D | اعتماد,Medium,1,ELITE,1
q_9_isl_b7_mcq_063,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,Remember,منصوبہ بندی میں مقاصد ہونے چاہئیں:,واضح,مبہم,متضاد,بے مقصد,A | واضح,Medium,1,ULTRA,1
q_9_isl_b7_mcq_064,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,Remember,منصوبہ بندی کے ساتھ اسباب اختیار کرنا ہے:,ضروری,غیر ضروری,ممنوع,شرک,A | ضروری,Medium,1,ULTRA,1
q_9_isl_b7_mcq_065,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,Remember,صرف اسباب پر بھروسہ کرنا درست:,نہیں,ہے,ہمیشہ,صرف دنیا میں,A | نہیں,Medium,1,ULTRA,1
q_9_isl_b7_mcq_066,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,Remember,توکل کا درست مفہوم ہے:,اسباب کے ساتھ اللہ پر بھروسہ,کوشش چھوڑ دینا,صرف انتظار,قسمت کو الزام,A | اسباب کے ساتھ اللہ پر بھروسہ,Medium,1,ULTRA,1
q_9_isl_b7_mcq_067,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,Remember,مستقبل کی منصوبہ بندی سے کم ہوتا ہے:,غیر ضروری خطرہ,نظم,ذمہ داری,تیاری,A | غیر ضروری خطرہ,Medium,1,ULTRA,1
q_9_isl_b7_mcq_068,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,Remember,منصوبہ بندی معاشرے میں بڑھاتی ہے:,ترقی,بدنظمی,غفلت,تفرقہ,A | ترقی,Medium,1,ULTRA,1
q_9_isl_b7_mcq_069,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,Remember,مستقبل کی منصوبہ بندی میں ضروری ہے:,دور اندیشی,جلد بازی,بے فکری,مایوسی,A | دور اندیشی,Medium,1,ULTRA,1
q_9_isl_b7_mcq_070,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,Remember,اسلامی منصوبہ بندی ہونی چاہیے:,شرعی حدود کے مطابق,ہر حال میں خود غرض,صرف مادی,بے مقصد,A | شرعی حدود کے مطابق,Medium,1,ULTRA,1
q_9_isl_b7_mcq_071,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,Remember,منصوبہ بندی کا ایک اخلاقی فائدہ ہے:,اعتماد,حسد,غرور,بدگمانی,A | اعتماد,Medium,1,ULTRA,1
q_9_isl_b7_mcq_072,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,Remember,منصوبہ بندی ناکامی کے امکانات کو:,کم کرتی ہے,بڑھاتی ہے,ختم نہیں کرتی کبھی,غیر متعلق ہے,A | کم کرتی ہے,Medium,1,ULTRA,1
q_9_isl_b7_mcq_073,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,Remember,مستقبل کی منصوبہ بندی میں مشورہ:,مفید ہے,ممنوع ہے,غیر ضروری ہے,کمزوری ہے,A | مفید ہے,Medium,1,ULTRA,1
q_9_isl_b7_mcq_074,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,Remember,وسائل کی حفاظت میں مدد دیتی ہے:,منصوبہ بندی,غفلت,اسراف,بے ترتیبی,A | منصوبہ بندی,Medium,1,ULTRA,1
q_9_isl_b7_mcq_075,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,Remember,مومن مستقبل کے لیے کوشش کے بعد کرتا ہے:,اللہ پر بھروسہ,مایوسی,غفلت,بے عملی,A | اللہ پر بھروسہ,Medium,1,ULTRA,1
q_9_isl_b7_mcq_076,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE DIRECT | اسلامی تہذیب کے امتیازات,Remember,کسی قوم کے نظریات، ذہن، طرز عمل اور عمومی رویے کو کہا جاتا ہے:,شہریت,تہذیب,جغرافیہ,خاندان داری,B | تہذیب,Medium,1,ELITE,1
q_9_isl_b7_mcq_077,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE DIRECT | اسلامی تہذیب کے امتیازات,Remember,اسلامی تہذیب سے روشنی حاصل کی:,صرف اہل عرب نے,صرف مسلمانوں نے,صرف اہل مغرب نے,تمام قوموں نے,D | تمام قوموں نے,Medium,1,ELITE,1
q_9_isl_b7_mcq_078,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE DIRECT | اسلامی تہذیب کے امتیازات,Remember,اللہ تعالیٰ کی توحید پر قائم رہنے کے بعد بندہ تعلق رکھتا ہے:,فارسی تہذیب سے,ہندوستانی تہذیب سے,آریائی تہذیب سے,اسلامی تہذیب سے,D | اسلامی تہذیب سے,Medium,1,ELITE,1
q_9_isl_b7_mcq_079,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE DIRECT | اسلامی تہذیب کے امتیازات,Remember,قرآن مجید کی نظر میں انسانی حقوق اور عزت و حرمت کے اعتبار سے ایک جیسے ہیں:,تمام اہل ایمان,تمام انسان,تمام اہل مشرق,تمام اہل مغرب,B | تمام انسان,Medium,1,ELITE,1
q_9_isl_b7_mcq_080,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE DIRECT | اسلامی تہذیب کے امتیازات,Remember,پہلی وحی میں حکم دیا گیا:,نماز کا,زکوٰۃ کا,پڑھنے کا,پاک صاف رہنے کا,C | پڑھنے کا,Medium,1,ELITE,1
q_9_isl_b7_mcq_081,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,Remember,تہذیب کا تعلق ہے:,طرز زندگی سے,صرف لباس سے,صرف زبان سے,صرف تجارت سے,A | طرز زندگی سے,Medium,1,ULTRA,1
q_9_isl_b7_mcq_082,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,Remember,اسلامی تہذیب کی بنیاد ہے:,توحید,نسلی غرور,مال,جغرافیہ,A | توحید,Medium,1,ULTRA,1
q_9_isl_b7_mcq_083,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,Remember,اسلامی تہذیب کا نمایاں وصف ہے:,عالمگیریت,نسلی محدودیت,طبقاتی فرق,خود غرضی,A | عالمگیریت,Medium,1,ULTRA,1
q_9_isl_b7_mcq_084,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,Remember,اسلامی تہذیب انسانی عزت کو دیتی ہے:,اہمیت,کوئی اہمیت نہیں,صرف مسلمانوں تک,صرف عربوں تک,A | اہمیت,Medium,1,ULTRA,1
q_9_isl_b7_mcq_085,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,Remember,اسلامی تہذیب میں علم کی حیثیت ہے:,بنیادی,غیر ضروری,ممنوع,صرف دنیاوی,A | بنیادی,Medium,1,ULTRA,1
q_9_isl_b7_mcq_086,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,Remember,پہلی وحی کا آغاز ہوا:,اقرأ سے,صل سے,زک سے,حج سے,A | اقرأ سے,Medium,1,ULTRA,1
q_9_isl_b7_mcq_087,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,Remember,اسلامی تہذیب کا ایک امتیاز ہے:,اعتدال,انتہا پسندی,تعصب,طبقاتی نظام,A | اعتدال,Medium,1,ULTRA,1
q_9_isl_b7_mcq_088,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,Remember,اسلامی تہذیب میں انسانی حقوق ہیں:,محفوظ,غیر اہم,صرف امیروں کے,صرف حکمرانوں کے,A | محفوظ,Medium,1,ULTRA,1
q_9_isl_b7_mcq_089,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,Remember,اسلامی تہذیب میں احترام رسالت ﷺ ہے:,بنیادی عقیدہ,اختیاری بات,صرف تاریخی امر,غیر متعلق,A | بنیادی عقیدہ,Medium,1,ULTRA,1
q_9_isl_b7_mcq_090,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,Remember,اسلامی تہذیب میں عدل ہے:,اہم قدر,غیر ضروری,صرف عدالت تک,صرف سیاست تک,A | اہم قدر,Medium,1,ULTRA,1
q_9_isl_b7_mcq_091,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,Remember,اسلامی تہذیب انسان کو سکھاتی ہے:,اخلاق,تعصب,غرور,استحصال,A | اخلاق,Medium,1,ULTRA,1
q_9_isl_b7_mcq_092,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,Remember,اسلامی تہذیب کی عالمگیریت کا مطلب ہے:,تمام انسانوں کے لیے رہنمائی,صرف عربوں کے لیے,صرف ایک خطے کے لیے,صرف ایک نسل کے لیے,A | تمام انسانوں کے لیے رہنمائی,Medium,1,ULTRA,1
q_9_isl_b7_mcq_093,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,Remember,اسلامی تہذیب میں علم و حکمت کا مقصد ہے:,انسانی فلاح,صرف شہرت,صرف دولت,صرف بحث,A | انسانی فلاح,Medium,1,ULTRA,1
q_9_isl_b7_mcq_094,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,Remember,اسلامی تہذیب مساوات کو:,فروغ دیتی ہے,ختم کرتی ہے,محدود کرتی ہے,رد کرتی ہے,A | فروغ دیتی ہے,Medium,1,ULTRA,1
q_9_isl_b7_mcq_095,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,Remember,اسلامی تہذیب میں رنگ و نسل کی برتری:,نہیں,ہے,لازم ہے,صرف عرب کو ہے,A | نہیں,Medium,1,ULTRA,1
q_9_isl_b7_mcq_096,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,Remember,اسلامی تہذیب کا ایک وصف ہے:,رحمت,ظلم,استحصال,تعصب,A | رحمت,Medium,1,ULTRA,1
q_9_isl_b7_mcq_097,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,Remember,اسلامی تہذیب میں عبادت اور معاشرت:,دونوں اہم ہیں,صرف عبادت اہم ہے,صرف معاشرت اہم ہے,دونوں غیر متعلق ہیں,A | دونوں اہم ہیں,Medium,1,ULTRA,1
q_9_isl_b7_mcq_098,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,Remember,اسلامی تہذیب کی اخلاقی بنیاد ہے:,تقویٰ,تکبر,حسد,ریا,A | تقویٰ,Medium,1,ULTRA,1
q_9_isl_b7_mcq_099,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,Remember,اسلامی تہذیب علم حاصل کرنے کی:,ترغیب دیتی ہے,ممانعت کرتی ہے,صرف امیروں تک رکھتی ہے,صرف مردوں تک رکھتی ہے,A | ترغیب دیتی ہے,Medium,1,ULTRA,1
q_9_isl_b7_mcq_100,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,Remember,اسلامی تہذیب کا مقصد ہے:,متوازن انسان و معاشرہ,صرف مادی ترقی,صرف سیاسی قوت,صرف تجارت,A | متوازن انسان و معاشرہ,Medium,1,ULTRA,1
