question_hash,active,topic,bloom_level,question,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
q_9_isl_b5_mcq_001,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE DIRECT | قسم کے احکام و مسائل,Remember,یمین کا معنی ہے:,قسم,مشورہ,معاونت,ارادہ,A | قسم,Medium,1,ELITE,1
q_9_isl_b5_mcq_073,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | سود کی حرمت,Remember,قرض حسنہ میں اضافہ لینا:,نہیں ہوتا,ضروری ہے,فرض ہے,دوگنا ہوتا ہے,A | نہیں ہوتا,Medium,1,ULTRA,1
q_9_isl_b5_mcq_074,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | سود کی حرمت,Remember,قرض حسنہ کا مقصد ہے:,ضرورت مند کی مدد,منافع,استحصال,نمائش,A | ضرورت مند کی مدد,Medium,1,ULTRA,1
q_9_isl_b5_mcq_075,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | سود کی حرمت,Remember,سودی نظام سے بڑھ سکتی ہے:,معاشی ناہمواری,مساوات,سخاوت,اخوت,A | معاشی ناہمواری,Medium,1,ULTRA,1
q_9_isl_b5_mcq_076,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | سود کی حرمت,Remember,سود خور کے مال میں حقیقی برکت:,نہیں,لازم,دوگنی,ہمیشہ,A | نہیں,Medium,1,ULTRA,1
q_9_isl_b5_mcq_077,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | سود کی حرمت,Remember,اسلامی متبادل میں اہم ہے:,قرض حسنہ,سود,قمار,رشوت,A | قرض حسنہ,Medium,1,ULTRA,1
q_9_isl_b5_mcq_078,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | سود کی حرمت,Remember,سود کی ممانعت کا مقصد ہے:,عدل معاشی,استحصال,حرص,طبقاتی فرق,A | عدل معاشی,Medium,1,ULTRA,1
q_9_isl_b5_mcq_079,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | اسلامی ریاست,Remember,اسلامی ریاست کی بنیاد ہے:,عدل,نسلی برتری,جاگیرداری,سود,A | عدل,Medium,1,ULTRA,1
q_9_isl_b5_mcq_080,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | اسلامی ریاست,Remember,ریاست مدینہ قائم ہوئی:,مدینہ منورہ میں,مکہ میں,طائف میں,شام میں,A | مدینہ منورہ میں,Medium,1,ULTRA,1
q_9_isl_b5_mcq_081,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | اسلامی ریاست,Remember,اسلامی ریاست کا اہم مقصد ہے:,عدل و انصاف,نسلی امتیاز,مالی استحصال,طبقاتی فرق,A | عدل و انصاف,Medium,1,ULTRA,1
q_9_isl_b5_mcq_082,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | اسلامی ریاست,Remember,اسلامی ریاست میں قانون کی بالادستی:,ضروری,غیر ضروری,ممنوع,اختیاری,A | ضروری,Medium,1,ULTRA,1
q_9_isl_b5_mcq_083,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | اسلامی ریاست,Remember,غیر مسلموں کے حقوق کی حفاظت:,ریاست کی ذمہ داری,صرف خاندان کی,صرف تاجر کی,کسی کی نہیں,A | ریاست کی ذمہ داری,Medium,1,ULTRA,1
q_9_isl_b5_mcq_084,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | اسلامی ریاست,Remember,ریاست کا ایک بنیادی ادارہ ہے:,عدلیہ,قبیلہ,بازار,قافلہ,A | عدلیہ,Medium,1,ULTRA,1
q_9_isl_b5_mcq_085,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | اسلامی ریاست,Remember,قانون سازی کا ادارہ ہے:,مقننہ,عدلیہ,انتظامیہ,خاندان,A | مقننہ,Medium,1,ULTRA,1
q_9_isl_b5_mcq_086,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | اسلامی ریاست,Remember,قانون نافذ کرنے والا ادارہ ہے:,انتظامیہ,مقننہ,عدلیہ,مکتب,A | انتظامیہ,Medium,1,ULTRA,1
q_9_isl_b5_mcq_087,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | اسلامی ریاست,Remember,نزاعات کے فیصلے کا ادارہ ہے:,عدلیہ,انتظامیہ,مقننہ,بازار,A | عدلیہ,Medium,1,ULTRA,1
q_9_isl_b5_mcq_088,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | اسلامی ریاست,Remember,اسلامی حکومت عوام کی:,خدمت گزار,مالک مطلق,مخالف,غیر ذمہ دار,A | خدمت گزار,Medium,1,ULTRA,1
q_9_isl_b5_mcq_089,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | اسلامی ریاست,Remember,حاکم بھی قانون کے سامنے:,جوابدہ,آزاد مطلق,مستثنیٰ,غیر متعلق,A | جوابدہ,Medium,1,ULTRA,1
q_9_isl_b5_mcq_090,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | اسلامی ریاست,Remember,ریاست مدینہ کا نمایاں وصف تھا:,مساوات,سود,طبقاتی فرق,نسلی غرور,A | مساوات,Medium,1,ULTRA,1
q_9_isl_b5_mcq_091,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | جہاد فی سبیل اللہ,Remember,جہاد کا لغوی مفہوم ہے:,کوشش,تجارت,آرام,سفر,A | کوشش,Medium,1,ULTRA,1
q_9_isl_b5_mcq_092,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | جہاد فی سبیل اللہ,Remember,جہاد کا مقصد ہونا چاہیے:,رضائے الٰہی,مال غنیمت,شہرت,قبائلی فخر,A | رضائے الٰہی,Medium,1,ULTRA,1
q_9_isl_b5_mcq_093,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | جہاد فی سبیل اللہ,Remember,جہاد بالمال سے مراد ہے:,مال سے تعاون,تلوار,صرف تقریر,صرف سفر,A | مال سے تعاون,Medium,1,ULTRA,1
q_9_isl_b5_mcq_094,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | جہاد فی سبیل اللہ,Remember,جہاد بالقلم سے مراد ہے:,تحریر سے حق کی حمایت,تلوار سے جنگ,مالی مدد,خاموشی,A | تحریر سے حق کی حمایت,Medium,1,ULTRA,1
q_9_isl_b5_mcq_095,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | جہاد فی سبیل اللہ,Remember,جہاد باللسان میں شامل ہے:,کلمہ حق کہنا,سود لینا,غیبت کرنا,بدشگونی,A | کلمہ حق کہنا,Medium,1,ULTRA,1
q_9_isl_b5_mcq_096,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | جہاد فی سبیل اللہ,Remember,قتال جہاد کی:,ایک صورت,واحد صورت,غیر شرعی صورت,منسوخ صورت,A | ایک صورت,Medium,1,ULTRA,1
q_9_isl_b5_mcq_097,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | جہاد فی سبیل اللہ,Remember,جہاد کے نام پر دہشت گردی:,جائز نہیں,فرض ہے,سنت ہے,مستحب ہے,A | جائز نہیں,Medium,1,ULTRA,1
q_9_isl_b5_mcq_098,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | جہاد فی سبیل اللہ,Remember,جہاد کے لیے نظم و قیادت:,ضروری,غیر ضروری,ممنوع,صرف اختیاری,A | ضروری,Medium,1,ULTRA,1
q_9_isl_b5_mcq_099,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | جہاد فی سبیل اللہ,Remember,پیغام پاکستان کا تعلق ہے:,انسداد دہشت گردی,سود,زکوٰۃ,وراثت,A | انسداد دہشت گردی,Medium,1,ULTRA,1
q_9_isl_b5_mcq_100,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | جہاد فی سبیل اللہ,Remember,اسلام میں بے گناہوں کو نقصان پہنچانا:,منع ہے,لازم ہے,جائز ہے,افضل ہے,A | منع ہے,Medium,1,ULTRA,1
