question_hash,active,topic,bloom_level,question,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
q_9_isl_b3_mcq_001,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE DIRECT | فتح مکہ,Remember,فتح مکہ کے اسباب میں شامل تھا:,بنو خزاعہ پر حملہ,جنگ بدر,غزوہ خندق,ہجرت حبشہ,A | بنو خزاعہ پر حملہ,Medium,1,ELITE,1
q_9_isl_b3_mcq_069,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | عام الوفود,Remember,وفود کے ساتھ نبی کریم ﷺ کا رویہ تھا:,حسن سلوک,سختی,تحقیر,قطع تعلق,A | حسن سلوک,Medium,1,ULTRA,1
q_9_isl_b3_mcq_070,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | عام الوفود,Remember,وفد نجران کا تعلق تھا:,عیسائیوں سے,یہودیوں سے,مجوسیوں سے,مشرک عرب سے,A | عیسائیوں سے,Medium,1,ULTRA,1
q_9_isl_b3_mcq_071,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | غزوہ تبوک,Remember,غزوہ تبوک کے زمانے میں موسم تھا:,سخت گرم,سخت سرد,برسات,بہار,A | سخت گرم,Medium,1,ULTRA,1
q_9_isl_b3_mcq_072,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | غزوہ تبوک,Remember,تبوک کے لشکر کو کہا گیا:,جیش العسرہ,جیش الفتح,جیش بدر,جیش قادسیہ,A | جیش العسرہ,Medium,1,ULTRA,1
q_9_isl_b3_mcq_073,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | غزوہ تبوک,Remember,تبوک میں حضرت عثمانؓ نے نمایاں کردار ادا کیا:,مالی تعاون,مخالفت,ہجرت,معاہدہ شکنی,A | مالی تعاون,Medium,1,ULTRA,1
q_9_isl_b3_mcq_074,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | غزوہ تبوک,Remember,تبوک میں منافقین کا رویہ تھا:,پیچھے رہنا,بڑھ چڑھ کر شرکت,تمام مال دینا,پہلا دستہ بننا,A | پیچھے رہنا,Medium,1,ULTRA,1
q_9_isl_b3_mcq_075,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | حجۃ الوداع,Remember,خطبہ حجۃ الوداع میں انسانی جان و مال کو:,محترم قرار دیا,مباح کہا,غیر اہم کہا,صرف عربوں کے لیے,A | محترم قرار دیا,Medium,1,ULTRA,1
q_9_isl_b3_mcq_076,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | حجۃ الوداع,Remember,خطبہ حجۃ الوداع میں سود کو:,ختم کیا گیا,لازم کیا گیا,دوگنا کیا گیا,محفوظ کیا گیا,A | ختم کیا گیا,Medium,1,ULTRA,1
q_9_isl_b3_mcq_077,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | حجۃ الوداع,Remember,خطبہ حجۃ الوداع میں عورتوں کے:,حقوق بیان ہوئے,حقوق ختم ہوئے,ذکر نہ ہوا,صرف مالی ذکر ہوا,A | حقوق بیان ہوئے,Medium,1,ULTRA,1
q_9_isl_b3_mcq_078,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | حجۃ الوداع,Remember,خطبہ حجۃ الوداع کا مرکزی پیغام ہے:,عدل و مساوات,نسلی برتری,مالی تفاخر,قبائلی غرور,A | عدل و مساوات,Medium,1,ULTRA,1
q_9_isl_b3_mcq_079,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | وصال نبوی ﷺ,Remember,آخری بیماری میں نماز کی امامت کرائی:,حضرت ابوبکرؓ نے,حضرت عمرؓ نے,حضرت علیؓ نے,حضرت عثمانؓ نے,A | حضرت ابوبکرؓ نے,Medium,1,ULTRA,1
q_9_isl_b3_mcq_080,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | وصال نبوی ﷺ,Remember,نبی کریم ﷺ کا وصال کس شہر میں ہوا؟,مدینہ منورہ میں,مکہ مکرمہ میں,تبوک میں,طائف میں,A | مدینہ منورہ میں,Medium,1,ULTRA,1
q_9_isl_b3_mcq_081,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | وصال نبوی ﷺ,Remember,وصال کے وقت امت کے لیے بنیادی سرمایہ تھا:,قرآن و سنت,صرف مال,صرف لشکر,صرف تجارت,A | قرآن و سنت,Medium,1,ULTRA,1
q_9_isl_b3_mcq_082,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | بچپن و جوانی,Remember,بچپن میں نبی کریم ﷺ نے کام کیا:,بکریاں چرائیں,بادشاہت کی,شاعری کی,سود لیا,A | بکریاں چرائیں,Medium,1,ULTRA,1
q_9_isl_b3_mcq_083,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | بچپن و جوانی,Remember,نوجوانی میں معروف لقب تھا:,الامین,الفاروق,ذوالنورین,سیف اللہ,A | الامین,Medium,1,ULTRA,1
q_9_isl_b3_mcq_084,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | بچپن و جوانی,Remember,حلف الفضول کا مقصد تھا:,مظلوم کی مدد,تجارت بند کرنا,جنگ کرنا,ہجرت روکنا,A | مظلوم کی مدد,Medium,1,ULTRA,1
q_9_isl_b3_mcq_085,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | ذوق عبادت,Remember,نبی کریم ﷺ کی عبادت میں نمایاں تھا:,خشوع,ریاکاری,غلو,سستی,A | خشوع,Medium,1,ULTRA,1
q_9_isl_b3_mcq_086,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | ذوق عبادت,Remember,عبادت اور روزمرہ زندگی میں سنت ہے:,توازن,بے اعتدالی,ترک دنیا,غفلت,A | توازن,Medium,1,ULTRA,1
q_9_isl_b3_mcq_087,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | ذوق عبادت,Remember,نبی کریم ﷺ کثرت سے ادا کرتے تھے:,نوافل,صرف فرض,صرف صدقہ,صرف سفر,A | نوافل,Medium,1,ULTRA,1
q_9_isl_b3_mcq_088,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | سخاوت,Remember,ایثار کا مطلب ہے:,اپنی ضرورت پر دوسرے کو ترجیح,مال روکنا,صرف قرض دینا,فضول خرچی,A | اپنی ضرورت پر دوسرے کو ترجیح,Medium,1,ULTRA,1
q_9_isl_b3_mcq_089,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | سخاوت,Remember,سخاوت سے معاشرے میں بڑھتا ہے:,باہمی تعاون,حسد,نفرت,قطع تعلق,A | باہمی تعاون,Medium,1,ULTRA,1
q_9_isl_b3_mcq_090,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | سخاوت,Remember,نبی کریم ﷺ کا دستِ سخاوت تھا:,کشادہ,بند,مشروط,محدود,A | کشادہ,Medium,1,ULTRA,1
q_9_isl_b3_mcq_091,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | صلہ رحمی,Remember,صلہ رحمی کا تعلق ہے:,رشتہ داروں کے حقوق سے,صرف تجارت سے,صرف سفر سے,صرف سیاست سے,A | رشتہ داروں کے حقوق سے,Medium,1,ULTRA,1
q_9_isl_b3_mcq_092,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | صلہ رحمی,Remember,صلہ رحمی سے بڑھتی ہے:,خاندانی محبت,بدگمانی,تنہائی,فساد,A | خاندانی محبت,Medium,1,ULTRA,1
q_9_isl_b3_mcq_093,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | صلہ رحمی,Remember,رشتہ توڑنے والے سے بھی تعلق جوڑنا ہے:,کامل صلہ رحمی,قطع رحمی,اسراف,ریا,A | کامل صلہ رحمی,Medium,1,ULTRA,1
q_9_isl_b3_mcq_094,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | خواتین کے ساتھ حسن سلوک,Remember,اسلام نے خواتین کو دیا:,عزت و احترام,حق سے محرومی,صرف گھریلو پابندی,تعلیم کی ممانعت,A | عزت و احترام,Medium,1,ULTRA,1
q_9_isl_b3_mcq_095,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | خواتین کے ساتھ حسن سلوک,Remember,بیٹیوں کی اچھی تربیت ہے:,باعث اجر,باعث ملامت,غیر ضروری,ممنوع,A | باعث اجر,Medium,1,ULTRA,1
q_9_isl_b3_mcq_096,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | خواتین کے ساتھ حسن سلوک,Remember,گھر میں حسن معاشرت کا تقاضا ہے:,نرمی و احترام,سختی,تحقیر,قطع کلام,A | نرمی و احترام,Medium,1,ULTRA,1
q_9_isl_b3_mcq_097,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | انداز تربیت,Remember,نبی کریم ﷺ تربیت میں استعمال کرتے تھے:,سوال و جواب,صرف سزا,صرف خاموشی,صرف خط,A | سوال و جواب,Medium,1,ULTRA,1
q_9_isl_b3_mcq_098,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | انداز تربیت,Remember,تربیت میں غلطی کی اصلاح ہوتی تھی:,حکمت سے,تحقیر سے,ہمیشہ سزا سے,نظر انداز کرکے,A | حکمت سے,Medium,1,ULTRA,1
q_9_isl_b3_mcq_099,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | انداز تربیت,Remember,نبی کریم ﷺ بچوں کے ساتھ کرتے تھے:,شفقت,تحقیر,سختی ہمیشہ,بے توجہی,A | شفقت,Medium,1,ULTRA,1
q_9_isl_b3_mcq_100,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | انداز تربیت,Remember,نبی کریم ﷺ کی تربیت کا مقصد تھا:,کردار سازی,مال جمع کرنا,شہرت,تفریح,A | کردار سازی,Medium,1,ULTRA,1
