question_hash,active,topic,question_style,question,difficulty,marks,weightage,smart_syllabus
q_9_isl_b6_short_001,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 BOARD/PREP POOL | اہل بیت اطہار | حضرت امام زین العابدین رحمۃ اللہ علیہ,textbook_oriented_short,حضرت امام زین العابدین رحمۃ اللہ علیہ کا مختصر تعارف بیان کریں۔,Medium,2,ELITE,1
q_9_isl_b6_short_065,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | صحابیات رضی اللہ عنہن | حضرت ام عمارہ رضی اللہ عنہا,extra_important_practice,حضرت ام عمارہ رضی اللہ عنہا کی شخصیت کا ایک اہم واقعہ یا خدمت مختصراً بیان کریں۔,Medium,2,PRO,1
q_9_isl_b6_short_066,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 BOARD/PREP POOL | صحابیات رضی اللہ عنہن | حضرت اسماء بنت ابی بکر صدیق رضی اللہ عنہا,textbook_oriented_short,حضرت اسماء بنت ابی بکر صدیق رضی اللہ عنہا کا مختصر تعارف بیان کریں۔,Medium,2,ELITE,1
q_9_isl_b6_short_067,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 BOARD/PREP POOL | صحابیات رضی اللہ عنہن | حضرت اسماء بنت ابی بکر صدیق رضی اللہ عنہا,textbook_oriented_short,حضرت اسماء بنت ابی بکر صدیق رضی اللہ عنہا کی دینی، علمی یا معاشرتی خدمات میں سے کوئی دو بیان کریں۔,Medium,2,ELITE,1
q_9_isl_b6_short_068,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 BOARD/PREP POOL | صحابیات رضی اللہ عنہن | حضرت اسماء بنت ابی بکر صدیق رضی اللہ عنہا,textbook_oriented_short,حضرت اسماء بنت ابی بکر صدیق رضی اللہ عنہا کی دو نمایاں صفات تحریر کریں۔,Medium,2,ULTRA,1
q_9_isl_b6_short_069,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | صحابیات رضی اللہ عنہن | حضرت اسماء بنت ابی بکر صدیق رضی اللہ عنہا,extra_important_practice,حضرت اسماء بنت ابی بکر صدیق رضی اللہ عنہا کی زندگی سے حاصل ہونے والے دو اسباق لکھیں۔,Medium,2,ULTRA,1
q_9_isl_b6_short_070,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | صحابیات رضی اللہ عنہن | حضرت اسماء بنت ابی بکر صدیق رضی اللہ عنہا,extra_important_practice,حضرت اسماء بنت ابی بکر صدیق رضی اللہ عنہا کی شخصیت کا ایک اہم واقعہ یا خدمت مختصراً بیان کریں۔,Medium,2,PRO,1
q_9_isl_b6_short_071,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 BOARD/PREP POOL | صوفیائے کرام رحمۃ اللہ علیہم | حضرت ابوالقاسم قشیری رحمۃ اللہ علیہ,textbook_oriented_short,حضرت ابوالقاسم قشیری رحمۃ اللہ علیہ کا مختصر تعارف بیان کریں۔,Medium,2,ELITE,1
q_9_isl_b6_short_072,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 BOARD/PREP POOL | صوفیائے کرام رحمۃ اللہ علیہم | حضرت ابوالقاسم قشیری رحمۃ اللہ علیہ,textbook_oriented_short,حضرت ابوالقاسم قشیری رحمۃ اللہ علیہ کی دینی، علمی یا معاشرتی خدمات میں سے کوئی دو بیان کریں۔,Medium,2,ELITE,1
q_9_isl_b6_short_073,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 BOARD/PREP POOL | صوفیائے کرام رحمۃ اللہ علیہم | حضرت ابوالقاسم قشیری رحمۃ اللہ علیہ,textbook_oriented_short,حضرت ابوالقاسم قشیری رحمۃ اللہ علیہ کی دو نمایاں صفات تحریر کریں۔,Medium,2,ULTRA,1
q_9_isl_b6_short_074,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | صوفیائے کرام رحمۃ اللہ علیہم | حضرت ابوالقاسم قشیری رحمۃ اللہ علیہ,extra_important_practice,حضرت ابوالقاسم قشیری رحمۃ اللہ علیہ کی زندگی سے حاصل ہونے والے دو اسباق لکھیں۔,Medium,2,ULTRA,1
q_9_isl_b6_short_075,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | صوفیائے کرام رحمۃ اللہ علیہم | حضرت ابوالقاسم قشیری رحمۃ اللہ علیہ,extra_important_practice,حضرت ابوالقاسم قشیری رحمۃ اللہ علیہ کی شخصیت کا ایک اہم واقعہ یا خدمت مختصراً بیان کریں۔,Medium,2,PRO,1
q_9_isl_b6_short_076,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 BOARD/PREP POOL | صوفیائے کرام رحمۃ اللہ علیہم | حضرت شیخ فریدالدین عطار رحمۃ اللہ علیہ,textbook_oriented_short,حضرت شیخ فریدالدین عطار رحمۃ اللہ علیہ کا مختصر تعارف بیان کریں۔,Medium,2,ELITE,1
q_9_isl_b6_short_077,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 BOARD/PREP POOL | صوفیائے کرام رحمۃ اللہ علیہم | حضرت شیخ فریدالدین عطار رحمۃ اللہ علیہ,textbook_oriented_short,حضرت شیخ فریدالدین عطار رحمۃ اللہ علیہ کی دینی، علمی یا معاشرتی خدمات میں سے کوئی دو بیان کریں۔,Medium,2,ELITE,1
q_9_isl_b6_short_078,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 BOARD/PREP POOL | صوفیائے کرام رحمۃ اللہ علیہم | حضرت شیخ فریدالدین عطار رحمۃ اللہ علیہ,textbook_oriented_short,حضرت شیخ فریدالدین عطار رحمۃ اللہ علیہ کی دو نمایاں صفات تحریر کریں۔,Medium,2,ULTRA,1
q_9_isl_b6_short_079,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | صوفیائے کرام رحمۃ اللہ علیہم | حضرت شیخ فریدالدین عطار رحمۃ اللہ علیہ,extra_important_practice,حضرت شیخ فریدالدین عطار رحمۃ اللہ علیہ کی زندگی سے حاصل ہونے والے دو اسباق لکھیں۔,Medium,2,ULTRA,1
q_9_isl_b6_short_080,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | صوفیائے کرام رحمۃ اللہ علیہم | حضرت شیخ فریدالدین عطار رحمۃ اللہ علیہ,extra_important_practice,حضرت شیخ فریدالدین عطار رحمۃ اللہ علیہ کی شخصیت کا ایک اہم واقعہ یا خدمت مختصراً بیان کریں۔,Medium,2,PRO,1
q_9_isl_b6_short_081,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 BOARD/PREP POOL | صوفیائے کرام رحمۃ اللہ علیہم | حضرت خواجہ نظام الدین اولیاء رحمۃ اللہ علیہ,textbook_oriented_short,حضرت خواجہ نظام الدین اولیاء رحمۃ اللہ علیہ کا مختصر تعارف بیان کریں۔,Medium,2,ELITE,1
q_9_isl_b6_short_082,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 BOARD/PREP POOL | صوفیائے کرام رحمۃ اللہ علیہم | حضرت خواجہ نظام الدین اولیاء رحمۃ اللہ علیہ,textbook_oriented_short,حضرت خواجہ نظام الدین اولیاء رحمۃ اللہ علیہ کی دینی، علمی یا معاشرتی خدمات میں سے کوئی دو بیان کریں۔,Medium,2,ELITE,1
q_9_isl_b6_short_083,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 BOARD/PREP POOL | صوفیائے کرام رحمۃ اللہ علیہم | حضرت خواجہ نظام الدین اولیاء رحمۃ اللہ علیہ,textbook_oriented_short,حضرت خواجہ نظام الدین اولیاء رحمۃ اللہ علیہ کی دو نمایاں صفات تحریر کریں۔,Medium,2,ULTRA,1
q_9_isl_b6_short_084,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | صوفیائے کرام رحمۃ اللہ علیہم | حضرت خواجہ نظام الدین اولیاء رحمۃ اللہ علیہ,extra_important_practice,حضرت خواجہ نظام الدین اولیاء رحمۃ اللہ علیہ کی زندگی سے حاصل ہونے والے دو اسباق لکھیں۔,Medium,2,ULTRA,1
q_9_isl_b6_short_085,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | صوفیائے کرام رحمۃ اللہ علیہم | حضرت خواجہ نظام الدین اولیاء رحمۃ اللہ علیہ,extra_important_practice,حضرت خواجہ نظام الدین اولیاء رحمۃ اللہ علیہ کی شخصیت کا ایک اہم واقعہ یا خدمت مختصراً بیان کریں۔,Medium,2,PRO,1
q_9_isl_b6_short_086,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 BOARD/PREP POOL | صوفیائے کرام رحمۃ اللہ علیہم | حضرت سید عبداللطیف کاظمی المعروف امام بری رحمۃ اللہ علیہ,textbook_oriented_short,حضرت سید عبداللطیف کاظمی المعروف امام بری رحمۃ اللہ علیہ کا مختصر تعارف بیان کریں۔,Medium,2,ELITE,1
q_9_isl_b6_short_087,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 BOARD/PREP POOL | صوفیائے کرام رحمۃ اللہ علیہم | حضرت سید عبداللطیف کاظمی المعروف امام بری رحمۃ اللہ علیہ,textbook_oriented_short,حضرت سید عبداللطیف کاظمی المعروف امام بری رحمۃ اللہ علیہ کی دینی، علمی یا معاشرتی خدمات میں سے کوئی دو بیان کریں۔,Medium,2,ELITE,1
q_9_isl_b6_short_088,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 BOARD/PREP POOL | صوفیائے کرام رحمۃ اللہ علیہم | حضرت سید عبداللطیف کاظمی المعروف امام بری رحمۃ اللہ علیہ,textbook_oriented_short,حضرت سید عبداللطیف کاظمی المعروف امام بری رحمۃ اللہ علیہ کی دو نمایاں صفات تحریر کریں۔,Medium,2,ULTRA,1
q_9_isl_b6_short_089,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | صوفیائے کرام رحمۃ اللہ علیہم | حضرت سید عبداللطیف کاظمی المعروف امام بری رحمۃ اللہ علیہ,extra_important_practice,حضرت سید عبداللطیف کاظمی المعروف امام بری رحمۃ اللہ علیہ کی زندگی سے حاصل ہونے والے دو اسباق لکھیں۔,Medium,2,ULTRA,1
q_9_isl_b6_short_090,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | صوفیائے کرام رحمۃ اللہ علیہم | حضرت سید عبداللطیف کاظمی المعروف امام بری رحمۃ اللہ علیہ,extra_important_practice,حضرت سید عبداللطیف کاظمی المعروف امام بری رحمۃ اللہ علیہ کی شخصیت کا ایک اہم واقعہ یا خدمت مختصراً بیان کریں۔,Medium,2,PRO,1
q_9_isl_b6_short_091,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 BOARD/PREP POOL | صوفیائے کرام رحمۃ اللہ علیہم | حضرت مولانا عبدالرحمن جامی رحمۃ اللہ علیہ,textbook_oriented_short,حضرت مولانا عبدالرحمن جامی رحمۃ اللہ علیہ کا مختصر تعارف بیان کریں۔,Medium,2,ELITE,1
q_9_isl_b6_short_092,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 BOARD/PREP POOL | صوفیائے کرام رحمۃ اللہ علیہم | حضرت مولانا عبدالرحمن جامی رحمۃ اللہ علیہ,textbook_oriented_short,حضرت مولانا عبدالرحمن جامی رحمۃ اللہ علیہ کی دینی، علمی یا معاشرتی خدمات میں سے کوئی دو بیان کریں۔,Medium,2,ELITE,1
q_9_isl_b6_short_093,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 BOARD/PREP POOL | صوفیائے کرام رحمۃ اللہ علیہم | حضرت مولانا عبدالرحمن جامی رحمۃ اللہ علیہ,textbook_oriented_short,حضرت مولانا عبدالرحمن جامی رحمۃ اللہ علیہ کی دو نمایاں صفات تحریر کریں۔,Medium,2,ULTRA,1
q_9_isl_b6_short_094,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | صوفیائے کرام رحمۃ اللہ علیہم | حضرت مولانا عبدالرحمن جامی رحمۃ اللہ علیہ,extra_important_practice,حضرت مولانا عبدالرحمن جامی رحمۃ اللہ علیہ کی زندگی سے حاصل ہونے والے دو اسباق لکھیں۔,Medium,2,ULTRA,1
q_9_isl_b6_short_095,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | صوفیائے کرام رحمۃ اللہ علیہم | حضرت مولانا عبدالرحمن جامی رحمۃ اللہ علیہ,extra_important_practice,حضرت مولانا عبدالرحمن جامی رحمۃ اللہ علیہ کی شخصیت کا ایک اہم واقعہ یا خدمت مختصراً بیان کریں۔,Medium,2,PRO,1
q_9_isl_b6_short_096,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 BOARD/PREP POOL | صوفیائے کرام رحمۃ اللہ علیہم | حضرت لعل شہباز قلندر رحمۃ اللہ علیہ,textbook_oriented_short,حضرت لعل شہباز قلندر رحمۃ اللہ علیہ کا مختصر تعارف بیان کریں۔,Medium,2,ELITE,1
q_9_isl_b6_short_097,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 BOARD/PREP POOL | صوفیائے کرام رحمۃ اللہ علیہم | حضرت لعل شہباز قلندر رحمۃ اللہ علیہ,textbook_oriented_short,حضرت لعل شہباز قلندر رحمۃ اللہ علیہ کی دینی، علمی یا معاشرتی خدمات میں سے کوئی دو بیان کریں۔,Medium,2,ELITE,1
q_9_isl_b6_short_098,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 BOARD/PREP POOL | صوفیائے کرام رحمۃ اللہ علیہم | حضرت لعل شہباز قلندر رحمۃ اللہ علیہ,textbook_oriented_short,حضرت لعل شہباز قلندر رحمۃ اللہ علیہ کی دو نمایاں صفات تحریر کریں۔,Medium,2,ULTRA,1
q_9_isl_b6_short_099,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | صوفیائے کرام رحمۃ اللہ علیہم | حضرت لعل شہباز قلندر رحمۃ اللہ علیہ,extra_important_practice,حضرت لعل شہباز قلندر رحمۃ اللہ علیہ کی زندگی سے حاصل ہونے والے دو اسباق لکھیں۔,Medium,2,ULTRA,1
q_9_isl_b6_short_100,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q4 PRACTICE ONLY | صوفیائے کرام رحمۃ اللہ علیہم | حضرت لعل شہباز قلندر رحمۃ اللہ علیہ,extra_important_practice,حضرت لعل شہباز قلندر رحمۃ اللہ علیہ کی شخصیت کا ایک اہم واقعہ یا خدمت مختصراً بیان کریں۔,Medium,2,PRO,1
