question_hash,active,topic,bloom_level,question,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
q_9_isl_b4_mcq_001,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE DIRECT | شکر و قناعت,Remember,کھانا کھا کر شکر ادا کرنے والے کا اجر برابر ہے:,روزے دار کے,مجاہد کے,مسافر کے,سخی کے,A | روزے دار کے,Medium,1,ELITE,1
q_9_isl_b4_mcq_077,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | جھوٹ,Remember,جھوٹ سے بچنے کی صفت ہے:,صدق,حسد,ریا,تکبر,A | صدق,Medium,1,ULTRA,1
q_9_isl_b4_mcq_078,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | جھوٹ,Remember,وعدہ کرکے خلاف ورزی کرنا نفاق کی:,علامت,فضیلت,سنت,رخصت,A | علامت,Medium,1,ULTRA,1
q_9_isl_b4_mcq_079,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | جھوٹ,Remember,افواہ پھیلانے کی بنیاد اکثر ہوتی ہے:,جھوٹ,قناعت,شکر,اخلاص,A | جھوٹ,Medium,1,ULTRA,1
q_9_isl_b4_mcq_080,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | جھوٹ,Remember,سچائی انسان کو لے جاتی ہے:,نیکی کی طرف,حسد کی طرف,جادو کی طرف,بددیانتی کی طرف,A | نیکی کی طرف,Medium,1,ULTRA,1
q_9_isl_b4_mcq_081,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | غیبت و بہتان,Remember,غیبت ہے:,کسی کی غیر موجودگی میں عیب بیان کرنا,سامنے تعریف کرنا,نصیحت کرنا,سچ چھپانا,A | کسی کی غیر موجودگی میں عیب بیان کرنا,Medium,1,ULTRA,1
q_9_isl_b4_mcq_082,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | غیبت و بہتان,Remember,بہتان ہے:,جھوٹا الزام لگانا,سچ کہنا,راز رکھنا,نصیحت کرنا,A | جھوٹا الزام لگانا,Medium,1,ULTRA,1
q_9_isl_b4_mcq_083,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | غیبت و بہتان,Remember,غیبت کی قرآن میں مثال ہے:,مردہ بھائی کا گوشت,پانی پینا,سفر کرنا,درخت لگانا,A | مردہ بھائی کا گوشت,Medium,1,ULTRA,1
q_9_isl_b4_mcq_084,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | غیبت و بہتان,Remember,بہتان غیبت سے زیادہ:,سنگین,ہلکا,مستحب,غیر متعلق,A | سنگین,Medium,1,ULTRA,1
q_9_isl_b4_mcq_085,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | غیبت و بہتان,Remember,غیبت سے متاثر ہوتے ہیں:,باہمی تعلقات,صرف موسم,صرف تجارت,صرف سفر,A | باہمی تعلقات,Medium,1,ULTRA,1
q_9_isl_b4_mcq_086,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | غیبت و بہتان,Remember,غیبت معاشرے میں پیدا کرتی ہے:,بدگمانی,اعتماد,اخوت,قناعت,A | بدگمانی,Medium,1,ULTRA,1
q_9_isl_b4_mcq_087,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | غیبت و بہتان,Remember,بہتان میں شامل ہوتا ہے:,جھوٹ,اخلاص,شکر,امانت,A | جھوٹ,Medium,1,ULTRA,1
q_9_isl_b4_mcq_088,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | غیبت و بہتان,Remember,غیبت سے بچنے کا طریقہ ہے:,زبان کی حفاظت,عیب تلاش کرنا,افواہ پھیلانا,مذاق اڑانا,A | زبان کی حفاظت,Medium,1,ULTRA,1
q_9_isl_b4_mcq_089,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | غیبت و بہتان,Remember,سوشل میڈیا پر جھوٹا الزام ہے:,بہتان,شکر,قناعت,امانت,A | بہتان,Medium,1,ULTRA,1
q_9_isl_b4_mcq_090,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | غیبت و بہتان,Remember,غیبت اور بہتان سے معاشرے میں بڑھتا ہے:,فساد,اتحاد,اعتماد,رحم,A | فساد,Medium,1,ULTRA,1
q_9_isl_b4_mcq_091,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | جادو، فال اور توہم پرستی,Remember,اسلام میں جادو ہے:,حرام,فرض,سنت,مستحب,A | حرام,Medium,1,ULTRA,1
q_9_isl_b4_mcq_092,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | جادو، فال اور توہم پرستی,Remember,غیب کا حقیقی علم ہے:,اللہ تعالیٰ کے پاس,ہر نجومی کے پاس,ہر جادوگر کے پاس,ہر انسان کے پاس,A | اللہ تعالیٰ کے پاس,Medium,1,ULTRA,1
q_9_isl_b4_mcq_093,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | جادو، فال اور توہم پرستی,Remember,فال گیری سے مراد ہے:,مستقبل جاننے کی کوشش,نماز پڑھنا,صدقہ دینا,علم سیکھنا,A | مستقبل جاننے کی کوشش,Medium,1,ULTRA,1
q_9_isl_b4_mcq_094,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | جادو، فال اور توہم پرستی,Remember,توہم پرستی کی بنیاد ہے:,بے دلیل خوف,یقین توحید,علم,امانت,A | بے دلیل خوف,Medium,1,ULTRA,1
q_9_isl_b4_mcq_095,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | جادو، فال اور توہم پرستی,Remember,بدشگونی اسلام میں:,ناپسندیدہ,فرض,سنت,لازم,A | ناپسندیدہ,Medium,1,ULTRA,1
q_9_isl_b4_mcq_096,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | جادو، فال اور توہم پرستی,Remember,ستاروں سے قسمت معلوم کرنا ہے:,غیر شرعی,فرض,سنت,مستحب,A | غیر شرعی,Medium,1,ULTRA,1
q_9_isl_b4_mcq_097,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | جادو، فال اور توہم پرستی,Remember,جادو سے حفاظت کے لیے اختیار کیا جائے:,دعا و اذکار,جادوگر,نجومی,فال گیر,A | دعا و اذکار,Medium,1,ULTRA,1
q_9_isl_b4_mcq_098,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | جادو، فال اور توہم پرستی,Remember,توہم پرستی معاشرتی طور پر پیدا کرتی ہے:,خوف و بے یقینی,اعتماد,علم,اخوت,A | خوف و بے یقینی,Medium,1,ULTRA,1
q_9_isl_b4_mcq_099,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | جادو، فال اور توہم پرستی,Remember,علاج کے نام پر غیر شرعی طریقہ اپنانا:,درست نہیں,ضروری,فرض,مستحب,A | درست نہیں,Medium,1,ULTRA,1
q_9_isl_b4_mcq_100,1,ISLAMIAT | BAB 4 - اخلاق و آداب | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | جادو، فال اور توہم پرستی,Remember,مستقبل کے بارے میں مسلمان کا رویہ ہونا چاہیے:,اللہ پر توکل,نجومی پر یقین,فال گیر پر اعتماد,بدشگونی,A | اللہ پر توکل,Medium,1,ULTRA,1
