question_hash,active,topic,bloom_level,question,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
q_9_isl_b6_mcq_001,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | اہل بیت اطہار | حضرت امام زین العابدین رحمۃ اللہ علیہ,Remember,حضرت امام زین العابدین رحمۃ اللہ علیہ کے والد تھے:,حضرت امام حسین رضی اللہ عنہ,حضرت امام حسن رضی اللہ عنہ,حضرت عباس رضی اللہ عنہ,حضرت جعفر رضی اللہ عنہ,A | حضرت امام حسین رضی اللہ عنہ,Medium,1,ELITE,1
q_9_isl_b6_mcq_056,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صحابیات رضی اللہ عنہن | حضرت ام ایمن رضی اللہ عنہا,Remember,حضرت ام ایمن رضی اللہ عنہا کا اصل نام تھا:,برکہ,شفاء,رمیصاء,نسیبہ,A | برکہ,Medium,1,ULTRA,1
q_9_isl_b6_mcq_057,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صحابیات رضی اللہ عنہن | حضرت ام ایمن رضی اللہ عنہا,Remember,حضرت ام ایمن رضی اللہ عنہا نے نبی کریم ﷺ کی:,پرورش و خدمت کی,صرف تجارت کی,صرف کتابت کی,صرف سفارت کی,A | پرورش و خدمت کی,Medium,1,ULTRA,1
q_9_isl_b6_mcq_058,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صحابیات رضی اللہ عنہن | حضرت ام ایمن رضی اللہ عنہا,Remember,حضرت ام ایمن رضی اللہ عنہا کو نبی کریم ﷺ سے خاص تعلق حاصل تھا:,خدمت و شفقت کا,تجارت کا,سیاست کا,زراعت کا,A | خدمت و شفقت کا,Medium,1,ULTRA,1
q_9_isl_b6_mcq_059,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صحابیات رضی اللہ عنہن | حضرت ام ایمن رضی اللہ عنہا,Remember,حضرت ام ایمن رضی اللہ عنہا نے غزوات میں:,خدمت انجام دی,قیادت کی,سوداگری کی,خطاطی کی,A | خدمت انجام دی,Medium,1,ULTRA,1
q_9_isl_b6_mcq_060,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صحابیات رضی اللہ عنہن | حضرت ام ایمن رضی اللہ عنہا,Remember,حضرت ام ایمن رضی اللہ عنہا کی نمایاں صفت تھی:,وفاداری,تکبر,حسد,بخل,A | وفاداری,Medium,1,ULTRA,1
q_9_isl_b6_mcq_061,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صحابیات رضی اللہ عنہن | حضرت ام عمارہ رضی اللہ عنہا,Remember,حضرت ام عمارہ رضی اللہ عنہا کا تعلق تھا:,انصار سے,قریش سے,ثقیف سے,بنو تمیم سے,A | انصار سے,Medium,1,ULTRA,1
q_9_isl_b6_mcq_062,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صحابیات رضی اللہ عنہن | حضرت ام عمارہ رضی اللہ عنہا,Remember,حضرت ام عمارہ رضی اللہ عنہا کی نمایاں صفت تھی:,شجاعت,بخل,غفلت,اسراف,A | شجاعت,Medium,1,ULTRA,1
q_9_isl_b6_mcq_063,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صحابیات رضی اللہ عنہن | حضرت ام عمارہ رضی اللہ عنہا,Remember,حضرت ام عمارہ رضی اللہ عنہا نے نمایاں بہادری دکھائی:,غزوہ احد میں,غزوہ تبوک میں,فتح مکہ کے بعد,غزوہ بدر سے پہلے,A | غزوہ احد میں,Medium,1,ULTRA,1
q_9_isl_b6_mcq_064,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صحابیات رضی اللہ عنہن | حضرت ام عمارہ رضی اللہ عنہا,Remember,حضرت ام عمارہ رضی اللہ عنہا نے جنگ میں:,نبی کریم ﷺ کا دفاع کیا,لشکر چھوڑ دیا,صرف تجارت کی,خطاطی کی,A | نبی کریم ﷺ کا دفاع کیا,Medium,1,ULTRA,1
q_9_isl_b6_mcq_065,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صحابیات رضی اللہ عنہن | حضرت ام عمارہ رضی اللہ عنہا,Remember,حضرت ام عمارہ رضی اللہ عنہا کی زندگی سے سبق ملتا ہے:,ثابت قدمی,بے عملی,تکبر,بددیانتی,A | ثابت قدمی,Medium,1,ULTRA,1
q_9_isl_b6_mcq_066,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صحابیات رضی اللہ عنہن | حضرت اسماء بنت ابی بکر صدیق رضی اللہ عنہا,Remember,حضرت اسماء بنت ابی بکر صدیق رضی اللہ عنہا کا مشہور لقب تھا:,ذات النطاقین,ام المساکین,صدیقہ,طاہرہ,A | ذات النطاقین,Medium,1,ULTRA,1
q_9_isl_b6_mcq_067,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صحابیات رضی اللہ عنہن | حضرت اسماء بنت ابی بکر صدیق رضی اللہ عنہا,Remember,حضرت اسماء رضی اللہ عنہا کے والد تھے:,حضرت ابو بکر صدیق رضی اللہ عنہ,حضرت عمر رضی اللہ عنہ,حضرت عثمان رضی اللہ عنہ,حضرت علی رضی اللہ عنہ,A | حضرت ابو بکر صدیق رضی اللہ عنہ,Medium,1,ULTRA,1
q_9_isl_b6_mcq_068,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صحابیات رضی اللہ عنہن | حضرت اسماء بنت ابی بکر صدیق رضی اللہ عنہا,Remember,حضرت اسماء رضی اللہ عنہا کی بہن تھیں:,حضرت عائشہ رضی اللہ عنہا,حضرت حفصہ رضی اللہ عنہا,حضرت ام سلمہ رضی اللہ عنہا,حضرت صفیہ رضی اللہ عنہا,A | حضرت عائشہ رضی اللہ عنہا,Medium,1,ULTRA,1
q_9_isl_b6_mcq_069,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صحابیات رضی اللہ عنہن | حضرت اسماء بنت ابی بکر صدیق رضی اللہ عنہا,Remember,حضرت اسماء رضی اللہ عنہا کے بیٹے تھے:,حضرت عبداللہ بن زبیر رضی اللہ عنہ,حضرت انس رضی اللہ عنہ,حضرت جابر رضی اللہ عنہ,حضرت حسن رضی اللہ عنہ,A | حضرت عبداللہ بن زبیر رضی اللہ عنہ,Medium,1,ULTRA,1
q_9_isl_b6_mcq_070,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صحابیات رضی اللہ عنہن | حضرت اسماء بنت ابی بکر صدیق رضی اللہ عنہا,Remember,حضرت اسماء رضی اللہ عنہا نے تقریباً عمر پائی:,100 سال,60 سال,74 سال,40 سال,A | 100 سال,Medium,1,ULTRA,1
q_9_isl_b6_mcq_071,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صوفیائے کرام رحمۃ اللہ علیہم | حضرت ابوالقاسم قشیری رحمۃ اللہ علیہ,Remember,حضرت ابوالقاسم قشیری رحمۃ اللہ علیہ کی مشہور تصنیف ہے:,الرسالہ القشیریہ,تذکرۃ الاولیاء,فوائد الفؤاد,نفحات الانس,A | الرسالہ القشیریہ,Medium,1,ULTRA,1
q_9_isl_b6_mcq_072,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صوفیائے کرام رحمۃ اللہ علیہم | حضرت ابوالقاسم قشیری رحمۃ اللہ علیہ,Remember,حضرت ابوالقاسم قشیری رحمۃ اللہ علیہ کا میدان تھا:,علم و تصوف,فوجی قیادت,تجارت,طب,A | علم و تصوف,Medium,1,ULTRA,1
q_9_isl_b6_mcq_073,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صوفیائے کرام رحمۃ اللہ علیہم | حضرت ابوالقاسم قشیری رحمۃ اللہ علیہ,Remember,حضرت ابوالقاسم قشیری رحمۃ اللہ علیہ نے خدمات انجام دیں:,دینی علوم میں,صرف سیاست میں,صرف زراعت میں,صرف فن تعمیر میں,A | دینی علوم میں,Medium,1,ULTRA,1
q_9_isl_b6_mcq_074,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صوفیائے کرام رحمۃ اللہ علیہم | حضرت ابوالقاسم قشیری رحمۃ اللہ علیہ,Remember,حضرت ابوالقاسم قشیری رحمۃ اللہ علیہ کی تعلیمات میں اہم تھا:,اصلاح باطن,سود,تکبر,تعصب,A | اصلاح باطن,Medium,1,ULTRA,1
q_9_isl_b6_mcq_075,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صوفیائے کرام رحمۃ اللہ علیہم | حضرت ابوالقاسم قشیری رحمۃ اللہ علیہ,Remember,حضرت ابوالقاسم قشیری رحمۃ اللہ علیہ کی شہرت ہے:,صوفی عالم کی,سپہ سالار کی,بادشاہ کی,تاجر کی,A | صوفی عالم کی,Medium,1,ULTRA,1
q_9_isl_b6_mcq_076,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صوفیائے کرام رحمۃ اللہ علیہم | حضرت شیخ فریدالدین عطار رحمۃ اللہ علیہ,Remember,حضرت شیخ فریدالدین عطار رحمۃ اللہ علیہ کی مشہور کتاب ہے:,تذکرۃ الاولیاء,الرسالہ القشیریہ,فوائد الفؤاد,صحیفہ صادقہ,A | تذکرۃ الاولیاء,Medium,1,ULTRA,1
q_9_isl_b6_mcq_077,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صوفیائے کرام رحمۃ اللہ علیہم | حضرت شیخ فریدالدین عطار رحمۃ اللہ علیہ,Remember,حضرت فریدالدین عطار رحمۃ اللہ علیہ کی شہرت ہے:,صوفی شاعر و مصنف,سپہ سالار,طبیب شاہی,قاضی مصر,A | صوفی شاعر و مصنف,Medium,1,ULTRA,1
q_9_isl_b6_mcq_078,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صوفیائے کرام رحمۃ اللہ علیہم | حضرت شیخ فریدالدین عطار رحمۃ اللہ علیہ,Remember,حضرت فریدالدین عطار رحمۃ اللہ علیہ کی تصانیف میں نمایاں موضوع ہے:,تصوف و اخلاق,سود,سیاست فقط,فن تعمیر,A | تصوف و اخلاق,Medium,1,ULTRA,1
q_9_isl_b6_mcq_079,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صوفیائے کرام رحمۃ اللہ علیہم | حضرت شیخ فریدالدین عطار رحمۃ اللہ علیہ,Remember,حضرت فریدالدین عطار رحمۃ اللہ علیہ کے کلام کا مقصد تھا:,اصلاح انسان,دولت جمع کرنا,جنگ,شہرت,A | اصلاح انسان,Medium,1,ULTRA,1
q_9_isl_b6_mcq_080,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صوفیائے کرام رحمۃ اللہ علیہم | حضرت شیخ فریدالدین عطار رحمۃ اللہ علیہ,Remember,حضرت فریدالدین عطار رحمۃ اللہ علیہ کی معروف تصنیف میں اولیاء کے حالات ہیں:,تذکرۃ الاولیاء,رسالۃ الحقوق,صحیفہ صادقہ,پیغام پاکستان,A | تذکرۃ الاولیاء,Medium,1,ULTRA,1
q_9_isl_b6_mcq_081,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صوفیائے کرام رحمۃ اللہ علیہم | حضرت خواجہ نظام الدین اولیاء رحمۃ اللہ علیہ,Remember,حضرت خواجہ نظام الدین اولیاء رحمۃ اللہ علیہ کے مرشد تھے:,حضرت بابا فرید گنج شکر رحمۃ اللہ علیہ,حضرت ابوالقاسم قشیری رحمۃ اللہ علیہ,حضرت عبدالقادر جیلانی رحمۃ اللہ علیہ,حضرت لعل شہباز قلندر رحمۃ اللہ علیہ,A | حضرت بابا فرید گنج شکر رحمۃ اللہ علیہ,Medium,1,ULTRA,1
q_9_isl_b6_mcq_082,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صوفیائے کرام رحمۃ اللہ علیہم | حضرت خواجہ نظام الدین اولیاء رحمۃ اللہ علیہ,Remember,حضرت خواجہ نظام الدین اولیاء رحمۃ اللہ علیہ کا مرکز بنا:,دہلی,مکہ,بغداد,دمشق,A | دہلی,Medium,1,ULTRA,1
q_9_isl_b6_mcq_083,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صوفیائے کرام رحمۃ اللہ علیہم | حضرت خواجہ نظام الدین اولیاء رحمۃ اللہ علیہ,Remember,حضرت خواجہ نظام الدین اولیاء رحمۃ اللہ علیہ کی تعلیمات میں نمایاں تھا:,محبت و خدمت,نفرت,تعصب,مال پرستی,A | محبت و خدمت,Medium,1,ULTRA,1
q_9_isl_b6_mcq_084,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صوفیائے کرام رحمۃ اللہ علیہم | حضرت خواجہ نظام الدین اولیاء رحمۃ اللہ علیہ,Remember,حضرت خواجہ نظام الدین اولیاء رحمۃ اللہ علیہ نے زور دیا:,خدمت خلق پر,سود پر,نسلی برتری پر,دولت پر,A | خدمت خلق پر,Medium,1,ULTRA,1
q_9_isl_b6_mcq_085,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صوفیائے کرام رحمۃ اللہ علیہم | حضرت خواجہ نظام الدین اولیاء رحمۃ اللہ علیہ,Remember,حضرت خواجہ نظام الدین اولیاء رحمۃ اللہ علیہ کا تعلق تھا:,چشتی سلسلے سے,قادری سلسلے سے,نقشبندی سلسلے سے,سہروردی سلسلے سے,A | چشتی سلسلے سے,Medium,1,ULTRA,1
q_9_isl_b6_mcq_086,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صوفیائے کرام رحمۃ اللہ علیہم | حضرت سید عبداللطیف کاظمی المعروف امام بری رحمۃ اللہ علیہ,Remember,حضرت سید عبداللطیف کاظمی رحمۃ اللہ علیہ معروف ہیں:,امام بری کے نام سے,بابا فرید کے نام سے,داتا گنج بخش کے نام سے,لعل شہباز کے نام سے,A | امام بری کے نام سے,Medium,1,ULTRA,1
q_9_isl_b6_mcq_087,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صوفیائے کرام رحمۃ اللہ علیہم | حضرت سید عبداللطیف کاظمی المعروف امام بری رحمۃ اللہ علیہ,Remember,حضرت امام بری رحمۃ اللہ علیہ کی نسبت موجودہ علاقے سے ہے:,اسلام آباد,کراچی,کوئٹہ,ملتان,A | اسلام آباد,Medium,1,ULTRA,1
q_9_isl_b6_mcq_088,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صوفیائے کرام رحمۃ اللہ علیہم | حضرت سید عبداللطیف کاظمی المعروف امام بری رحمۃ اللہ علیہ,Remember,حضرت امام بری رحمۃ اللہ علیہ کی تعلیمات کا مرکز تھا:,دین و اخلاق,سود,تکبر,فرقہ واریت,A | دین و اخلاق,Medium,1,ULTRA,1
q_9_isl_b6_mcq_089,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صوفیائے کرام رحمۃ اللہ علیہم | حضرت سید عبداللطیف کاظمی المعروف امام بری رحمۃ اللہ علیہ,Remember,حضرت امام بری رحمۃ اللہ علیہ نے زور دیا:,لوگوں کی اصلاح پر,مال جمع کرنے پر,جنگ پر,نسلی برتری پر,A | لوگوں کی اصلاح پر,Medium,1,ULTRA,1
q_9_isl_b6_mcq_090,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صوفیائے کرام رحمۃ اللہ علیہم | حضرت سید عبداللطیف کاظمی المعروف امام بری رحمۃ اللہ علیہ,Remember,حضرت امام بری رحمۃ اللہ علیہ کی شخصیت کا نمایاں وصف تھا:,تقویٰ و خدمت,غرور,اسراف,قطع رحمی,A | تقویٰ و خدمت,Medium,1,ULTRA,1
q_9_isl_b6_mcq_091,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صوفیائے کرام رحمۃ اللہ علیہم | حضرت مولانا عبدالرحمن جامی رحمۃ اللہ علیہ,Remember,حضرت مولانا عبدالرحمن جامی رحمۃ اللہ علیہ کا تعلق تھا:,علم و ادب سے,فوجی قیادت سے,تجارت سے,زراعت سے,A | علم و ادب سے,Medium,1,ULTRA,1
q_9_isl_b6_mcq_092,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صوفیائے کرام رحمۃ اللہ علیہم | حضرت مولانا عبدالرحمن جامی رحمۃ اللہ علیہ,Remember,حضرت مولانا عبدالرحمن جامی رحمۃ اللہ علیہ کی مشہور تصنیف ہے:,نفحات الانس,الرسالہ القشیریہ,صحیفہ صادقہ,رسالۃ الحقوق,A | نفحات الانس,Medium,1,ULTRA,1
q_9_isl_b6_mcq_093,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صوفیائے کرام رحمۃ اللہ علیہم | حضرت مولانا عبدالرحمن جامی رحمۃ اللہ علیہ,Remember,حضرت مولانا عبدالرحمن جامی رحمۃ اللہ علیہ تھے:,شاعر و صوفی,سپہ سالار,تاجر,حاکم,A | شاعر و صوفی,Medium,1,ULTRA,1
q_9_isl_b6_mcq_094,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صوفیائے کرام رحمۃ اللہ علیہم | حضرت مولانا عبدالرحمن جامی رحمۃ اللہ علیہ,Remember,حضرت مولانا عبدالرحمن جامی رحمۃ اللہ علیہ کی تعلیمات کا اہم پہلو تھا:,اخلاقی اصلاح,سود,تعصب,تکبر,A | اخلاقی اصلاح,Medium,1,ULTRA,1
q_9_isl_b6_mcq_095,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صوفیائے کرام رحمۃ اللہ علیہم | حضرت مولانا عبدالرحمن جامی رحمۃ اللہ علیہ,Remember,حضرت مولانا عبدالرحمن جامی رحمۃ اللہ علیہ کا علمی سرمایہ زیادہ تر ہے:,فارسی ادب میں,عربی نحو فقط,طب میں,فن تعمیر میں,A | فارسی ادب میں,Medium,1,ULTRA,1
q_9_isl_b6_mcq_096,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صوفیائے کرام رحمۃ اللہ علیہم | حضرت لعل شہباز قلندر رحمۃ اللہ علیہ,Remember,حضرت لعل شہباز قلندر رحمۃ اللہ علیہ کا اصل نام تھا:,سید محمد عثمان مروندی,عبدالرحمن جامی,عبدالکریم قشیری,فریدالدین عطار,A | سید محمد عثمان مروندی,Medium,1,ULTRA,1
q_9_isl_b6_mcq_097,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صوفیائے کرام رحمۃ اللہ علیہم | حضرت لعل شہباز قلندر رحمۃ اللہ علیہ,Remember,حضرت لعل شہباز قلندر رحمۃ اللہ علیہ کا تعلق مشہور طور پر ہے:,سیہون سندھ سے,دہلی سے,بغداد سے,قاہرہ سے,A | سیہون سندھ سے,Medium,1,ULTRA,1
q_9_isl_b6_mcq_098,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صوفیائے کرام رحمۃ اللہ علیہم | حضرت لعل شہباز قلندر رحمۃ اللہ علیہ,Remember,حضرت لعل شہباز قلندر رحمۃ اللہ علیہ کی تعلیمات میں نمایاں تھا:,محبت و خدمت,نسلی تعصب,سود,تکبر,A | محبت و خدمت,Medium,1,ULTRA,1
q_9_isl_b6_mcq_099,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صوفیائے کرام رحمۃ اللہ علیہم | حضرت لعل شہباز قلندر رحمۃ اللہ علیہ,Remember,حضرت لعل شہباز قلندر رحمۃ اللہ علیہ کی شہرت ہے:,صوفی بزرگ کی,بادشاہ کی,تاجر کی,سپہ سالار کی,A | صوفی بزرگ کی,Medium,1,ULTRA,1
q_9_isl_b6_mcq_100,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صوفیائے کرام رحمۃ اللہ علیہم | حضرت لعل شہباز قلندر رحمۃ اللہ علیہ,Remember,حضرت لعل شہباز قلندر رحمۃ اللہ علیہ کی دعوت کا مقصد تھا:,اصلاح و ہدایت,مال جمع کرنا,سیاسی اقتدار,جنگ,A | اصلاح و ہدایت,Medium,1,ULTRA,1
