question_hash,active,topic,bloom_level,question,urdu_translation,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
q_9_phy_ch4_061,1,4.10 States of Equilibrium,Understand,A cylinder resting on its circular base is in:,اپنی دائرہ نما بنیاد پر کھڑا سلنڈر کس توازن میں ہوتا ہے؟,Stable equilibrium / مستحکم توازن,Unstable equilibrium / غیر مستحکم توازن,Neutral equilibrium / غیر جانبدار توازن,None of these / ان میں سے کوئی نہیں,A | Stable equilibrium / مستحکم توازن,Medium,1,high,1
q_9_phy_ch4_062,1,4.10 States of Equilibrium,Understand,A cylinder resting on a horizontal curved surface shows:,افقی سطح پر اپنی خم دار سطح پر پڑا سلنڈر کس توازن کو ظاہر کرتا ہے؟,Stable equilibrium / مستحکم توازن,Unstable equilibrium / غیر مستحکم توازن,Neutral equilibrium / غیر جانبدار توازن,Translational equilibrium only / صرف انتقالی توازن,C | Neutral equilibrium / غیر جانبدار توازن,Medium,1,high,1
q_9_phy_ch4_063,1,4.11 Improvement of Stability,Remember,Stability of a system can be improved by:,کسی نظام کا استحکام کیسے بہتر کیا جا سکتا ہے؟,Lowering centre of gravity or widening base / مرکز ثقل نیچا کر کے یا بنیاد چوڑی کر کے,Raising centre of gravity only / صرف مرکز ثقل بلند کر کے,Making base smaller only / صرف بنیاد چھوٹی کر کے,Removing all forces / تمام قوتیں ختم کر کے,A | Lowering centre of gravity or widening base / مرکز ثقل نیچا کر کے یا بنیاد چوڑی کر کے,Easy,1,high,1
q_9_phy_ch4_064,1,4.11 Improvement of Stability,Understand,A low armchair is more stable than a high chair because it has a:,نیچی آرام کرسی اونچی کرسی سے زیادہ مستحکم کیوں ہوتی ہے؟,High centre of gravity / بلند مرکز ثقل,Low centre of gravity / کم مرکز ثقل,Zero centre of mass / صفر مرکز کمیت,Small base only / صرف چھوٹی بنیاد,B | Low centre of gravity / کم مرکز ثقل,Medium,1,high,1
q_9_phy_ch4_065,1,4.12 Application of Stability in Real Life,Understand,Racing cars are made more stable by keeping the centre of mass low and increasing the:,ریسنگ کاروں کو زیادہ مستحکم بنانے کے لیے مرکز کمیت نیچا رکھا جاتا ہے اور کیا بڑھایا جاتا ہے؟,Base area / بنیاد کا رقبہ,Torque sign / ٹارک کا نشان,Angle only / صرف زاویہ,Mass of driver / ڈرائیور کی کمیت,A | Base area / بنیاد کا رقبہ,Medium,1,high,1
q_9_phy_ch4_066,1,4.12 Application of Stability in Real Life,Understand,Balancing toys remain stable because their centres of gravity remain:,توازن والے کھلونے مستحکم رہتے ہیں کیونکہ ان کے مراکز ثقل کہاں رہتے ہیں؟,Below the pivot point / محور کے نیچے,Above the pivot point / محور کے اوپر,Outside every base / ہر بنیاد سے باہر,At infinite distance / لامحدود فاصلے پر,A | Below the pivot point / محور کے نیچے,Medium,1,high,1
q_9_phy_ch4_067,1,4.12 Application of Stability in Real Life,Analyze,A bus loaded with heavy material on the top is near unstable equilibrium because its centre of gravity is:,اگر بس کے اوپر بھاری سامان رکھا جائے تو وہ غیر مستحکم توازن کے قریب ہوتی ہے کیونکہ اس کا مرکز ثقل:,Lowered / نیچا ہو جاتا ہے,Raised / بلند ہو جاتا ہے,Destroyed / ختم ہو جاتا ہے,Converted to centre of mass only / صرف مرکز کمیت میں بدل جاتا ہے,B | Raised / بلند ہو جاتا ہے,Hard,1,high,1
q_9_phy_ch4_068,1,4.12 Application of Stability in Real Life,Analyze,A tilted chair may overturn backward because weight and normal reaction form a:,پیچھے جھکی ہوئی کرسی الٹ سکتی ہے کیونکہ وزن اور نارمل ردعمل کیا بناتے ہیں؟,Clockwise couple / گھڑی وار جوڑا قوت,Centripetal force / مرکز مائل قوت,Zero mass system / صفر کمیت نظام,Like parallel forces only / صرف ہم سمت متوازی قوتیں,A | Clockwise couple / گھڑی وار جوڑا قوت,Hard,1,high,1
q_9_phy_ch4_069,1,Rotational Motion Versus Translational Motion,Remember,The counterpart of force in rotational motion is:,گردشی حرکت میں قوت کا ہم معنی مقابل کیا ہے؟,Torque / ٹارک,Linear velocity / خطی ولاسٹی,Mass / کمیت,Distance / فاصلہ,A | Torque / ٹارک,Easy,1,high,1
q_9_phy_ch4_070,1,Rotational Motion Versus Translational Motion,Remember,The counterpart of velocity in rotational motion is:,گردشی حرکت میں ولاسٹی کا ہم معنی مقابل کیا ہے؟,Angular velocity / زاویائی ولاسٹی,Moment arm / بازوئے قوت,Centre of gravity / مرکز ثقل,Centripetal force / مرکز مائل قوت,A | Angular velocity / زاویائی ولاسٹی,Easy,1,high,1
q_9_phy_ch4_071,1,Rotational Motion Versus Translational Motion,Understand,A rotating object continues with constant angular velocity unless acted upon by:,ایک گھومتا ہوا جسم مستقل زاویائی ولاسٹی سے گھومتا رہتا ہے جب تک اس پر کیا عمل نہ کرے؟,A resultant moment or torque / محصل مومنٹ یا ٹارک,A centre of mass only / صرف مرکز کمیت,A rectangular component only / صرف مستطیلی جزو,A plumb line / شاقولی لکیر,A | A resultant moment or torque / محصل مومنٹ یا ٹارک,Medium,1,high,1
q_9_phy_ch4_072,1,Motion in a Circle,Remember,"For a body moving along a circular path, velocity at any point is directed along the:",دائرہ نما راستے پر حرکت کرتے جسم کی کسی بھی نقطے پر ولاسٹی کس کے ساتھ ہوتی ہے؟,Tangent at that point / اس نقطے پر مماس,Radius toward centre / مرکز کی طرف نصف قطر,Moment arm / بازوئے قوت,Line of weight / وزن کا خط,A | Tangent at that point / اس نقطے پر مماس,Easy,1,high,1
q_9_phy_ch4_073,1,Motion in a Circle,Understand,Uniform circular motion requires a force that is always:,یکساں دائرہ نما حرکت کے لیے ایسی قوت درکار ہوتی ہے جو ہمیشہ:,Parallel to velocity / ولاسٹی کے متوازی ہو,Perpendicular to velocity / ولاسٹی پر عمود ہو,Opposite to mass / کمیت کے مخالف ہو,Zero / صفر ہو,B | Perpendicular to velocity / ولاسٹی پر عمود ہو,Medium,1,high,1
q_9_phy_ch4_074,1,4.13 Centripetal Force,Remember,The force that causes an object to move in a circle at constant speed is called:,وہ قوت جو کسی جسم کو مستقل رفتار سے دائرے میں حرکت دیتی ہے کیا کہلاتی ہے؟,Centripetal force / مرکز مائل قوت,Frictional heat / رگڑی حرارت,Moment arm / بازوئے قوت,Static equilibrium / سکونی توازن,A | Centripetal force / مرکز مائل قوت,Easy,1,high,1
q_9_phy_ch4_075,1,4.13 Centripetal Force,Remember,Centripetal force is always directed towards the:,مرکز مائل قوت ہمیشہ کس طرف ہوتی ہے؟,Centre of the circle / دائرے کے مرکز کی طرف,Tangent of the circle / دائرے کے مماس کی طرف,Outside of the circle / دائرے سے باہر,Line of action of weight only / صرف وزن کے خط عمل کی طرف,A | Centre of the circle / دائرے کے مرکز کی طرف,Easy,1,high,1
q_9_phy_ch4_076,1,4.13 Centripetal Force,Remember,The magnitude of centripetal force is given by:,مرکز مائل قوت کی مقدار کس مساوات سے دی جاتی ہے؟,Fc = mv²/r / Fc = mv²/r,Fc = Fℓ / Fc = Fℓ,Fc = Fx + Fy / Fc = Fx + Fy,Fc = mg / Fc = mg,A | Fc = mv²/r / Fc = mv²/r,Easy,1,high,1
q_9_phy_ch4_077,1,4.13 Centripetal Force,Apply,A 0.15 kg stone moves in a circle of radius 1.2 m at 8 m s⁻¹. The centripetal force is:,ایک 0.15 kg پتھر 1.2 m نصف قطر کے دائرے میں 8 m s⁻¹ رفتار سے حرکت کرتا ہے۔ مرکز مائل قوت ہو گی:,4 N / 4 N,8 N / 8 N,12 N / 12 N,64 N / 64 N,B | 8 N / 8 N,Medium,1,high,1
q_9_phy_ch4_078,1,4.13 Sources of Centripetal Force,Understand,"For a stone whirled with a string, the required centripetal force is provided by:",ڈوری سے گھمائے گئے پتھر کے لیے درکار مرکز مائل قوت کون فراہم کرتا ہے؟,Tension in the string / ڈوری کا تناؤ,Weight of the air / ہوا کا وزن,Centre of mass / مرکز کمیت,Moment arm only / صرف بازوئے قوت,A | Tension in the string / ڈوری کا تناؤ,Medium,1,high,1
q_9_phy_ch4_079,1,4.13 Sources of Centripetal Force,Understand,The Moon remains in its orbit around Earth because the required centripetal force is provided by:,چاند زمین کے گرد اپنے مدار میں اس لیے رہتا ہے کہ درکار مرکز مائل قوت کون فراہم کرتا ہے؟,Earth's gravity / زمین کی کشش ثقل,Air resistance / ہوا کی مزاحمت,Tension in a string / ڈوری کا تناؤ,A couple / جوڑا قوت,A | Earth's gravity / زمین کی کشش ثقل,Medium,1,high,1
q_9_phy_ch4_080,1,4.13 Sources of Centripetal Force,Analyze,"When a string holding a whirling stone is released, the stone moves along the tangent because:",جب گھومتے پتھر کی ڈوری چھوڑ دی جائے تو پتھر مماس کے ساتھ حرکت کرتا ہے کیونکہ:,Centripetal force stops acting / مرکز مائل قوت عمل کرنا بند کر دیتی ہے,Gravity becomes zero / کشش ثقل صفر ہو جاتی ہے,Torque becomes infinite / ٹارک لامحدود ہو جاتا ہے,Mass becomes concentrated at the centre / کمیت مرکز پر مرتکز ہو جاتی ہے,A | Centripetal force stops acting / مرکز مائل قوت عمل کرنا بند کر دیتی ہے,Hard,1,high,1
q_9_phy_ch4_081,1,4.13 Sources of Centripetal Force,Analyze,"In a washing machine dryer, water escapes through holes because water molecules:",واشنگ مشین ڈرائر میں پانی سوراخوں سے اس لیے نکلتا ہے کہ پانی کے سالمات:,Cannot get the required centripetal force / مطلوبہ مرکز مائل قوت حاصل نہیں کر پاتے,Become weightless / بے وزن ہو جاتے ہیں,Move toward the centre only / صرف مرکز کی طرف حرکت کرتے ہیں,Have zero velocity / صفر ولاسٹی رکھتے ہیں,A | Cannot get the required centripetal force / مطلوبہ مرکز مائل قوت حاصل نہیں کر پاتے,Hard,1,high,1
q_9_phy_ch4_082,1,4.13 Sources of Centripetal Force,Understand,"In a cream separator, lighter cream particles gather in the central part because they experience:",کریم سیپریٹر میں ہلکے کریم ذرات مرکزی حصے میں جمع ہوتے ہیں کیونکہ وہ کس چیز کا کم تجربہ کرتے ہیں؟,Less centripetal force / کم مرکز مائل قوت,Greater torque / زیادہ ٹارک,Greater weight / زیادہ وزن,Zero mass / صفر کمیت,A | Less centripetal force / کم مرکز مائل قوت,Medium,1,high,1
q_9_phy_ch4_083,1,Exercise MCQs,Apply,A particle is simultaneously acted upon by two forces of 4 N and 3 N. The possible net force is:,ایک ذرہ بیک وقت 4 N اور 3 N قوتوں کے زیر اثر ہے۔ ممکنہ محصل قوت ہو سکتی ہے:,Only 1 N / صرف 1 N,Between 1 N and 7 N / 1 N اور 7 N کے درمیان,Only 5 N / صرف 5 N,Only 7 N / صرف 7 N,B | Between 1 N and 7 N / 1 N اور 7 N کے درمیان,Medium,1,high,1
q_9_phy_ch4_084,1,Exercise MCQs,Apply,A force F makes an angle of 60° with the x-axis. Its y-component is:,قوت F x-axis کے ساتھ 60° زاویہ بناتی ہے۔ اس کا y-جزو ہو گا:,F / F,F sin60° / F sin60°,F cos60° / F cos60°,F tan60° / F tan60°,B | F sin60° / F sin60°,Medium,1,high,1
q_9_phy_ch4_085,1,Exercise MCQs,Remember,Moment of force is also called:,مومنٹ آف فورس کو کیا بھی کہتے ہیں؟,Moment arm / بازوئے قوت,Couple / جوڑا قوت,Couple arm / بازوئے جوڑا,Torque / ٹارک,D | Torque / ٹارک,Easy,1,high,1
q_9_phy_ch4_086,1,Exercise MCQs,Analyze,A body will be completely in equilibrium when:,جسم مکمل توازن میں کب ہو گا؟,ΣF = 0 and Στ = 0 / ΣF = 0 اور Στ = 0,ΣF = 0 and Στ ≠ 0 / ΣF = 0 اور Στ ≠ 0,ΣF ≠ 0 and Στ = 0 / ΣF ≠ 0 اور Στ = 0,ΣF ≠ 0 and Στ ≠ 0 / ΣF ≠ 0 اور Στ ≠ 0,A | ΣF = 0 and Στ = 0 / ΣF = 0 اور Στ = 0,Hard,1,high,1
q_9_phy_ch4_087,1,Exercise MCQs,Understand,A man balances on a tight rope by holding a bamboo stick horizontally. This is an application of:,ایک شخص رسی پر چلتے ہوئے بانس افقی طور پر پکڑ کر توازن قائم کرتا ہے۔ یہ کس کا اطلاق ہے؟,Law of conservation of momentum / مومنٹم کے بقائے کا قانون,Newton's second law of motion / نیوٹن کا دوسرا قانون حرکت,Principle of moments / اصول مومنٹس,Newton's third law of motion / نیوٹن کا تیسرا قانون حرکت,C | Principle of moments / اصول مومنٹس,Medium,1,high,1
q_9_phy_ch4_088,1,Exercise MCQs,Remember,"In stable equilibrium, the centre of gravity of a body lies:",مستحکم توازن میں جسم کا مرکز ثقل کہاں ہوتا ہے؟,At the highest position / سب سے بلند مقام پر,At the lowest position / سب سے نچلے مقام پر,At any position / کسی بھی مقام پر,Outside the body / جسم سے باہر,B | At the lowest position / سب سے نچلے مقام پر,Easy,1,high,1
q_9_phy_ch4_089,1,Exercise MCQs,Analyze,The centre of mass of a body:,جسم کا مرکز کمیت:,Lies always inside the body / ہمیشہ جسم کے اندر ہوتا ہے,Lies always outside the body / ہمیشہ جسم سے باہر ہوتا ہے,Lies always on the surface of the body / ہمیشہ جسم کی سطح پر ہوتا ہے,"May lie within, outside or on the surface / اندر، باہر یا سطح پر ہو سکتا ہے","D | May lie within, outside or on the surface / اندر، باہر یا سطح پر ہو سکتا ہے",Hard,1,high,1
q_9_phy_ch4_090,1,Exercise MCQs,Analyze,Centripetal force depends directly on:,مرکز مائل قوت کس پر براہ راست منحصر ہے؟,Radius only / صرف نصف قطر,Mass and square of speed / کمیت اور رفتار کے مربع,Moment arm only / صرف بازوئے قوت,Centre of gravity only / صرف مرکز ثقل,B | Mass and square of speed / کمیت اور رفتار کے مربع,Hard,1,high,1
q_9_phy_ch4_091,1,Exercise Numericals,Apply,A 200 N force acts at 30° with the horizontal. The y-component of the force is:,ایک 200 N قوت افقی سمت کے ساتھ 30° زاویہ بناتی ہے۔ قوت کا y-جزو ہو گا:,100 N / 100 N,173.2 N / 173.2 N,200 N / 200 N,300 N / 300 N,A | 100 N / 100 N,Medium,1,high,1
q_9_phy_ch4_092,1,Exercise Numericals,Apply,A 300 N force is applied perpendicularly at a door knob 1.2 m from the hinge. The torque is:,دروازے کے ہینڈل پر قبضے سے 1.2 m دور 300 N عمودی قوت لگائی جائے تو ٹارک ہو گا:,250 N m / 250 N m,300 N m / 300 N m,360 N m / 360 N m,120 N m / 120 N m,C | 360 N m / 360 N m,Medium,1,high,1
q_9_phy_ch4_093,1,Exercise Numericals,Apply,A 30 cm spanner requires a torque of 150 N m. The force needed at the end of the spanner is:,30 cm اسپینر کے لیے 150 N m ٹارک درکار ہے۔ اسپینر کے سرے پر درکار قوت ہو گی:,50 N / 50 N,150 N / 150 N,300 N / 300 N,500 N / 500 N,D | 500 N / 500 N,Medium,1,high,1
q_9_phy_ch4_094,1,Exercise Numericals,Apply,A signboard of weight 200 N is suspended symmetrically by two steel wires. The tension in each wire is:,200 N وزن کا سائن بورڈ دو برابر فاصلے والی اسٹیل تاروں سے لٹکایا گیا ہے۔ ہر تار میں تناؤ ہو گا:,50 N / 50 N,100 N / 100 N,150 N / 150 N,200 N / 200 N,B | 100 N / 100 N,Medium,1,high,1
q_9_phy_ch4_095,1,Exercise Numericals,Apply,One girl of 30 kg mass sits 1.6 m from the axis of a see-saw. A 40 kg girl must sit on the other side at:,30 kg کمیت کی ایک لڑکی جھولے کے محور سے 1.6 m دور بیٹھی ہے۔ 40 kg لڑکی کو دوسری طرف کتنے فاصلے پر بیٹھنا چاہیے؟,0.8 m / 0.8 m,1.0 m / 1.0 m,1.2 m / 1.2 m,1.6 m / 1.6 m,C | 1.2 m / 1.2 m,Medium,1,high,1
q_9_phy_ch4_096,1,Exercise Numericals,Analyze,Two children of 30 kg at 2 m and 40 kg at 1.5 m sit on opposite sides of a see-saw. The see-saw is in equilibrium because:,"دو بچے جھولے کے مخالف اطراف بیٹھے ہیں: 30 kg at 2 m, 40 kg at 1.5 m۔ جھولا توازن میں ہے کیونکہ:",Their masses are equal / ان کی کمیتیں برابر ہیں,Their distances are equal / ان کے فاصلے برابر ہیں,Their moments on both sides are equal / دونوں طرف کے مومنٹس برابر ہیں,Their centre of gravity is outside the base / ان کا مرکز ثقل بنیاد سے باہر ہے,C | Their moments on both sides are equal / دونوں طرف کے مومنٹس برابر ہیں,Hard,1,high,1
q_9_phy_ch4_097,1,Exercise Numericals,Analyze,"For a cart pulled by a 200 N force at 30°, the horizontal component is larger than the vertical component because:",200 N قوت سے 30° زاویہ پر کھینچی گئی ریڑھی میں افقی جزو عمودی جزو سے بڑا کیوں ہے؟,cos30° is greater than sin30° / cos30°، sin30° سے بڑا ہے,sin30° is greater than cos30° / sin30°، cos30° سے بڑا ہے,Torque is zero / ٹارک صفر ہے,The force is not a vector / قوت ویکٹر نہیں ہے,A | cos30° is greater than sin30° / cos30°، sin30° سے بڑا ہے,Hard,1,high,1
q_9_phy_ch4_098,1,Exercise Numericals,Analyze,"If a 5 N ball is in equilibrium under a string tension and a horizontal force, the vertical component of tension must balance:",اگر 5 N گیند تناؤ اور افقی قوت کے تحت توازن میں ہے تو تناؤ کا عمودی جزو کس کو متوازن کرے گا؟,The weight 5 N / وزن 5 N,The horizontal force only / صرف افقی قوت,The torque only / صرف ٹارک,The centre of mass / مرکز کمیت,A | The weight 5 N / وزن 5 N,Hard,1,high,1
