question_hash,active,topic,bloom_level,question,urdu_translation,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
q_9_phy_ch8_056,,Alignment of Domains,Remember,A highly magnetized region of about 0.1 mm size in a ferromagnetic material is called:,فیرو مقناطیسی مادے میں تقریباً 0.1 mm کا بہت زیادہ مقناطیس شدہ خطہ کیا کہلاتا ہے؟,Magnetic domain / مقناطیسی ڈومین,Neutral liquid / غیر جانبدار مائع,Electric cell / برقی سیل,Plastic pole / پلاسٹک قطب,A | Magnetic domain / مقناطیسی ڈومین,Easy,1,high,
q_9_phy_ch8_057,,Alignment of Domains,Analyze,An unmagnetized piece of iron does not show magnetism because its domains are:,غیر مقناطیس شدہ لوہے کا ٹکڑا مقناطیسیت کیوں ظاہر نہیں کرتا؟,Randomly oriented so their fields cancel / اس کے ڈومین بے ترتیب ہوتے ہیں اس لیے میدان زائل ہو جاتے ہیں,All perfectly aligned / سب مکمل طور پر ہم سمت ہوتے ہیں,Absent from iron / لوہے میں موجود نہیں ہوتے,Changed into copper / تانبے میں بدل جاتے ہیں,A | Randomly oriented so their fields cancel / اس کے ڈومین بے ترتیب ہوتے ہیں اس لیے میدان زائل ہو جاتے ہیں,Hard,1,high,
q_9_phy_ch8_058,,Alignment of Domains,Analyze,Why is soft iron desirable in electromagnets and transformers?,برقی مقناطیسوں اور ٹرانسفارمروں میں نرم لوہا کیوں موزوں ہے؟,Its domains are easily oriented and return to random positions when the field is removed / اس کے ڈومین آسانی سے رخ اختیار کرتے ہیں اور میدان ہٹنے پر بے ترتیب ہو جاتے ہیں,It cannot allow magnetic flux / یہ مقناطیسی فلوکس کو گزرنے نہیں دیتا,It is a non-magnetic plastic / یہ غیر مقناطیسی پلاسٹک ہے,It keeps no magnetic field even during current / یہ کرنٹ کے دوران بھی مقناطیسی میدان نہیں رکھتا,A | Its domains are easily oriented and return to random positions when the field is removed / اس کے ڈومین آسانی سے رخ اختیار کرتے ہیں اور میدان ہٹنے پر بے ترتیب ہو جاتے ہیں,Hard,1,high,
q_9_phy_ch8_059,,Alignment of Domains,Analyze,Why is steel used to make permanent magnets?,مستقل مقناطیس بنانے کے لیے فولاد کیوں استعمال کیا جاتا ہے؟,It requires no external field and never aligns / اسے بیرونی میدان کی ضرورت نہیں اور کبھی ہم سمت نہیں ہوتا,"Once oriented, it retains the alignment / ایک بار رخ اختیار کرنے کے بعد یہ ترتیب برقرار رکھتا ہے",It has no electron spins / اس میں الیکٹران سپن نہیں ہوتے,It is always liquid / یہ ہمیشہ مائع ہوتا ہے,"B | Once oriented, it retains the alignment / ایک بار رخ اختیار کرنے کے بعد یہ ترتیب برقرار رکھتا ہے",Hard,1,high,
q_9_phy_ch8_060,,8.9 Magnetisation and Demagnetisation,Remember,Which method magnetises a steel bar by rubbing it with a permanent magnet?,کون سا طریقہ فولادی سلاخ کو مستقل مقناطیس سے رگڑ کر مقناطیس بناتا ہے؟,Stroking method / سٹروکنگ طریقہ,Heating method / گرم کرنے کا طریقہ,Hammering method / ضرب لگانے کا طریقہ,Cooling method / ٹھنڈا کرنے کا طریقہ,A | Stroking method / سٹروکنگ طریقہ,Easy,1,high,
q_9_phy_ch8_061,,8.9 Magnetisation and Demagnetisation,Understand,"In the single-touch method, the steel bar is stroked several times:",سنگل ٹچ طریقے میں فولادی سلاخ کو کئی بار کیسے رگڑا جاتا ہے؟,In the same direction using the same pole / اسی سمت میں اسی قطب سے,In random directions using no pole / بے ترتیب سمتوں میں بغیر قطب کے,Only by heating / صرف گرم کر کے,Only by hammering / صرف ضرب لگا کر,A | In the same direction using the same pole / اسی سمت میں اسی قطب سے,Medium,1,high,
q_9_phy_ch8_062,,8.9 Magnetisation and Demagnetisation,Understand,The double-touch method is more efficient because stroking is done from the centre onwards with:,ڈبل ٹچ طریقہ زیادہ مؤثر کیوں ہے؟,Unlike poles of two permanent magnets / دو مستقل مقناطیسوں کے مختلف قطبوں سے,Two wooden sticks / دو لکڑی کی چھڑیوں سے,Two non-magnetic plastics / دو غیر مقناطیسی پلاسٹک سے,A glass tube only / صرف شیشے کی نلکی سے,A | Unlike poles of two permanent magnets / دو مستقل مقناطیسوں کے مختلف قطبوں سے,Medium,1,high,
q_9_phy_ch8_063,,8.9 Magnetisation and Demagnetisation,Analyze,"After stroking, the pole produced at the end of the steel bar is of:",سٹروکنگ کے بعد فولادی سلاخ کے سرے پر پیدا ہونے والا قطب کس نوعیت کا ہوتا ہے؟,The same polarity as the stroking pole / سٹروکنگ قطب جیسی قطبیت,Opposite polarity to the stroking pole / سٹروکنگ قطب کے برعکس قطبیت,No polarity at all / بالکل کوئی قطبیت نہیں,Only south polarity always / ہمیشہ صرف جنوبی قطبیت,B | Opposite polarity to the stroking pole / سٹروکنگ قطب کے برعکس قطبیت,Hard,1,high,
q_9_phy_ch8_064,,8.9 Magnetisation and Demagnetisation,Analyze,"In the solenoid method, what type of current is passed through the solenoid to magnetise the steel bar?",سولینائیڈ طریقے میں فولادی سلاخ کو مقناطیس بنانے کے لیے سولینائیڈ سے کون سا کرنٹ گزارا جاتا ہے؟,Direct current / مستقیم کرنٹ,Alternating current only / صرف متبادل کرنٹ,No current / کوئی کرنٹ نہیں,Sound current / صوتی کرنٹ,A | Direct current / مستقیم کرنٹ,Hard,1,high,
q_9_phy_ch8_065,,8.9 Magnetisation and Demagnetisation,Understand,"According to the right hand grip rule, the thumb points to the:",رائٹ ہینڈ گرپ رول کے مطابق انگوٹھا کس طرف اشارہ کرتا ہے؟,N-pole of the bar end / سلاخ کے سرے کے N قطب کی طرف,S-pole of the bar end / سلاخ کے سرے کے S قطب کی طرف,Plastic end / پلاسٹک سرے کی طرف,Neutral point only / صرف غیر جانبدار نقطے کی طرف,A | N-pole of the bar end / سلاخ کے سرے کے N قطب کی طرف,Medium,1,high,
q_9_phy_ch8_066,,8.9 Magnetisation and Demagnetisation,Remember,Which set contains methods of demagnetising a magnet?,کون سا مجموعہ مقناطیس کو غیر مقناطیس بنانے کے طریقوں پر مشتمل ہے؟,"Heating, hammering and alternating current / گرم کرنا، ضرب لگانا اور متبادل کرنٹ","Cooling, painting and washing / ٹھنڈا کرنا، رنگ کرنا اور دھونا","Stroking, solenoid with D.C and storing / سٹروکنگ، D.C سولینائیڈ اور ذخیرہ کرنا","Cutting, freezing and polishing / کاٹنا، منجمد کرنا اور پالش کرنا","A | Heating, hammering and alternating current / گرم کرنا، ضرب لگانا اور متبادل کرنٹ",Easy,1,high,
q_9_phy_ch8_067,,8.9 Magnetisation and Demagnetisation,Analyze,Heating demagnetises a magnet because thermal vibrations:,گرم کرنے سے مقناطیس غیر مقناطیس کیوں ہو جاتا ہے؟,Disturb the order of domains / ڈومینز کی ترتیب بگاڑ دیتی ہیں,Align all domains permanently / تمام ڈومینز کو مستقل ہم سمت کر دیتی ہیں,Create glass around it / اس کے گرد شیشہ بنا دیتی ہیں,Increase only colour / صرف رنگ بڑھاتی ہیں,A | Disturb the order of domains / ڈومینز کی ترتیب بگاڑ دیتی ہیں,Hard,1,high,
q_9_phy_ch8_068,,8.10 Applications of Magnets in Recording Technology,Remember,Common magnetic recording media mentioned in the chapter include:,باب میں مذکور عام مقناطیسی ریکارڈنگ ذرائع کون سے ہیں؟,Magnetic tapes and disk recorders / مقناطیسی ٹیپس اور ڈسک ریکارڈرز,Wooden boards and glass bottles / لکڑی کے تختے اور شیشے کی بوتلیں,Paper clips and rubber bands / پیپر کلپس اور ربڑ بینڈ,Water tanks and plastic rods / پانی کے ٹینک اور پلاسٹک سلاخیں,A | Magnetic tapes and disk recorders / مقناطیسی ٹیپس اور ڈسک ریکارڈرز,Easy,1,high,
q_9_phy_ch8_069,,8.10 Applications of Magnets in Recording Technology,Remember,Magnetic tapes and disks are usually coated with:,مقناطیسی ٹیپس اور ڈسکیں عموماً کس سے کوٹ کی جاتی ہیں؟,Iron oxide / آئرن آکسائیڈ,Pure water / خالص پانی,Wood powder / لکڑی کا سفوف,Glass oil / شیشے کا تیل,A | Iron oxide / آئرن آکسائیڈ,Easy,1,high,
q_9_phy_ch8_070,,Magnetic Tape Recording,Understand,"In magnetic tape recording, the recording and playing head is a coil of wire wrapped around:",مقناطیسی ٹیپ ریکارڈنگ میں ریکارڈنگ اور پلے ہیڈ تار کی کنڈلی ہوتی ہے جو کس کے گرد لپٹی ہوتی ہے؟,An iron core / لوہے کے کور,A wooden core / لکڑی کے کور,A plastic ring / پلاسٹک کے حلقے,A glass plate / شیشے کی پلیٹ,A | An iron core / لوہے کے کور,Medium,1,high,
q_9_phy_ch8_071,,Magnetic Tape Recording,Analyze,The curved part of the magnetic field in the gap of a tape head is called:,ٹیپ ہیڈ کے خلا میں مقناطیسی میدان کا خم دار حصہ کیا کہلاتا ہے؟,Fringe field / فرنج فیلڈ,Neutral field / غیر جانبدار میدان,Thermal field / حرارتی میدان,Plastic field / پلاسٹک میدان,A | Fringe field / فرنج فیلڈ,Hard,1,high,
q_9_phy_ch8_072,,Magnetic Tape Recording,Analyze,"During playback, the reverse process changes varying induced magnetism into varying current, which is then converted into:",پلے بیک کے دوران الٹ عمل متغیر القائی مقناطیسیت کو متغیر کرنٹ میں بدلتا ہے، پھر یہ کس میں بدلتا ہے؟,Sound or picture / آواز یا تصویر,Only heat / صرف حرارت,Only water / صرف پانی,Permanent plastic / مستقل پلاسٹک,A | Sound or picture / آواز یا تصویر,Hard,1,high,
q_9_phy_ch8_073,,Hard Disk Recording,Understand,A hard disk head writes a binary digit by magnetising tiny spots on the spinning disk in:,ہارڈ ڈسک ہیڈ گھومتی ڈسک پر چھوٹے نقطوں کو کیسے مقناطیس بنا کر بائنری ہندسہ لکھتا ہے؟,Different directions / مختلف سمتوں میں,Only one colour / صرف ایک رنگ میں,No direction / بغیر سمت کے,A liquid layer / مائع تہہ میں,A | Different directions / مختلف سمتوں میں,Medium,1,high,
q_9_phy_ch8_074,,Hard Disk Recording,Understand,What advantage do magnetic disk devices have over tape recorders?,مقناطیسی ڈسک آلات کو ٹیپ ریکارڈرز پر کیا فائدہ ہے؟,They read or write a recording instantly / وہ ریکارڈنگ فوراً پڑھ یا لکھ سکتے ہیں,They cannot store information / وہ معلومات ذخیرہ نہیں کر سکتے,They need no magnetic coating / انہیں مقناطیسی کوٹنگ کی ضرورت نہیں,They only work in water / وہ صرف پانی میں کام کرتے ہیں,A | They read or write a recording instantly / وہ ریکارڈنگ فوراً پڑھ یا لکھ سکتے ہیں,Medium,1,high,
q_9_phy_ch8_075,,8.11 Soft Iron as Magnetic Shield,Remember,Permeability is the ability of a material to allow through it:,نفوذ پذیری مادے کی کس چیز کو اپنے اندر سے گزرنے دینے کی صلاحیت ہے؟,Magnetic flux or lines of force / مقناطیسی فلوکس یا خطوطِ قوت,Only sunlight / صرف سورج کی روشنی,Only sound waves / صرف صوتی لہریں,Only plastic pieces / صرف پلاسٹک کے ٹکڑے,A | Magnetic flux or lines of force / مقناطیسی فلوکس یا خطوطِ قوت,Easy,1,high,
q_9_phy_ch8_076,,8.11 Soft Iron as Magnetic Shield,Understand,A soft iron casing protects a sensitive magnetic device because magnetic flux is established mainly in the:,نرم لوہے کا خول حساس مقناطیسی آلے کو کیوں بچاتا ہے؟,Soft iron casing / نرم لوہے کے خول میں,Air inside the device / آلے کے اندر ہوا میں,Plastic cover / پلاسٹک کور میں,Glass scale / شیشے کے پیمانے میں,A | Soft iron casing / نرم لوہے کے خول میں,Medium,1,high,
q_9_phy_ch8_077,,8.11 Soft Iron as Magnetic Shield,Analyze,Why is a soft iron casing usually made with rounded corners?,نرم لوہے کے خول کو عموماً گول کونوں کے ساتھ کیوں بنایا جاتا ہے؟,To facilitate the magnetic field line up easily / مقناطیسی میدان کی لکیروں کو آسانی سے منظم کرنے کے لیے,To stop all magnetic flux from entering soft iron / مقناطیسی فلوکس کو نرم لوہے میں داخل ہونے سے روکنے کے لیے,To make the device non-metallic / آلے کو غیر دھاتی بنانے کے لیے,To reduce permeability to zero / نفوذ پذیری کو صفر کرنے کے لیے,A | To facilitate the magnetic field line up easily / مقناطیسی میدان کی لکیروں کو آسانی سے منظم کرنے کے لیے,Hard,1,high,
q_9_phy_ch8_078,,8.11 Soft Iron as Magnetic Shield,Understand,Soft iron is used in transformer and electromagnet cores because it has:,ٹرانسفارمر اور برقی مقناطیس کے کور میں نرم لوہا کیوں استعمال ہوتا ہے؟,High permeability / زیادہ نفوذ پذیری,No permeability / کوئی نفوذ پذیری نہیں,Low magnetic response only / صرف کم مقناطیسی ردعمل,A permanent plastic structure / مستقل پلاسٹک ساخت,A | High permeability / زیادہ نفوذ پذیری,Medium,1,high,
q_9_phy_ch8_079,,Exercise MCQs,Remember,Which one of the following is not a magnetic material?,درج ذیل میں سے کون سا مقناطیسی مادہ نہیں ہے؟,Cobalt / کوبالٹ,Iron / لوہا,Aluminium / ایلومینیم,Nickel / نکل,C | Aluminium / ایلومینیم,Easy,1,high,
q_9_phy_ch8_080,,Exercise MCQs,Remember,Magnetic lines of force outside a magnet:,مقناطیس کے باہر مقناطیسی خطوطِ قوت:,Cross one another / ایک دوسرے کو قطع کرتے ہیں,Enter into the north pole / شمالی قطب میں داخل ہوتے ہیں,Are always straight lines / ہمیشہ سیدھی لکیریں ہوتی ہیں,Enter into the south pole / جنوبی قطب میں داخل ہوتے ہیں,D | Enter into the south pole / جنوبی قطب میں داخل ہوتے ہیں,Easy,1,high,
q_9_phy_ch8_081,,Exercise MCQs,Remember,Permanent magnets cannot be made by using:,مستقل مقناطیس کس سے نہیں بنائے جا سکتے؟,Soft iron / نرم لوہا,Steel / فولاد,Neodymium / نیوڈیمیم,Alnico / ال نیکو,A | Soft iron / نرم لوہا,Easy,1,high,
q_9_phy_ch8_082,,Exercise MCQs,Remember,Which is a common method used to magnetise a material?,کسی مادے کو مقناطیس بنانے کا عام طریقہ کون سا ہے؟,Stroking / سٹروکنگ,Hitting / ضرب لگانا,Heating / گرم کرنا,Placing inside a solenoid having A.C / A.C والی سولینائیڈ میں رکھنا,A | Stroking / سٹروکنگ,Easy,1,high,
