question_hash,active,topic,bloom_level,question,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
q_10_isl_b7_mcq_001,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,Remember,مستقبل کی منصوبہ بندی کا تعلق کس وقت کی تیاری سے ہے؟,موجودہ وقت,آنے والے وقت,جاری وقت,گزرے ہوئے وقت,B | آنے والے وقت,Medium,1,ELITE,1
q_10_isl_b7_mcq_065,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,Remember,اسلامی تہذیب میں انسانی اخوت ہے:,تعصب,ظلم,غفلت,اہم وصف,D | اہم وصف,Medium,1,ULTRA,1
q_10_isl_b7_mcq_066,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,Remember,اسلامی تہذیب میں کشادہ دلی ہے:,ظلم,غفلت,نمایاں قدر,تعصب,C | نمایاں قدر,Medium,1,ULTRA,1
q_10_isl_b7_mcq_067,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,Remember,اسلامی تہذیب میں عدل ہے:,غفلت,بنیادی اصول,تعصب,ظلم,B | بنیادی اصول,Medium,1,ULTRA,1
q_10_isl_b7_mcq_068,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,Remember,اسلامی تہذیب میں رنگ و نسل کی برتری ہے:,نہیں,تعصب,ظلم,غفلت,A | نہیں,Medium,1,ULTRA,1
q_10_isl_b7_mcq_069,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,Remember,اسلامی تہذیب کی دعوت ہے:,تعصب,ظلم,غفلت,تمام انسانوں کے لیے,D | تمام انسانوں کے لیے,Medium,1,ULTRA,1
q_10_isl_b7_mcq_070,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,Remember,اسلامی تہذیب کی اخلاقی بنیاد ہے:,ظلم,غفلت,تقویٰ,تعصب,C | تقویٰ,Medium,1,ULTRA,1
q_10_isl_b7_mcq_071,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,Remember,اسلامی تہذیب میں علم حاصل کرنا ہے:,غفلت,باعث فضیلت,تعصب,ظلم,B | باعث فضیلت,Medium,1,ULTRA,1
q_10_isl_b7_mcq_072,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,Remember,اسلامی تہذیب نے دیگر اقوام کو دیا:,علمی اثر,تعصب,ظلم,غفلت,A | علمی اثر,Medium,1,ULTRA,1
q_10_isl_b7_mcq_073,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,Remember,اسلامی تہذیب کا مقصد ہے:,تعصب,ظلم,غفلت,انسانی فلاح,D | انسانی فلاح,Medium,1,ULTRA,1
q_10_isl_b7_mcq_074,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,Remember,اسلامی تہذیب انسان کے حقوق کو:,ظلم,غفلت,محفوظ کرتی ہے,تعصب,C | محفوظ کرتی ہے,Medium,1,ULTRA,1
q_10_isl_b7_mcq_075,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,Remember,اسلامی تہذیب آزادی کو رکھتی ہے:,غفلت,ذمہ داری کے ساتھ,تعصب,ظلم,B | ذمہ داری کے ساتھ,Medium,1,ULTRA,1
q_10_isl_b7_mcq_076,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,Remember,اسلامی تہذیب میں عورت کی عزت ہے:,محفوظ,تعصب,ظلم,غفلت,A | محفوظ,Medium,1,ULTRA,1
q_10_isl_b7_mcq_077,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,Remember,اسلامی تہذیب میں اقلیتوں کے حقوق ہیں:,تعصب,ظلم,غفلت,محفوظ,D | محفوظ,Medium,1,ULTRA,1
q_10_isl_b7_mcq_078,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,Remember,اسلامی تہذیب میں عبادت اور معاشرت:,ظلم,غفلت,دونوں اہم,تعصب,C | دونوں اہم,Medium,1,ULTRA,1
q_10_isl_b7_mcq_079,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,Remember,اسلامی تہذیب میں علم و اخلاق:,غفلت,لازم و ملزوم,تعصب,ظلم,B | لازم و ملزوم,Medium,1,ULTRA,1
q_10_isl_b7_mcq_080,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,Remember,اسلامی تہذیب کا عالمی پیغام ہے:,امن,تعصب,ظلم,غفلت,A | امن,Medium,1,ULTRA,1
q_10_isl_b7_mcq_081,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,Remember,اسلامی تہذیب کی معاشرتی قدر ہے:,تعصب,ظلم,غفلت,اخوت,D | اخوت,Medium,1,ULTRA,1
q_10_isl_b7_mcq_082,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,Remember,اسلامی تہذیب کی سیاسی قدر ہے:,ظلم,غفلت,عدل,تعصب,C | عدل,Medium,1,ULTRA,1
q_10_isl_b7_mcq_083,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,Remember,اسلامی تہذیب میں علم کی ابتدا ہوئی:,غفلت,اقرأ سے,تعصب,ظلم,B | اقرأ سے,Medium,1,ULTRA,1
q_10_isl_b7_mcq_084,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,Remember,اسلامی تہذیب انسان کو بناتی ہے:,متوازن,تعصب,ظلم,غفلت,A | متوازن,Medium,1,ULTRA,1
q_10_isl_b7_mcq_085,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,Remember,اسلامی تہذیب میں طاقت کا مقصد ہے:,تعصب,ظلم,غفلت,عدل,D | عدل,Medium,1,ULTRA,1
q_10_isl_b7_mcq_086,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,Remember,اسلامی تہذیب میں تہذیبی برتری کا معیار ہے:,ظلم,غفلت,اخلاق,تعصب,C | اخلاق,Medium,1,ULTRA,1
q_10_isl_b7_mcq_087,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,Remember,اسلامی تہذیب تعصب کو:,غفلت,رد کرتی ہے,تعصب,ظلم,B | رد کرتی ہے,Medium,1,ULTRA,1
q_10_isl_b7_mcq_088,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,Remember,اسلامی تہذیب رواداری کو:,فروغ دیتی ہے,تعصب,ظلم,غفلت,A | فروغ دیتی ہے,Medium,1,ULTRA,1
q_10_isl_b7_mcq_089,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,Remember,اسلامی تہذیب میں حیا ہے:,تعصب,ظلم,غفلت,اہم قدر,D | اہم قدر,Medium,1,ULTRA,1
q_10_isl_b7_mcq_090,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,Remember,اسلامی تہذیب میں امانت ہے:,ظلم,غفلت,اخلاقی قدر,تعصب,C | اخلاقی قدر,Medium,1,ULTRA,1
q_10_isl_b7_mcq_091,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,Remember,اسلامی تہذیب میں سچائی ہے:,غفلت,اہم وصف,تعصب,ظلم,B | اہم وصف,Medium,1,ULTRA,1
q_10_isl_b7_mcq_092,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,Remember,اسلامی تہذیب میں انسانی جان ہے:,محترم,تعصب,ظلم,غفلت,A | محترم,Medium,1,ULTRA,1
q_10_isl_b7_mcq_093,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,Remember,اسلامی تہذیب میں مال ہے:,تعصب,ظلم,غفلت,محفوظ,D | محفوظ,Medium,1,ULTRA,1
q_10_isl_b7_mcq_094,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,Remember,اسلامی تہذیب میں عزت و آبرو ہے:,ظلم,غفلت,محفوظ,تعصب,C | محفوظ,Medium,1,ULTRA,1
q_10_isl_b7_mcq_095,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,Remember,اسلامی تہذیب میں تعلیم عام کرنا ہے:,غفلت,ضروری,تعصب,ظلم,B | ضروری,Medium,1,ULTRA,1
q_10_isl_b7_mcq_096,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,Remember,اسلامی تہذیب کی علمی روایت ہے:,تحقیق,تعصب,ظلم,غفلت,A | تحقیق,Medium,1,ULTRA,1
q_10_isl_b7_mcq_097,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,Remember,اسلامی تہذیب کے امتیازات میں ہے:,تعصب,ظلم,غفلت,امن و مساوات,D | امن و مساوات,Medium,1,ULTRA,1
q_10_isl_b7_mcq_098,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,Remember,اسلامی تہذیب کا روحانی مرکز ہے:,ظلم,غفلت,توحید,تعصب,C | توحید,Medium,1,ULTRA,1
q_10_isl_b7_mcq_099,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,Remember,اسلامی تہذیب کا عملی نمونہ ہے:,غفلت,سیرت نبوی ﷺ,تعصب,ظلم,B | سیرت نبوی ﷺ,Medium,1,ULTRA,1
q_10_isl_b7_mcq_100,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلامی تہذیب کے امتیازات,Remember,اسلامی تہذیب کا آخری مقصد ہے:,رضائے الٰہی,تعصب,ظلم,غفلت,A | رضائے الٰہی,Medium,1,ULTRA,1
