question_hash,active,topic,bloom_level,question,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
q_10_isl_b4_mcq_001,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | اخلاص و تقویٰ,Remember,اللہ تعالیٰ کے نزدیک زیادہ عزت والا ہے:,زیادہ دولت والا,زیادہ تقویٰ اختیار کرنے والا,زیادہ حسن والا,زیادہ شہرت والا,B | زیادہ تقویٰ اختیار کرنے والا,Medium,1,ELITE,1
q_10_isl_b4_mcq_075,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | غیبت و بہتان,Remember,غیبت اور بہتان معاشرے میں پیدا کرتے ہیں:,نفرت,اعتماد,اخوت,قناعت,A | نفرت,Medium,1,ULTRA,1
q_10_isl_b4_mcq_076,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | غیبت و بہتان,Remember,غیبت سے متاثر ہوتے ہیں:,باہمی تعلقات,صرف تجارت,صرف سفر,صرف زراعت,A | باہمی تعلقات,Medium,1,ULTRA,1
q_10_isl_b4_mcq_077,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | غیبت و بہتان,Remember,بہتان کی وجہ سے کسی کی:,عزت مجروح ہوتی ہے,عمر بڑھتی ہے,رزق بڑھتا ہے,علم بڑھتا ہے,A | عزت مجروح ہوتی ہے,Medium,1,ULTRA,1
q_10_isl_b4_mcq_078,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | غیبت و بہتان,Remember,غیبت سے بچنے کا طریقہ ہے:,زبان کی حفاظت,عیب تلاش کرنا,افواہ پھیلانا,مذاق اڑانا,A | زبان کی حفاظت,Medium,1,ULTRA,1
q_10_isl_b4_mcq_079,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | غیبت و بہتان,Remember,سوشل میڈیا پر جھوٹا الزام ہے:,بہتان,تقویٰ,اخلاص,صلہ رحمی,A | بہتان,Medium,1,ULTRA,1
q_10_isl_b4_mcq_080,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | غیبت و بہتان,Remember,غیبت دلوں میں بڑھاتی ہے:,کینہ,محبت,رحمت,سخاوت,A | کینہ,Medium,1,ULTRA,1
q_10_isl_b4_mcq_081,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | غیبت و بہتان,Remember,لوگوں کے عیب بیان کرنے سے آدمی مبتلا ہو سکتا ہے:,انہی عیوب میں,زیادہ علم میں,زیادہ رزق میں,زیادہ صحت میں,A | انہی عیوب میں,Medium,1,ULTRA,1
q_10_isl_b4_mcq_082,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | غیبت و بہتان,Remember,غیبت اور بہتان کا نتیجہ ہے:,معاشرتی بگاڑ,اتحاد,اعتماد,امن,A | معاشرتی بگاڑ,Medium,1,ULTRA,1
q_10_isl_b4_mcq_083,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | غیبت و بہتان,Remember,کسی کی عزت کی حفاظت ہے:,اسلامی اخلاق,غیبت,بہتان,چغل خوری,A | اسلامی اخلاق,Medium,1,ULTRA,1
q_10_isl_b4_mcq_084,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | غیبت و بہتان,Remember,عیب جوئی سے بچنا پیدا کرتا ہے:,اخوت,نفرت,فساد,بدگمانی,A | اخوت,Medium,1,ULTRA,1
q_10_isl_b4_mcq_085,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | غیبت و بہتان,Remember,غیبت و بہتان دونوں ہیں:,حرام اخلاقی برائیاں,مستحب اعمال,فرض عبادات,معاشی اصول,A | حرام اخلاقی برائیاں,Medium,1,ULTRA,1
q_10_isl_b4_mcq_086,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | جادو، فال اور توہم پرستی,Remember,توہم پرستی کی بنیاد ہے:,بے دلیل خیال,یقین توحید,علم,امانت,A | بے دلیل خیال,Medium,1,ULTRA,1
q_10_isl_b4_mcq_087,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | جادو، فال اور توہم پرستی,Remember,بدشگونی انسان کو مبتلا کرتی ہے:,خوف میں,تقویٰ میں,اخلاص میں,شکر میں,A | خوف میں,Medium,1,ULTRA,1
q_10_isl_b4_mcq_088,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | جادو، فال اور توہم پرستی,Remember,غیب کا حقیقی علم ہے:,اللہ تعالیٰ کے پاس,ہر نجومی کے پاس,ہر فال گیر کے پاس,ہر انسان کے پاس,A | اللہ تعالیٰ کے پاس,Medium,1,ULTRA,1
q_10_isl_b4_mcq_089,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | جادو، فال اور توہم پرستی,Remember,فال گیری سے مراد ہے:,مستقبل جاننے کی کوشش,نماز پڑھنا,صدقہ دینا,علم سیکھنا,A | مستقبل جاننے کی کوشش,Medium,1,ULTRA,1
q_10_isl_b4_mcq_090,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | جادو، فال اور توہم پرستی,Remember,قسمت کا حال پوچھنا اسلامی تعلیمات میں:,ممنوع ہے,فرض ہے,مستحب ہے,سنت ہے,A | ممنوع ہے,Medium,1,ULTRA,1
q_10_isl_b4_mcq_091,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | جادو، فال اور توہم پرستی,Remember,عجوہ کھجور کا ذکر آیا ہے:,حفاظت و علاج کے ضمن میں,صرف تجارت میں,صرف زراعت میں,صرف مہمان نوازی میں,A | حفاظت و علاج کے ضمن میں,Medium,1,ULTRA,1
q_10_isl_b4_mcq_092,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | جادو، فال اور توہم پرستی,Remember,حسنین کریمین رضی اللہ عنہما کے لیے نبی کریم ﷺ کرتے تھے:,دم,فال,نجوم,بدشگونی,A | دم,Medium,1,ULTRA,1
q_10_isl_b4_mcq_093,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | جادو، فال اور توہم پرستی,Remember,توہم پرستی معاشرے میں پیدا کرتی ہے:,خوف و بے یقینی,اعتماد,علم,اخوت,A | خوف و بے یقینی,Medium,1,ULTRA,1
q_10_isl_b4_mcq_094,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | جادو، فال اور توہم پرستی,Remember,مصیبت میں مسلمان کو کرنا چاہیے:,اللہ کی طرف رجوع,فال گیر سے رجوع,نجومی پر اعتماد,بدشگونی,A | اللہ کی طرف رجوع,Medium,1,ULTRA,1
q_10_isl_b4_mcq_095,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | جادو، فال اور توہم پرستی,Remember,حاجت روائی کے لیے اختیار کیا جائے:,دعا و جائز اسباب,جادو,فال,نجوم,A | دعا و جائز اسباب,Medium,1,ULTRA,1
q_10_isl_b4_mcq_096,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | جادو، فال اور توہم پرستی,Remember,توہم پرستی انسان کی کمزور کرتی ہے:,عقلی سوچ,عبادت,اخلاق,علمی تحقیق,A | عقلی سوچ,Medium,1,ULTRA,1
q_10_isl_b4_mcq_097,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | جادو، فال اور توہم پرستی,Remember,اسلام بدشگونی کی:,حوصلہ شکنی کرتا ہے,تائید کرتا ہے,فرض قرار دیتا ہے,ترغیب دیتا ہے,A | حوصلہ شکنی کرتا ہے,Medium,1,ULTRA,1
q_10_isl_b4_mcq_098,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | جادو، فال اور توہم پرستی,Remember,جادو، فال اور توہم سے بچاؤ میں اہم ہے:,توکل علی اللہ,لوگوں کا خوف,نجوم,افواہ,A | توکل علی اللہ,Medium,1,ULTRA,1
q_10_isl_b4_mcq_099,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | جادو، فال اور توہم پرستی,Remember,مستقبل کے بارے میں مسلمان کا رویہ ہونا چاہیے:,اللہ پر بھروسہ,فال پر یقین,نجومی پر اعتماد,بدشگونی,A | اللہ پر بھروسہ,Medium,1,ULTRA,1
q_10_isl_b4_mcq_100,1,ISLAMIAT | CLASS 10 | BAB 4 - اخلاق و آداب | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | جادو، فال اور توہم پرستی,Remember,غیر شرعی عاملوں پر اندھا اعتماد:,درست نہیں,فرض ہے,سنت ہے,مستحب ہے,A | درست نہیں,Medium,1,ULTRA,1
