question_hash,active,topic,bloom_level,question,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
q_10_isl_b1_mcq_001,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | حفاظت و تدوین حدیث,Remember,نبی کریم ﷺ کے عمل کو کہا جاتا ہے:,حدیث فعلی,حدیث قولی,حدیث تقریری,حدیث قدسی,A | حدیث فعلی,Medium,1,ELITE,1
q_10_isl_b1_mcq_066,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | SELECTED AHADITH | حدیث 6,Remember,دعا میں مانگا گیا علم ہے:,نافع علم,غیر مفید علم,صرف دنیاوی علم,صرف تجارتی علم,A | نافع علم,Medium,1,ELITE,1
q_10_isl_b1_mcq_067,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | SELECTED AHADITH | حدیث 6,Remember,دعا میں مانگا گیا رزق ہے:,پاکیزہ رزق,حرام رزق,صرف زیادہ مال,صرف تجارت,A | پاکیزہ رزق,Medium,1,ELITE,1
q_10_isl_b1_mcq_068,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | SELECTED AHADITH | حدیث 6,Remember,دعا میں مانگا گیا عمل ہے:,مقبول عمل,صرف مشکل عمل,صرف دنیاوی عمل,صرف تجارتی عمل,A | مقبول عمل,Medium,1,ELITE,1
q_10_isl_b1_mcq_069,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | SELECTED AHADITH | حدیث 7,Remember,نبی کریم ﷺ کے حکم کے بارے میں ہدایت ہے:,اس پر عمل کرو,اسے چھوڑ دو,اس میں اضافہ کرو,اسے بدل دو,A | اس پر عمل کرو,Medium,1,ELITE,1
q_10_isl_b1_mcq_070,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | SELECTED AHADITH | حدیث 7,Remember,نبی کریم ﷺ کی ممانعت کے بارے میں ہدایت ہے:,باز آ جاؤ,اصرار کرو,بدل دو,نظر انداز کرو,A | باز آ جاؤ,Medium,1,ELITE,1
q_10_isl_b1_mcq_071,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | SELECTED AHADITH | حدیث 7,Remember,حدیث 7 کا مرکزی سبق ہے:,اتباع رسول ﷺ,صرف تجارت,صرف سیاست,صرف سفر,A | اتباع رسول ﷺ,Medium,1,ELITE,1
q_10_isl_b1_mcq_072,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | SELECTED AHADITH | حدیث 8,Remember,حدیث کے مطابق سب سے جھوٹی بات ہے:,بدگمانی,سخاوت,صدقہ,صلہ رحمی,A | بدگمانی,Medium,1,ELITE,1
q_10_isl_b1_mcq_073,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | SELECTED AHADITH | حدیث 8,Remember,مسلمان کو بچنا چاہیے:,بدگمانی سے,حسن ظن سے,صدقہ سے,سلام سے,A | بدگمانی سے,Medium,1,ELITE,1
q_10_isl_b1_mcq_074,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | SELECTED AHADITH | حدیث 8,Remember,بدگمانی کا تعلق زیادہ ہے:,منفی گمان سے,عبادت سے,زکوٰۃ سے,حج سے,A | منفی گمان سے,Medium,1,ELITE,1
q_10_isl_b1_mcq_075,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | SELECTED AHADITH | حدیث 9,Remember,اللہ کی لعنت ہے:,رشوت دینے اور لینے والے پر,صدقہ دینے والے پر,مظلوم پر,مسافر پر,A | رشوت دینے اور لینے والے پر,Medium,1,ELITE,1
q_10_isl_b1_mcq_076,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | SELECTED AHADITH | حدیث 9,Remember,حدیث 9 میں مذمت کی گئی ہے:,رشوت کی,تجارت کی,زراعت کی,تعلیم کی,A | رشوت کی,Medium,1,ELITE,1
q_10_isl_b1_mcq_077,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | SELECTED AHADITH | حدیث 9,Remember,رشوت معاشرے میں پیدا کرتی ہے:,ناانصافی,عدل,اعتماد,قناعت,A | ناانصافی,Medium,1,ELITE,1
q_10_isl_b1_mcq_078,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | SELECTED AHADITH | حدیث 10,Remember,اللہ تعالیٰ لوگوں کے درجات بلند کرتا ہے:,قرآن کے ذریعے,صرف مال سے,صرف نسب سے,صرف قوت سے,A | قرآن کے ذریعے,Medium,1,ELITE,1
q_10_isl_b1_mcq_079,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | SELECTED AHADITH | حدیث 10,Remember,اسی کتاب کے ذریعے بعض لوگوں کو:,پست بھی کیا جاتا ہے,ضرور مالدار کیا جاتا ہے,بادشاہ بنایا جاتا ہے,تاجر بنایا جاتا ہے,A | پست بھی کیا جاتا ہے,Medium,1,ELITE,1
q_10_isl_b1_mcq_080,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | SELECTED AHADITH | حدیث 10,Remember,حدیث 10 کا مرکزی موضوع ہے:,قرآن کی عظمت,صرف تاریخ,صرف تجارت,صرف سیاست,A | قرآن کی عظمت,Medium,1,ELITE,1
q_10_isl_b1_mcq_081,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | BOOK DIRECT | اسماء الحسنیٰ,Remember,الرَّؤُوفُ کا معنی ہے:,بہت مہربان,عدل و انصاف کرنے والا,روکنے والا,ہدایت دینے والا,A | بہت مہربان,Medium,1,PRO,1
q_10_isl_b1_mcq_082,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | BOOK DIRECT | اسماء الحسنیٰ,Remember,مَالِكُ الْمُلْكِ کا معنی ہے:,جمع کرنے والا,نقصان کا مالک,بے مثال موجد، عدم سے وجود میں لانے والا,سب سلطنت و حکمرانی کا مالک,D | سب سلطنت و حکمرانی کا مالک,Medium,1,PRO,1
q_10_isl_b1_mcq_083,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | BOOK DIRECT | اسماء الحسنیٰ,Remember,ذُو الْجَلَالِ وَالْإِكْرَامِ کا معنی ہے:,نفع کا مالک، نفع عطا فرمانے والا,ہمیشہ رہنے والا,عظمت و بزرگی والا,بے پروا، بے نیاز,C | عظمت و بزرگی والا,Medium,1,PRO,1
q_10_isl_b1_mcq_084,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | BOOK DIRECT | اسماء الحسنیٰ,Remember,الْمُقْسِطُ کا معنی ہے:,وارث، مالک,عدل و انصاف کرنے والا,بے نیاز کر دینے والا,نور,B | عدل و انصاف کرنے والا,Medium,1,PRO,1
q_10_isl_b1_mcq_085,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | BOOK DIRECT | اسماء الحسنیٰ,Remember,الْجَامِعُ کا معنی ہے:,جمع کرنے والا,روکنے والا,ہدایت دینے والا,نیکی اور راستی کرنے والا,A | جمع کرنے والا,Medium,1,PRO,1
q_10_isl_b1_mcq_086,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | BOOK DIRECT | اسماء الحسنیٰ,Remember,الْغَنِيُّ کا معنی ہے:,نقصان کا مالک,بے مثال موجد، عدم سے وجود میں لانے والا,بہت زیادہ مہلت دینے والا,بے پروا، بے نیاز,D | بے پروا، بے نیاز,Medium,1,PRO,1
q_10_isl_b1_mcq_087,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | BOOK DIRECT | اسماء الحسنیٰ,Remember,الْمُغْنِي کا معنی ہے:,ہمیشہ رہنے والا,بہت زیادہ سننے والا,بے نیاز کر دینے والا,نفع کا مالک، نفع عطا فرمانے والا,C | بے نیاز کر دینے والا,Medium,1,PRO,1
q_10_isl_b1_mcq_088,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | BOOK DIRECT | اسماء الحسنیٰ,Remember,الْمَانِعُ کا معنی ہے:,سب کچھ دیکھنے والا,روکنے والا,نور,وارث، مالک,B | روکنے والا,Medium,1,PRO,1
q_10_isl_b1_mcq_089,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | BOOK DIRECT | اسماء الحسنیٰ,Remember,الضَّارُّ کا معنی ہے:,نقصان کا مالک,ہدایت دینے والا,نیکی اور راستی کرنے والا,حکمت و تدبیر والا,A | نقصان کا مالک,Medium,1,PRO,1
q_10_isl_b1_mcq_090,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | BOOK DIRECT | اسماء الحسنیٰ,Remember,النَّافِعُ کا معنی ہے:,بے مثال موجد، عدم سے وجود میں لانے والا,بہت زیادہ مہلت دینے والا,بہت مہربان,نفع کا مالک، نفع عطا فرمانے والا,D | نفع کا مالک، نفع عطا فرمانے والا,Medium,1,PRO,1
q_10_isl_b1_mcq_091,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | BOOK DIRECT | اسماء الحسنیٰ,Remember,النُّورُ کا معنی ہے:,بہت زیادہ سننے والا,سب سلطنت و حکمرانی کا مالک,نور,ہمیشہ رہنے والا,C | نور,Medium,1,PRO,1
q_10_isl_b1_mcq_092,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | BOOK DIRECT | اسماء الحسنیٰ,Remember,الْهَادِي کا معنی ہے:,عظمت و بزرگی والا,ہدایت دینے والا,وارث، مالک,سب کچھ دیکھنے والا,B | ہدایت دینے والا,Medium,1,PRO,1
q_10_isl_b1_mcq_093,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | BOOK DIRECT | اسماء الحسنیٰ,Remember,الْبَدِيعُ کا معنی ہے:,بے مثال موجد، عدم سے وجود میں لانے والا,نیکی اور راستی کرنے والا,حکمت و تدبیر والا,عدل و انصاف کرنے والا,A | بے مثال موجد، عدم سے وجود میں لانے والا,Medium,1,PRO,1
q_10_isl_b1_mcq_094,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | BOOK DIRECT | اسماء الحسنیٰ,Remember,الْبَاقِي کا معنی ہے:,بہت زیادہ مہلت دینے والا,بہت مہربان,جمع کرنے والا,ہمیشہ رہنے والا,D | ہمیشہ رہنے والا,Medium,1,PRO,1
q_10_isl_b1_mcq_095,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | BOOK DIRECT | اسماء الحسنیٰ,Remember,الْوَارِثُ کا معنی ہے:,سب سلطنت و حکمرانی کا مالک,بے پروا، بے نیاز,وارث، مالک,بہت زیادہ سننے والا,C | وارث، مالک,Medium,1,PRO,1
q_10_isl_b1_mcq_096,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | BOOK DIRECT | اسماء الحسنیٰ,Remember,الرَّشِيدُ کا معنی ہے:,بے نیاز کر دینے والا,نیکی اور راستی کرنے والا,سب کچھ دیکھنے والا,عظمت و بزرگی والا,B | نیکی اور راستی کرنے والا,Medium,1,PRO,1
q_10_isl_b1_mcq_097,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | BOOK DIRECT | اسماء الحسنیٰ,Remember,الصَّبُورُ کا معنی ہے:,بہت زیادہ مہلت دینے والا,حکمت و تدبیر والا,عدل و انصاف کرنے والا,روکنے والا,A | بہت زیادہ مہلت دینے والا,Medium,1,PRO,1
q_10_isl_b1_mcq_098,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | BOOK DIRECT | اسماء الحسنیٰ,Remember,السَّمِيعُ کا معنی ہے:,بہت مہربان,جمع کرنے والا,نقصان کا مالک,بہت زیادہ سننے والا,D | بہت زیادہ سننے والا,Medium,1,PRO,1
q_10_isl_b1_mcq_099,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | BOOK DIRECT | اسماء الحسنیٰ,Remember,الْبَصِيرُ کا معنی ہے:,بے پروا، بے نیاز,نفع کا مالک، نفع عطا فرمانے والا,سب کچھ دیکھنے والا,سب سلطنت و حکمرانی کا مالک,C | سب کچھ دیکھنے والا,Medium,1,PRO,1
q_10_isl_b1_mcq_100,1,ISLAMIAT | CLASS 10 | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BOOK-BASED PAPER GENERATOR | BOOK DIRECT | اسماء الحسنیٰ,Remember,الْحَكِيمُ کا معنی ہے:,نور,حکمت و تدبیر والا,عظمت و بزرگی والا,بے نیاز کر دینے والا,B | حکمت و تدبیر والا,Medium,1,PRO,1
