question_hash,active,topic,bloom_level,question,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
q_10_isl_b5_mcq_001,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXERCISE DIRECT | سود کی حرمت,Remember,سود کو عربی میں کہتے ہیں:,کذب,ربا,نفع,فحش,B | ربا,Medium,1,ELITE,1
q_10_isl_b5_mcq_069,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | اسلامی ریاست,Remember,ریاست مدینہ میں بنیادی قدر تھی:,مساوات,نسلی غرور,طبقاتی فرق,سود,A | مساوات,Medium,1,ULTRA,1
q_10_isl_b5_mcq_070,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | اسلامی ریاست,Remember,اسلامی ریاست میں امن کی بنیاد ہے:,عدل,ظلم,تعصب,رشوت,A | عدل,Medium,1,ULTRA,1
q_10_isl_b5_mcq_071,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | اسلامی ریاست,Remember,پاکستان کو اسلامی فلاحی ریاست بنانے کے لیے ضروری ہے:,عدل و قانون,سود و رشوت,تعصب,طبقاتی فرق,A | عدل و قانون,Medium,1,ULTRA,1
q_10_isl_b5_mcq_072,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | اسلامی ریاست,Remember,فلاحی نظام میں کمزور طبقے کو ملتا ہے:,تحفظ,نظراندازی,استحصال,تحقیر,A | تحفظ,Medium,1,ULTRA,1
q_10_isl_b5_mcq_073,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | جہاد فی سبیل اللہ,Remember,جہاد کا لغوی مفہوم ہے:,کوشش و جدوجہد,صرف جنگ,تجارت,سفر,A | کوشش و جدوجہد,Medium,1,ULTRA,1
q_10_isl_b5_mcq_074,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | جہاد فی سبیل اللہ,Remember,کتاب کی روشنی میں، جہاد کا مقصد ہے:,رضائے الٰہی,شہرت,زمین,مال,A | رضائے الٰہی,Medium,1,ULTRA,1
q_10_isl_b5_mcq_075,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | جہاد فی سبیل اللہ,Remember,جہاد کا ایک مقصد ہے:,ظلم کا خاتمہ,نسلی غلبہ,مال جمع کرنا,انتقام,A | ظلم کا خاتمہ,Medium,1,ULTRA,1
q_10_isl_b5_mcq_076,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | جہاد فی سبیل اللہ,Remember,جہاد کا مطلوب نتیجہ ہے:,امن,فساد,انتقام,نسلی برتری,A | امن,Medium,1,ULTRA,1
q_10_isl_b5_mcq_077,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | جہاد فی سبیل اللہ,Remember,اسلام میں قتال ہے:,جہاد کی ایک صورت,واحد جہاد,ہر فرد پر ہر وقت,نجی انتقام,A | جہاد کی ایک صورت,Medium,1,ULTRA,1
q_10_isl_b5_mcq_078,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | جہاد فی سبیل اللہ,Remember,جہاد بالنفس کا تعلق ہے:,نفس کی اصلاح,تلوار,تجارت,سیاست,A | نفس کی اصلاح,Medium,1,ULTRA,1
q_10_isl_b5_mcq_079,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | جہاد فی سبیل اللہ,Remember,جہاد بالمال کا مطلب ہے:,مالی تعاون,سود,رشوت,ذخیرہ اندوزی,A | مالی تعاون,Medium,1,ULTRA,1
q_10_isl_b5_mcq_080,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | جہاد فی سبیل اللہ,Remember,جہاد بالعلم کا مطلب ہے:,علم سے خدمت,صرف جنگ,صرف مال,خاموشی,A | علم سے خدمت,Medium,1,ULTRA,1
q_10_isl_b5_mcq_081,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | جہاد فی سبیل اللہ,Remember,جہاد باللسان کا مطلب ہے:,حق بات کہنا,سود لینا,غیبت,بدگمانی,A | حق بات کہنا,Medium,1,ULTRA,1
q_10_isl_b5_mcq_082,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | جہاد فی سبیل اللہ,Remember,جہاد بالسیف سے مراد ہے:,مسلح دفاع,صرف تقریر,تعلیم,صدقہ,A | مسلح دفاع,Medium,1,ULTRA,1
q_10_isl_b5_mcq_083,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | جہاد فی سبیل اللہ,Remember,جہاد بالسیف کا اختیار ہے:,ریاستی نظم کے تحت,ہر فرد کو خود,ہر گروہ کو,بغیر اجازت,A | ریاستی نظم کے تحت,Medium,1,ULTRA,1
q_10_isl_b5_mcq_084,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | جہاد فی سبیل اللہ,Remember,نجی گروہ کا خود جنگ چھیڑنا:,درست نہیں,فرض ہے,مستحب ہے,ہمیشہ جائز ہے,A | درست نہیں,Medium,1,ULTRA,1
q_10_isl_b5_mcq_085,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | جہاد فی سبیل اللہ,Remember,فساد فی الارض سے مراد ہے:,زمین میں فساد,امن,عدل,صلح,A | زمین میں فساد,Medium,1,ULTRA,1
q_10_isl_b5_mcq_086,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | جہاد فی سبیل اللہ,Remember,اسلام بے گناہوں کے قتل کو:,منع کرتا ہے,لازم کرتا ہے,ترغیب دیتا ہے,غیر اہم سمجھتا ہے,A | منع کرتا ہے,Medium,1,ULTRA,1
q_10_isl_b5_mcq_087,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | جہاد فی سبیل اللہ,Remember,جنگ میں بچوں کو نقصان پہنچانا:,ممنوع,فرض,لازم,مستحب,A | ممنوع,Medium,1,ULTRA,1
q_10_isl_b5_mcq_088,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | جہاد فی سبیل اللہ,Remember,جنگ میں خواتین کو بلا وجہ نقصان پہنچانا:,ممنوع,جائز مطلق,لازم,فرض,A | ممنوع,Medium,1,ULTRA,1
q_10_isl_b5_mcq_089,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | جہاد فی سبیل اللہ,Remember,درختوں کو بلا ضرورت کاٹنا:,منع ہے,لازم ہے,فرض ہے,افضل ہے,A | منع ہے,Medium,1,ULTRA,1
q_10_isl_b5_mcq_090,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | جہاد فی سبیل اللہ,Remember,عبادت گاہوں کو بلا وجہ نقصان پہنچانا:,منع ہے,فرض ہے,جائز مطلق,لازم ہے,A | منع ہے,Medium,1,ULTRA,1
q_10_isl_b5_mcq_091,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | جہاد فی سبیل اللہ,Remember,دہشت گردی اسلامی جہاد کا:,حصہ نہیں,لازمی حصہ,بنیادی مقصد,مترادف,A | حصہ نہیں,Medium,1,ULTRA,1
q_10_isl_b5_mcq_092,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | جہاد فی سبیل اللہ,Remember,پیغام پاکستان جاری ہوا:,2018ء میں,2010ء میں,2001ء میں,2020ء میں,A | 2018ء میں,Medium,1,ULTRA,1
q_10_isl_b5_mcq_093,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | جہاد فی سبیل اللہ,Remember,پیغام پاکستان ہے:,قومی فتویٰ,آئینی ترمیم,تجارتی معاہدہ,عدالتی فیصلہ,A | قومی فتویٰ,Medium,1,ULTRA,1
q_10_isl_b5_mcq_094,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | جہاد فی سبیل اللہ,Remember,پیغام پاکستان کا موضوع ہے:,دہشت گردی کی مذمت,سود کی اجازت,تجارت,وراثت,A | دہشت گردی کی مذمت,Medium,1,ULTRA,1
q_10_isl_b5_mcq_095,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | جہاد فی سبیل اللہ,Remember,قومی فتوے میں شامل علما کی تعداد تقریباً تھی:,1800,180,80,18,A | 1800,Medium,1,ULTRA,1
q_10_isl_b5_mcq_096,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | جہاد فی سبیل اللہ,Remember,پیغام پاکستان سے متعلق ادارہ ہے:,اسلامی نظریاتی/تحقیقی حلقے,صرف تجارتی ادارہ,صرف کھیل ادارہ,صرف عدالتی دفتر,A | اسلامی نظریاتی/تحقیقی حلقے,Medium,1,ULTRA,1
q_10_isl_b5_mcq_097,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | جہاد فی سبیل اللہ,Remember,ظالم حکمران کے سامنے کلمہ حق کہنا ہے:,بہترین جہاد,غیبت,بہتان,فساد,A | بہترین جہاد,Medium,1,ULTRA,1
q_10_isl_b5_mcq_098,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | جہاد فی سبیل اللہ,Remember,جہاد میں بنیادی شرط ہے:,جائز مقصد,ذاتی انتقام,مالی مفاد,نسلی غرور,A | جائز مقصد,Medium,1,ULTRA,1
q_10_isl_b5_mcq_099,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | جہاد فی سبیل اللہ,Remember,اسلامی جہاد کی بنیاد ہے:,عدل و امن,انتقام,نسلی غلبہ,مالی مفاد,A | عدل و امن,Medium,1,ULTRA,1
q_10_isl_b5_mcq_100,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q1 MCQ POOL | EXTRA IMPORTANT | جہاد فی سبیل اللہ,Remember,جہاد کا صحیح تصور دور کرتا ہے:,دہشت گردی کی غلط فہمی,عدل,امن,رحمت,A | دہشت گردی کی غلط فہمی,Medium,1,ULTRA,1
