question_hash,active,topic,bloom_level,question,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
q_10_isl_b2_mcq_001,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | ملائکہ (فرشتے),Remember,فرشتوں کی تخلیق کا اولین مقصد ہے:,اللہ تعالیٰ کی عبادت,روح قبض کرنا,بارش برسانا,رزق پہنچانا,A | اللہ تعالیٰ کی عبادت,Medium,1,ELITE,1
q_10_isl_b2_mcq_071,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | زکوٰۃ,Remember,زکوٰۃ کا لغوی مفہوم ہے:,پاکیزگی اور بڑھوتری,صرف قرض,صرف تجارت,صرف قربانی,A | پاکیزگی اور بڑھوتری,Medium,1,ULTRA,1
q_10_isl_b2_mcq_072,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | زکوٰۃ,Remember,زکوٰۃ اسلام کا ہے:,اہم رکن,اختیاری رسم,صرف صدقہ,صرف ٹیکس,A | اہم رکن,Medium,1,ULTRA,1
q_10_isl_b2_mcq_073,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | زکوٰۃ,Remember,زکوٰۃ مال کو کرتی ہے:,پاک,ناپاک,کمزور,حرام,A | پاک,Medium,1,ULTRA,1
q_10_isl_b2_mcq_074,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | زکوٰۃ,Remember,زکوٰۃ دل کو بچاتی ہے:,بخل سے,علم سے,عبادت سے,صبر سے,A | بخل سے,Medium,1,ULTRA,1
q_10_isl_b2_mcq_075,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | زکوٰۃ,Remember,عام مالی زکوٰۃ کی شرح ہے:,چالیسواں حصہ,دسواں حصہ,پانچواں حصہ,آدھا مال,A | چالیسواں حصہ,Medium,1,ULTRA,1
q_10_isl_b2_mcq_076,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | زکوٰۃ,Remember,چالیسواں حصہ برابر ہے:,ڈھائی فیصد,دس فیصد,پانچ فیصد,بیس فیصد,A | ڈھائی فیصد,Medium,1,ULTRA,1
q_10_isl_b2_mcq_077,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | زکوٰۃ,Remember,قدرتی پانی سے سیراب فصل پر عشر ہے:,دسواں حصہ,بیسواں حصہ,چالیسواں حصہ,پانچواں حصہ,A | دسواں حصہ,Medium,1,ULTRA,1
q_10_isl_b2_mcq_078,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | زکوٰۃ,Remember,مصنوعی ذرائع سے سیراب فصل پر شرح ہے:,بیسواں حصہ,دسواں حصہ,چالیسواں حصہ,آدھا حصہ,A | بیسواں حصہ,Medium,1,ULTRA,1
q_10_isl_b2_mcq_079,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | زکوٰۃ,Remember,عشر کا تعلق ہے:,زرعی پیداوار سے,صرف نقدی سے,صرف سونے سے,صرف مویشی سے,A | زرعی پیداوار سے,Medium,1,ULTRA,1
q_10_isl_b2_mcq_080,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | زکوٰۃ,Remember,زکوٰۃ سے معاشرے میں کم ہوتی ہے:,غربت,تعلیم,محنت,تجارت,A | غربت,Medium,1,ULTRA,1
q_10_isl_b2_mcq_081,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | زکوٰۃ,Remember,زکوٰۃ دولت کی گردش کو:,بڑھاتی ہے,روکتی ہے,ختم کرتی ہے,غیر متعلق ہے,A | بڑھاتی ہے,Medium,1,ULTRA,1
q_10_isl_b2_mcq_082,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | زکوٰۃ,Remember,زکوٰۃ معاشرے میں پیدا کرتی ہے:,باہمی ہمدردی,حسد,طبقاتی نفرت,بخل,A | باہمی ہمدردی,Medium,1,ULTRA,1
q_10_isl_b2_mcq_083,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | زکوٰۃ,Remember,حضرت ابوبکر رضی اللہ عنہ نے نماز اور زکوٰۃ میں فرق کرنے والوں کے خلاف:,جنگ کا اعلان کیا,انعام دیا,خاموشی اختیار کی,ہجرت کی,A | جنگ کا اعلان کیا,Medium,1,ULTRA,1
q_10_isl_b2_mcq_084,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | زکوٰۃ,Remember,زکوٰۃ روکنے سے معاشرے میں بڑھتی ہے:,معاشی ناہمواری,مساوات,اخوت,قناعت,A | معاشی ناہمواری,Medium,1,ULTRA,1
q_10_isl_b2_mcq_085,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | زکوٰۃ,Remember,اسلامی معاشی نظام میں زکوٰۃ کا مقصد ہے:,عدل و فلاح,استحصال,سود,ذخیرہ اندوزی,A | عدل و فلاح,Medium,1,ULTRA,1
q_10_isl_b2_mcq_086,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | حج اور قربانی,Remember,حج کا لغوی مفہوم ہے:,ارادہ کرنا,سونا,روزہ رکھنا,صدقہ دینا,A | ارادہ کرنا,Medium,1,ULTRA,1
q_10_isl_b2_mcq_087,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | حج اور قربانی,Remember,حج فرض ہے:,صاحب استطاعت مسلمان پر,ہر بچے پر,صرف عالم پر,صرف تاجر پر,A | صاحب استطاعت مسلمان پر,Medium,1,ULTRA,1
q_10_isl_b2_mcq_088,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | حج اور قربانی,Remember,حج ادا کیا جاتا ہے:,مکہ مکرمہ میں,مدینہ منورہ میں فقط,شام میں,یمن میں,A | مکہ مکرمہ میں,Medium,1,ULTRA,1
q_10_isl_b2_mcq_089,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | حج اور قربانی,Remember,احرام حج کا:,اہم حصہ,غیر ضروری عمل,مکروہ عمل,صرف رسم,A | اہم حصہ,Medium,1,ULTRA,1
q_10_isl_b2_mcq_090,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | حج اور قربانی,Remember,وقوف عرفہ ہوتا ہے:,میدان عرفات میں,منیٰ میں,مدینہ میں,مسجد اقصیٰ میں,A | میدان عرفات میں,Medium,1,ULTRA,1
q_10_isl_b2_mcq_091,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | حج اور قربانی,Remember,حج مبرور کا بدلہ ہے:,جنت,صرف مال,صرف شہرت,صرف صحت,A | جنت,Medium,1,ULTRA,1
q_10_isl_b2_mcq_092,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | حج اور قربانی,Remember,ایک عمرہ دوسرے عمرے تک کے گناہوں کے لیے ہے:,کفارہ,زکوٰۃ,نذر,قرض,A | کفارہ,Medium,1,ULTRA,1
q_10_isl_b2_mcq_093,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | حج اور قربانی,Remember,قربانی یاد دلاتی ہے:,حضرت ابراہیم و اسماعیل علیہما السلام کی اطاعت,قارون کی دولت,فرعون کی حکومت,نمرود کی طاقت,A | حضرت ابراہیم و اسماعیل علیہما السلام کی اطاعت,Medium,1,ULTRA,1
q_10_isl_b2_mcq_094,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | حج اور قربانی,Remember,قربانی کا بنیادی مقصد ہے:,رضائے الٰہی,نمائش,تجارت,فخر,A | رضائے الٰہی,Medium,1,ULTRA,1
q_10_isl_b2_mcq_095,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | حج اور قربانی,Remember,حج مسلمانوں میں پیدا کرتا ہے:,اتحاد,تفرقہ,نسلی غرور,طبقاتی فرق,A | اتحاد,Medium,1,ULTRA,1
q_10_isl_b2_mcq_096,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | حج اور قربانی,Remember,احرام مسلمانوں کو سکھاتا ہے:,مساوات,طبقاتی فرق,فخر,تعصب,A | مساوات,Medium,1,ULTRA,1
q_10_isl_b2_mcq_097,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | حج اور قربانی,Remember,حج کے اہم مناسک میں شامل ہے:,طواف,سود,قمار,رشوت,A | طواف,Medium,1,ULTRA,1
q_10_isl_b2_mcq_098,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | حج اور قربانی,Remember,حج کے مناسک میں صفا و مروہ کے درمیان عمل ہے:,سعی,غیبت,بدگمانی,قطع رحمی,A | سعی,Medium,1,ULTRA,1
q_10_isl_b2_mcq_099,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | حج اور قربانی,Remember,قربانی کے جانور کا ہونا چاہیے:,عیب سے پاک,بیمار,اندھا,شدید لنگڑا,A | عیب سے پاک,Medium,1,ULTRA,1
q_10_isl_b2_mcq_100,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | حج اور قربانی,Remember,حج کا عالمی اجتماع ظاہر کرتا ہے:,امت مسلمہ کی وحدت,نسلی برتری,مالی تفاخر,طبقاتی نظام,A | امت مسلمہ کی وحدت,Medium,1,ULTRA,1
