question_hash,active,topic,bloom_level,question,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
q_10_isl_b6_mcq_001,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | اہل بیت اطہار | حضرت امام زید بن علی رحمۃ اللہ علیہ,Remember,حضرت امام زید بن علی رحمۃ اللہ علیہ کے بارے میں لقب کیا تھا؟,حلیف القرآن,تجارت,زراعت,سیاست,A | حلیف القرآن,Medium,1,ELITE,1
q_10_isl_b6_mcq_058,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | صوفیائے کرام رحمۃ اللہ علیہم | حضرت سید عبداللطیف کاظمی رحمۃ اللہ علیہ (امام بری),Remember,حضرت سید عبداللطیف کاظمی رحمۃ اللہ علیہ (امام بری) کے بارے میں اصل نام کیا تھا؟,زراعت,سیاست,سید عبداللطیف کاظمی,تجارت,C | سید عبداللطیف کاظمی,Medium,1,ELITE,1
q_10_isl_b6_mcq_059,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | صوفیائے کرام رحمۃ اللہ علیہم | حضرت سید عبداللطیف کاظمی رحمۃ اللہ علیہ (امام بری),Remember,حضرت سید عبداللطیف کاظمی رحمۃ اللہ علیہ (امام بری) کے بارے میں مرکز تبلیغ کہاں تھا؟,اسلام آباد کا علاقہ,تجارت,زراعت,سیاست,A | اسلام آباد کا علاقہ,Medium,1,ELITE,1
q_10_isl_b6_mcq_060,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | صوفیائے کرام رحمۃ اللہ علیہم | حضرت سید عبداللطیف کاظمی رحمۃ اللہ علیہ (امام بری),Remember,حضرت سید عبداللطیف کاظمی رحمۃ اللہ علیہ (امام بری) کے بارے میں نمایاں خدمت کیا تھی؟,زراعت,سیاست,تبلیغ اسلام,تجارت,C | تبلیغ اسلام,Medium,1,ULTRA,1
q_10_isl_b6_mcq_061,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | صوفیائے کرام رحمۃ اللہ علیہم | حضرت سید عبداللطیف کاظمی رحمۃ اللہ علیہ (امام بری),Remember,حضرت سید عبداللطیف کاظمی رحمۃ اللہ علیہ (امام بری) کے بارے میں نمایاں صفت کیا تھی؟,زہد و تقویٰ,تجارت,زراعت,سیاست,A | زہد و تقویٰ,Medium,1,ULTRA,1
q_10_isl_b6_mcq_062,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | صوفیائے کرام رحمۃ اللہ علیہم | حضرت سید عبداللطیف کاظمی رحمۃ اللہ علیہ (امام بری),Remember,حضرت سید عبداللطیف کاظمی رحمۃ اللہ علیہ (امام بری) کے بارے میں عوام سے تعلق کی بنیاد کیا تھی؟,زراعت,سیاست,محبت و خدمت,تجارت,C | محبت و خدمت,Medium,1,ULTRA,1
q_10_isl_b6_mcq_063,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | صوفیائے کرام رحمۃ اللہ علیہم | حضرت سید عبداللطیف کاظمی رحمۃ اللہ علیہ (امام بری),Remember,حضرت سید عبداللطیف کاظمی رحمۃ اللہ علیہ (امام بری) کے بارے میں تعلیمات کا محور کیا تھا؟,اصلاح نفس,تجارت,زراعت,سیاست,A | اصلاح نفس,Medium,1,ULTRA,1
q_10_isl_b6_mcq_064,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | صوفیائے کرام رحمۃ اللہ علیہم | حضرت سید عبداللطیف کاظمی رحمۃ اللہ علیہ (امام بری),Remember,حضرت سید عبداللطیف کاظمی رحمۃ اللہ علیہ (امام بری) کے بارے میں اسلامی خدمت کا میدان کیا تھا؟,زراعت,سیاست,دعوت و ارشاد,تجارت,C | دعوت و ارشاد,Medium,1,ULTRA,1
q_10_isl_b6_mcq_065,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | صوفیائے کرام رحمۃ اللہ علیہم | حضرت مولانا عبدالرحمن جامی رحمۃ اللہ علیہ,Remember,حضرت مولانا عبدالرحمن جامی رحمۃ اللہ علیہ کے بارے میں اصل میدان کیا تھا؟,علم و ادب,تجارت,زراعت,سیاست,A | علم و ادب,Medium,1,ELITE,1
q_10_isl_b6_mcq_066,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | صوفیائے کرام رحمۃ اللہ علیہم | حضرت مولانا عبدالرحمن جامی رحمۃ اللہ علیہ,Remember,حضرت مولانا عبدالرحمن جامی رحمۃ اللہ علیہ کے بارے میں مشہور حیثیت کیا تھی؟,زراعت,سیاست,صوفی شاعر,تجارت,C | صوفی شاعر,Medium,1,ELITE,1
q_10_isl_b6_mcq_067,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | صوفیائے کرام رحمۃ اللہ علیہم | حضرت مولانا عبدالرحمن جامی رحمۃ اللہ علیہ,Remember,حضرت مولانا عبدالرحمن جامی رحمۃ اللہ علیہ کے بارے میں کس زبان کے ادب میں شہرت ہے؟,فارسی,تجارت,زراعت,سیاست,A | فارسی,Medium,1,ELITE,1
q_10_isl_b6_mcq_068,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | صوفیائے کرام رحمۃ اللہ علیہم | حضرت مولانا عبدالرحمن جامی رحمۃ اللہ علیہ,Remember,حضرت مولانا عبدالرحمن جامی رحمۃ اللہ علیہ کے بارے میں مشہور تصنیف کون سی ہے؟,زراعت,سیاست,نفحات الانس,تجارت,C | نفحات الانس,Medium,1,ULTRA,1
q_10_isl_b6_mcq_069,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | صوفیائے کرام رحمۃ اللہ علیہم | حضرت مولانا عبدالرحمن جامی رحمۃ اللہ علیہ,Remember,حضرت مولانا عبدالرحمن جامی رحمۃ اللہ علیہ کے بارے میں نمایاں صفت کیا تھی؟,علم و تصوف,تجارت,زراعت,سیاست,A | علم و تصوف,Medium,1,ULTRA,1
q_10_isl_b6_mcq_070,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | صوفیائے کرام رحمۃ اللہ علیہم | حضرت مولانا عبدالرحمن جامی رحمۃ اللہ علیہ,Remember,حضرت مولانا عبدالرحمن جامی رحمۃ اللہ علیہ کے بارے میں تعلیمات کا محور کیا تھا؟,زراعت,سیاست,اخلاقی اصلاح,تجارت,C | اخلاقی اصلاح,Medium,1,ULTRA,1
q_10_isl_b6_mcq_071,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | صوفیائے کرام رحمۃ اللہ علیہم | حضرت مولانا عبدالرحمن جامی رحمۃ اللہ علیہ,Remember,حضرت مولانا عبدالرحمن جامی رحمۃ اللہ علیہ کے بارے میں اسلامی علوم سے تعلق کیا تھا؟,گہرا,تجارت,زراعت,سیاست,A | گہرا,Medium,1,ULTRA,1
q_10_isl_b6_mcq_072,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | صوفیائے کرام رحمۃ اللہ علیہم | حضرت مولانا عبدالرحمن جامی رحمۃ اللہ علیہ,Remember,حضرت مولانا عبدالرحمن جامی رحمۃ اللہ علیہ کے بارے میں عملی سبق کیا ہے؟,زراعت,سیاست,علم و کردار,تجارت,C | علم و کردار,Medium,1,ULTRA,1
q_10_isl_b6_mcq_073,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | صوفیائے کرام رحمۃ اللہ علیہم | حضرت لعل شہباز قلندر رحمۃ اللہ علیہ,Remember,حضرت لعل شہباز قلندر رحمۃ اللہ علیہ کے بارے میں اصل نام کیا تھا؟,سید محمد عثمان مروندی,تجارت,زراعت,سیاست,A | سید محمد عثمان مروندی,Medium,1,ELITE,1
q_10_isl_b6_mcq_074,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | صوفیائے کرام رحمۃ اللہ علیہم | حضرت لعل شہباز قلندر رحمۃ اللہ علیہ,Remember,حضرت لعل شہباز قلندر رحمۃ اللہ علیہ کے بارے میں مشہور مقام کہاں ہے؟,زراعت,سیاست,سیہون سندھ,تجارت,C | سیہون سندھ,Medium,1,ELITE,1
q_10_isl_b6_mcq_075,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | صوفیائے کرام رحمۃ اللہ علیہم | حضرت لعل شہباز قلندر رحمۃ اللہ علیہ,Remember,حضرت لعل شہباز قلندر رحمۃ اللہ علیہ کے بارے میں نمایاں خدمت کیا تھی؟,تبلیغ اسلام,تجارت,زراعت,سیاست,A | تبلیغ اسلام,Medium,1,ELITE,1
q_10_isl_b6_mcq_076,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | صوفیائے کرام رحمۃ اللہ علیہم | حضرت لعل شہباز قلندر رحمۃ اللہ علیہ,Remember,حضرت لعل شہباز قلندر رحمۃ اللہ علیہ کے بارے میں نمایاں وصف کیا تھا؟,زراعت,سیاست,محبت و خدمت,تجارت,C | محبت و خدمت,Medium,1,ULTRA,1
q_10_isl_b6_mcq_077,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | صوفیائے کرام رحمۃ اللہ علیہم | حضرت لعل شہباز قلندر رحمۃ اللہ علیہ,Remember,حضرت لعل شہباز قلندر رحمۃ اللہ علیہ کے بارے میں کس خطے میں اثرات نمایاں ہیں؟,سندھ,تجارت,زراعت,سیاست,A | سندھ,Medium,1,ULTRA,1
q_10_isl_b6_mcq_078,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | صوفیائے کرام رحمۃ اللہ علیہم | حضرت لعل شہباز قلندر رحمۃ اللہ علیہ,Remember,حضرت لعل شہباز قلندر رحمۃ اللہ علیہ کے بارے میں دعوت کا طریقہ کیا تھا؟,زراعت,سیاست,اخلاق و محبت,تجارت,C | اخلاق و محبت,Medium,1,ULTRA,1
q_10_isl_b6_mcq_079,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | صوفیائے کرام رحمۃ اللہ علیہم | حضرت لعل شہباز قلندر رحمۃ اللہ علیہ,Remember,حضرت لعل شہباز قلندر رحمۃ اللہ علیہ کے بارے میں اسلامی تعلیمات کا کون سا پہلو نمایاں کیا؟,اخوت,تجارت,زراعت,سیاست,A | اخوت,Medium,1,ULTRA,1
q_10_isl_b6_mcq_080,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | صوفیائے کرام رحمۃ اللہ علیہم | حضرت لعل شہباز قلندر رحمۃ اللہ علیہ,Remember,حضرت لعل شہباز قلندر رحمۃ اللہ علیہ کے بارے میں عملی سبق کیا ہے؟,زراعت,سیاست,رواداری و خدمت,تجارت,C | رواداری و خدمت,Medium,1,ULTRA,1
q_10_isl_b6_mcq_081,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | علماء و مفکرین | شیخ ابن عربی رحمۃ اللہ علیہ,Remember,شیخ ابن عربی رحمۃ اللہ علیہ کے بارے میں پورا نام کیا تھا؟,محی الدین ابن عربی,تجارت,زراعت,سیاست,A | محی الدین ابن عربی,Medium,1,ELITE,1
q_10_isl_b6_mcq_082,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | علماء و مفکرین | شیخ ابن عربی رحمۃ اللہ علیہ,Remember,شیخ ابن عربی رحمۃ اللہ علیہ کے بارے میں مشہور لقب کیا تھا؟,زراعت,سیاست,شیخ اکبر,تجارت,C | شیخ اکبر,Medium,1,ELITE,1
q_10_isl_b6_mcq_083,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | علماء و مفکرین | شیخ ابن عربی رحمۃ اللہ علیہ,Remember,شیخ ابن عربی رحمۃ اللہ علیہ کے بارے میں علمی میدان کیا تھا؟,تصوف و فلسفہ,تجارت,زراعت,سیاست,A | تصوف و فلسفہ,Medium,1,ELITE,1
q_10_isl_b6_mcq_084,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | علماء و مفکرین | شیخ ابن عربی رحمۃ اللہ علیہ,Remember,شیخ ابن عربی رحمۃ اللہ علیہ کے بارے میں مشہور تصنیف کیا ہے؟,زراعت,سیاست,الفتوحات المکیہ,تجارت,C | الفتوحات المکیہ,Medium,1,ULTRA,1
q_10_isl_b6_mcq_085,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | علماء و مفکرین | شیخ ابن عربی رحمۃ اللہ علیہ,Remember,شیخ ابن عربی رحمۃ اللہ علیہ کے بارے میں دیگر مشہور کتاب کیا ہے؟,فصوص الحکم,تجارت,زراعت,سیاست,A | فصوص الحکم,Medium,1,ULTRA,1
q_10_isl_b6_mcq_086,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | علماء و مفکرین | شیخ ابن عربی رحمۃ اللہ علیہ,Remember,شیخ ابن عربی رحمۃ اللہ علیہ کے بارے میں پیدائش کہاں ہوئی؟,زراعت,سیاست,اندلس,تجارت,C | اندلس,Medium,1,ULTRA,1
q_10_isl_b6_mcq_087,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | علماء و مفکرین | شیخ ابن عربی رحمۃ اللہ علیہ,Remember,شیخ ابن عربی رحمۃ اللہ علیہ کے بارے میں علمی اثر کس میدان میں ہے؟,تصوف,تجارت,زراعت,سیاست,A | تصوف,Medium,1,ULTRA,1
q_10_isl_b6_mcq_088,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | علماء و مفکرین | شیخ ابن عربی رحمۃ اللہ علیہ,Remember,شیخ ابن عربی رحمۃ اللہ علیہ کے بارے میں نمایاں وصف کیا تھا؟,زراعت,سیاست,وسیع علمی فکر,تجارت,C | وسیع علمی فکر,Medium,1,ULTRA,1
q_10_isl_b6_mcq_089,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | علماء و مفکرین | شاہ عبدالعزیز محدث دہلوی رحمۃ اللہ علیہ,Remember,شاہ عبدالعزیز محدث دہلوی رحمۃ اللہ علیہ کے بارے میں والد کون تھے؟,شاہ ولی اللہ دہلوی رحمۃ اللہ علیہ,تجارت,زراعت,سیاست,A | شاہ ولی اللہ دہلوی رحمۃ اللہ علیہ,Medium,1,ELITE,1
q_10_isl_b6_mcq_090,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | علماء و مفکرین | شاہ عبدالعزیز محدث دہلوی رحمۃ اللہ علیہ,Remember,شاہ عبدالعزیز محدث دہلوی رحمۃ اللہ علیہ کے بارے میں علمی میدان کیا تھا؟,زراعت,سیاست,علم حدیث,تجارت,C | علم حدیث,Medium,1,ELITE,1
q_10_isl_b6_mcq_091,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | علماء و مفکرین | شاہ عبدالعزیز محدث دہلوی رحمۃ اللہ علیہ,Remember,شاہ عبدالعزیز محدث دہلوی رحمۃ اللہ علیہ کے بارے میں کس شہر سے نسبت ہے؟,دہلی,تجارت,زراعت,سیاست,A | دہلی,Medium,1,ELITE,1
q_10_isl_b6_mcq_092,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | علماء و مفکرین | شاہ عبدالعزیز محدث دہلوی رحمۃ اللہ علیہ,Remember,شاہ عبدالعزیز محدث دہلوی رحمۃ اللہ علیہ کے بارے میں نمایاں خدمت کیا تھی؟,زراعت,سیاست,حدیث کی تدریس,تجارت,C | حدیث کی تدریس,Medium,1,ULTRA,1
q_10_isl_b6_mcq_093,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | علماء و مفکرین | شاہ عبدالعزیز محدث دہلوی رحمۃ اللہ علیہ,Remember,شاہ عبدالعزیز محدث دہلوی رحمۃ اللہ علیہ کے بارے میں علمی ورثہ کس سے ملا؟,شاہ ولی اللہ,تجارت,زراعت,سیاست,A | شاہ ولی اللہ,Medium,1,ULTRA,1
q_10_isl_b6_mcq_094,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | علماء و مفکرین | شاہ عبدالعزیز محدث دہلوی رحمۃ اللہ علیہ,Remember,شاہ عبدالعزیز محدث دہلوی رحمۃ اللہ علیہ کے بارے میں برصغیر میں کردار کیا تھا؟,زراعت,سیاست,اسلامی علوم کی اشاعت,تجارت,C | اسلامی علوم کی اشاعت,Medium,1,ULTRA,1
q_10_isl_b6_mcq_095,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | علماء و مفکرین | شاہ عبدالعزیز محدث دہلوی رحمۃ اللہ علیہ,Remember,شاہ عبدالعزیز محدث دہلوی رحمۃ اللہ علیہ کے بارے میں نمایاں وصف کیا تھا؟,علم و تقویٰ,تجارت,زراعت,سیاست,A | علم و تقویٰ,Medium,1,ULTRA,1
q_10_isl_b6_mcq_096,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | علماء و مفکرین | شاہ عبدالعزیز محدث دہلوی رحمۃ اللہ علیہ,Remember,شاہ عبدالعزیز محدث دہلوی رحمۃ اللہ علیہ کے بارے میں علمی شناخت کیا تھی؟,زراعت,سیاست,محدث,تجارت,C | محدث,Medium,1,ULTRA,1
q_10_isl_b6_mcq_097,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | علماء و مفکرین | ابن رشد رحمۃ اللہ علیہ,Remember,ابن رشد رحمۃ اللہ علیہ کے بارے میں مشہور حیثیت کیا تھی؟,فلسفی و عالم,تجارت,زراعت,سیاست,A | فلسفی و عالم,Medium,1,ELITE,1
q_10_isl_b6_mcq_098,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | علماء و مفکرین | ابن رشد رحمۃ اللہ علیہ,Remember,ابن رشد رحمۃ اللہ علیہ کے بارے میں پیدائش کہاں ہوئی؟,زراعت,سیاست,قرطبہ,تجارت,C | قرطبہ,Medium,1,ELITE,1
q_10_isl_b6_mcq_099,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | علماء و مفکرین | ابن رشد رحمۃ اللہ علیہ,Remember,ابن رشد رحمۃ اللہ علیہ کے بارے میں علمی میدان کیا تھا؟,فلسفہ,تجارت,زراعت,سیاست,A | فلسفہ,Medium,1,ELITE,1
q_10_isl_b6_mcq_100,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | علماء و مفکرین | ابن رشد رحمۃ اللہ علیہ,Remember,ابن رشد رحمۃ اللہ علیہ کے بارے میں دیگر میدان کیا تھا؟,زراعت,سیاست,طب,تجارت,C | طب,Medium,1,ULTRA,1
