question_hash,active,topic,question_style,question,difficulty,marks,weightage,smart_syllabus
q_10_isl_b6_short_001,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | BOARD/EXERCISE | اہل بیت اطہار | حضرت امام زید بن علی رحمۃ اللہ علیہ,textbook_exercise_or_direct,حضرت امام زید بن علی رحمۃ اللہ علیہ کا مختصر تعارف بیان کریں۔,Medium,2,ELITE,1
q_10_isl_b6_short_061,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | BOARD/EXERCISE | علماء و مفکرین | ابن رشد رحمۃ اللہ علیہ,textbook_exercise_or_direct,ابن رشد رحمۃ اللہ علیہ کا مختصر تعارف بیان کریں۔,Medium,2,ELITE,1
q_10_isl_b6_short_062,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | BOARD/EXERCISE | علماء و مفکرین | ابن رشد رحمۃ اللہ علیہ,textbook_exercise_or_direct,ابن رشد رحمۃ اللہ علیہ کی دو نمایاں صفات بیان کریں۔,Medium,2,ELITE,1
q_10_isl_b6_short_063,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | BOARD/EXERCISE | علماء و مفکرین | ابن رشد رحمۃ اللہ علیہ,textbook_exercise_or_direct,ابن رشد رحمۃ اللہ علیہ کی علمی یا دینی خدمات میں سے دو بیان کریں۔,Medium,2,ELITE,1
q_10_isl_b6_short_064,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | BOARD/EXERCISE | علماء و مفکرین | ابن رشد رحمۃ اللہ علیہ,textbook_exercise_or_direct,ابن رشد رحمۃ اللہ علیہ کی زندگی سے حاصل ہونے والے دو اسباق لکھیں۔,Medium,2,ULTRA,1
q_10_isl_b6_short_065,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | BOARD/EXERCISE | علماء و مفکرین | ابن رشد رحمۃ اللہ علیہ,textbook_exercise_or_direct,ابن رشد رحمۃ اللہ علیہ کے بارے میں کتاب میں بیان کردہ کسی ایک اہم واقعے یا خدمت کا ذکر کریں۔,Medium,2,ULTRA,1
q_10_isl_b6_short_066,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اہل بیت اطہار | حضرت امام زید بن علی رحمۃ اللہ علیہ,extra_important_book_derived,حلیف القرآن کے لقب کی وجہ بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b6_short_067,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اہل بیت اطہار | حضرت امام زید بن علی رحمۃ اللہ علیہ,extra_important_book_derived,فقہ زیدیہ سے آپ کا کیا تعلق ہے؟,Medium,2,ULTRA,1
q_10_isl_b6_short_068,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اہل بیت اطہار | حضرت امام زید بن علی رحمۃ اللہ علیہ,extra_important_book_derived,اتحاد امت کے بارے میں آپ کے طرز عمل سے کیا سبق ملتا ہے؟,Medium,2,ULTRA,1
q_10_isl_b6_short_069,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | صحابہ کرام رضی اللہ عنہم | حضرت عقبہ بن عامر رضی اللہ عنہ,extra_important_book_derived,قرآن و حدیث سے آپ کی وابستگی بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b6_short_070,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | صحابہ کرام رضی اللہ عنہم | حضرت عقبہ بن عامر رضی اللہ عنہ,extra_important_book_derived,مصر میں آپ کی علمی خدمات کی اہمیت بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b6_short_071,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | صحابہ کرام رضی اللہ عنہم | حضرت جابر بن عبداللہ رضی اللہ عنہ,extra_important_book_derived,روایت حدیث میں آپ کی خدمات بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b6_short_072,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | صحابہ کرام رضی اللہ عنہم | حضرت جابر بن عبداللہ رضی اللہ عنہ,extra_important_book_derived,انیس غزوات میں شرکت سے کیا سبق ملتا ہے؟,Medium,2,ULTRA,1
q_10_isl_b6_short_073,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | صحابہ کرام رضی اللہ عنہم | حضرت جابر بن عبداللہ رضی اللہ عنہ,extra_important_book_derived,1540 احادیث کی روایت کی علمی اہمیت کیا ہے؟,Medium,2,ULTRA,1
q_10_isl_b6_short_074,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | صحابہ کرام رضی اللہ عنہم | حضرت انس بن مالک رضی اللہ عنہ,extra_important_book_derived,دس سال خدمت نبوی ﷺ نے آپ کی تربیت پر کیا اثر ڈالا؟,Medium,2,ULTRA,1
q_10_isl_b6_short_075,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | صحابہ کرام رضی اللہ عنہم | حضرت انس بن مالک رضی اللہ عنہ,extra_important_book_derived,خادم الرسول ﷺ کے لقب کی اہمیت بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b6_short_076,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | صحابہ کرام رضی اللہ عنہم | حضرت انس بن مالک رضی اللہ عنہ,extra_important_book_derived,آپ کی والدہ حضرت ام سلیم رضی اللہ عنہا کا تربیتی کردار بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b6_short_077,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | صحابیات رضی اللہ عنہن | حضرت ام ایمن رضی اللہ عنہا,extra_important_book_derived,نبی کریم ﷺ سے آپ کی وابستگی بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b6_short_078,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | صحابیات رضی اللہ عنہن | حضرت ام ایمن رضی اللہ عنہا,extra_important_book_derived,آپ کی وفاداری سے کیا سبق ملتا ہے؟,Medium,2,ULTRA,1
q_10_isl_b6_short_079,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | صحابیات رضی اللہ عنہن | حضرت ام عمارہ رضی اللہ عنہا,extra_important_book_derived,غزوہ احد میں آپ کی شجاعت بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b6_short_080,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | صحابیات رضی اللہ عنہن | حضرت ام عمارہ رضی اللہ عنہا,extra_important_book_derived,دفاع رسول ﷺ میں آپ کا کردار بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b6_short_081,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | صحابیات رضی اللہ عنہن | حضرت اسماء بنت ابی بکر رضی اللہ عنہا,extra_important_book_derived,ذات النطاقین کے لقب کی وجہ بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b6_short_082,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | صحابیات رضی اللہ عنہن | حضرت اسماء بنت ابی بکر رضی اللہ عنہا,extra_important_book_derived,ہجرت کے موقع پر آپ کی خدمت بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b6_short_083,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | صحابیات رضی اللہ عنہن | حضرت اسماء بنت ابی بکر رضی اللہ عنہا,extra_important_book_derived,آپ کی ثابت قدمی سے کیا سبق ملتا ہے؟,Medium,2,ULTRA,1
q_10_isl_b6_short_084,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | صوفیائے کرام رحمۃ اللہ علیہم | حضرت سید عبداللطیف کاظمی رحمۃ اللہ علیہ (امام بری),extra_important_book_derived,آپ کی تبلیغی خدمات بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b6_short_085,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | صوفیائے کرام رحمۃ اللہ علیہم | حضرت سید عبداللطیف کاظمی رحمۃ اللہ علیہ (امام بری),extra_important_book_derived,آپ کی تعلیمات میں خدمت خلق کی اہمیت بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b6_short_086,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | صوفیائے کرام رحمۃ اللہ علیہم | حضرت مولانا عبدالرحمن جامی رحمۃ اللہ علیہ,extra_important_book_derived,نفحات الانس کی اہمیت بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b6_short_087,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | صوفیائے کرام رحمۃ اللہ علیہم | حضرت مولانا عبدالرحمن جامی رحمۃ اللہ علیہ,extra_important_book_derived,فارسی ادب میں آپ کی خدمات بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b6_short_088,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | صوفیائے کرام رحمۃ اللہ علیہم | حضرت لعل شہباز قلندر رحمۃ اللہ علیہ,extra_important_book_derived,سندھ میں آپ کی دعوتی خدمات بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b6_short_089,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | صوفیائے کرام رحمۃ اللہ علیہم | حضرت لعل شہباز قلندر رحمۃ اللہ علیہ,extra_important_book_derived,محبت و رواداری کے پیغام کی اہمیت بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b6_short_090,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | علماء و مفکرین | شیخ ابن عربی رحمۃ اللہ علیہ,extra_important_book_derived,الفتوحات المکیہ کا تعارف لکھیں۔,Medium,2,ULTRA,1
q_10_isl_b6_short_091,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | علماء و مفکرین | شیخ ابن عربی رحمۃ اللہ علیہ,extra_important_book_derived,تصوف میں آپ کی علمی خدمات بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b6_short_092,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | علماء و مفکرین | شاہ عبدالعزیز محدث دہلوی رحمۃ اللہ علیہ,extra_important_book_derived,علم حدیث میں آپ کی خدمات بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b6_short_093,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | علماء و مفکرین | شاہ عبدالعزیز محدث دہلوی رحمۃ اللہ علیہ,extra_important_book_derived,شاہ ولی اللہ دہلوی رحمۃ اللہ علیہ سے آپ کا علمی تعلق بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b6_short_094,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | علماء و مفکرین | ابن رشد رحمۃ اللہ علیہ,extra_important_book_derived,فلسفہ اور طب میں آپ کی خدمات بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b6_short_095,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | علماء و مفکرین | ابن رشد رحمۃ اللہ علیہ,extra_important_book_derived,اندلس کی علمی روایت میں آپ کا مقام بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b6_short_096,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | صحابیات رضی اللہ عنہن | حضرت ام ایمن رضی اللہ عنہا,extra_important_book_derived,خدمت نبوی ﷺ سے آپ کی زندگی کا کیا پہلو نمایاں ہوتا ہے؟,Medium,2,ULTRA,1
q_10_isl_b6_short_097,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | صحابیات رضی اللہ عنہن | حضرت ام عمارہ رضی اللہ عنہا,extra_important_book_derived,خواتین کے لیے آپ کی زندگی کیا نمونہ پیش کرتی ہے؟,Medium,2,ULTRA,1
q_10_isl_b6_short_098,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | صوفیائے کرام رحمۃ اللہ علیہم | حضرت مولانا عبدالرحمن جامی رحمۃ اللہ علیہ,extra_important_book_derived,علم اور تصوف کے امتزاج کی وضاحت کریں۔,Medium,2,ULTRA,1
q_10_isl_b6_short_099,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | علماء و مفکرین | شاہ عبدالعزیز محدث دہلوی رحمۃ اللہ علیہ,extra_important_book_derived,برصغیر میں اسلامی علوم کی اشاعت میں آپ کا کردار بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b6_short_100,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | علماء و مفکرین | ابن رشد رحمۃ اللہ علیہ,extra_important_book_derived,علمی جستجو اور تحقیق سے آپ کی زندگی کیا سبق دیتی ہے؟,Medium,2,ULTRA,1
