question_hash,active,topic,bloom_level,question,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
q_10_isl_b3_mcq_001,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | غزوہ تبوک,Remember,مدینہ منورہ سے دمشق کے راستے پر واقع تبوک نام ہے:,چشمے کا,سرائے کا,باغ کا,دریا کا,A | چشمے کا,Medium,1,ELITE,1
q_10_isl_b3_mcq_067,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | صلہ رحمی,Remember,صلہ رحمی کا تعلق ہے:,رشتہ داروں کے حقوق سے,صرف تجارت سے,صرف سفر سے,صرف سیاست سے,A | رشتہ داروں کے حقوق سے,Medium,1,ULTRA,1
q_10_isl_b3_mcq_068,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | صلہ رحمی,Remember,قطع رحمی کا مطلب ہے:,رشتہ توڑنا,رشتہ جوڑنا,صدقہ دینا,معاف کرنا,A | رشتہ توڑنا,Medium,1,ULTRA,1
q_10_isl_b3_mcq_069,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | صلہ رحمی,Remember,صلہ رحمی سے بڑھتی ہے:,خاندانی محبت,بدگمانی,تنہائی,فساد,A | خاندانی محبت,Medium,1,ULTRA,1
q_10_isl_b3_mcq_070,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | صلہ رحمی,Remember,صلہ رحمی سے معاشرہ بنتا ہے:,مضبوط,کمزور,منقسم,غیر محفوظ,A | مضبوط,Medium,1,ULTRA,1
q_10_isl_b3_mcq_071,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | صلہ رحمی,Remember,قطع رحمی کا نتیجہ ہے:,خاندانی انتشار,اتحاد,محبت,اعتماد,A | خاندانی انتشار,Medium,1,ULTRA,1
q_10_isl_b3_mcq_072,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | صلہ رحمی,Remember,کامل صلہ رحمی یہ ہے کہ:,توڑنے والے سے جوڑا جائے,صرف تحفہ دیا جائے,صرف ملاقات ہو,صرف مال دیا جائے,A | توڑنے والے سے جوڑا جائے,Medium,1,ULTRA,1
q_10_isl_b3_mcq_073,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | صلہ رحمی,Remember,حضرت ابوبکر رضی اللہ عنہ کا واقعہ متعلق ہے:,مسطح رضی اللہ عنہ سے,حضرت بلال رضی اللہ عنہ سے,حضرت خالد رضی اللہ عنہ سے,حضرت زید رضی اللہ عنہ سے,A | مسطح رضی اللہ عنہ سے,Medium,1,ULTRA,1
q_10_isl_b3_mcq_074,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | صلہ رحمی,Remember,صلہ رحمی رزق میں لاتی ہے:,برکت,کمی,حرمت,رکاوٹ,A | برکت,Medium,1,ULTRA,1
q_10_isl_b3_mcq_075,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | صلہ رحمی,Remember,صلہ رحمی عمر میں لاتی ہے:,برکت,نقصان,مایوسی,غفلت,A | برکت,Medium,1,ULTRA,1
q_10_isl_b3_mcq_076,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | صلہ رحمی,Remember,اسلامی خاندان کی بنیاد ہے:,باہمی حقوق,قطع تعلق,حسد,بدگمانی,A | باہمی حقوق,Medium,1,ULTRA,1
q_10_isl_b3_mcq_077,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | صلہ رحمی,Remember,رشتہ دار کی غلطی پر بہتر رویہ ہے:,اصلاح و معافی,قطع تعلق,غیبت,انتقام,A | اصلاح و معافی,Medium,1,ULTRA,1
q_10_isl_b3_mcq_078,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | صلہ رحمی,Remember,صلہ رحمی سے پیدا ہوتا ہے:,سماجی استحکام,تفرقہ,نفرت,بداعتمادی,A | سماجی استحکام,Medium,1,ULTRA,1
q_10_isl_b3_mcq_079,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | خواتین کے ساتھ حسن سلوک,Remember,قرآن کا حکم ہے:,معاشرت بالمعروف,قطع رحمی,بدگمانی,اسراف,A | معاشرت بالمعروف,Medium,1,ULTRA,1
q_10_isl_b3_mcq_080,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | خواتین کے ساتھ حسن سلوک,Remember,بہترین شخص وہ ہے جو:,گھر والوں سے بہتر ہو,صرف مالدار ہو,صرف عالم ہو,صرف بہادر ہو,A | گھر والوں سے بہتر ہو,Medium,1,ULTRA,1
q_10_isl_b3_mcq_081,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | خواتین کے ساتھ حسن سلوک,Remember,بیٹیوں کی اچھی تربیت ہے:,باعث اجر,باعث ملامت,غیر ضروری,ممنوع,A | باعث اجر,Medium,1,ULTRA,1
q_10_isl_b3_mcq_082,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | خواتین کے ساتھ حسن سلوک,Remember,ماں کے احترام کی مثال ہے:,جنت قدموں میں,صرف تحفہ دینا,صرف ملاقات,صرف خدمت گار رکھنا,A | جنت قدموں میں,Medium,1,ULTRA,1
q_10_isl_b3_mcq_083,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | خواتین کے ساتھ حسن سلوک,Remember,نبی کریم ﷺ نے خواتین کو دیا:,عزت و احترام,تحقیر,نظر انداز,تعلیم سے محرومی,A | عزت و احترام,Medium,1,ULTRA,1
q_10_isl_b3_mcq_084,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | خواتین کے ساتھ حسن سلوک,Remember,حضرت فاطمہ رضی اللہ عنہا کے آنے پر نبی کریم ﷺ:,احترام کرتے,رخ موڑتے,خاموش رہتے,ملاقات نہ کرتے,A | احترام کرتے,Medium,1,ULTRA,1
q_10_isl_b3_mcq_085,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | خواتین کے ساتھ حسن سلوک,Remember,نبی کریم ﷺ نے خواتین کی تعلیم کو:,اہم سمجھا,غیر ضروری کہا,منع کیا,صرف امیروں تک رکھا,A | اہم سمجھا,Medium,1,ULTRA,1
q_10_isl_b3_mcq_086,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | خواتین کے ساتھ حسن سلوک,Remember,خواتین کے حقوق کی ادائیگی سے بڑھتا ہے:,معاشرتی استحکام,فساد,نفرت,بداعتمادی,A | معاشرتی استحکام,Medium,1,ULTRA,1
q_10_isl_b3_mcq_087,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | خواتین کے ساتھ حسن سلوک,Remember,گھر میں حسن معاشرت کا تقاضا ہے:,نرمی و احترام,سختی,تحقیر,قطع کلام,A | نرمی و احترام,Medium,1,ULTRA,1
q_10_isl_b3_mcq_088,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | خواتین کے ساتھ حسن سلوک,Remember,خواتین کی عزت کی حفاظت ہے:,اسلامی تعلیم,غیر ضروری,صرف رسم,صرف ثقافت,A | اسلامی تعلیم,Medium,1,ULTRA,1
q_10_isl_b3_mcq_089,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | خواتین کے ساتھ حسن سلوک,Remember,خواتین کے ساتھ حسن سلوک کی بنیاد ہے:,عدل و رحمت,تعصب,تکبر,بخل,A | عدل و رحمت,Medium,1,ULTRA,1
q_10_isl_b3_mcq_090,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | انداز تربیت,Remember,نبی کریم ﷺ کا انداز تربیت تھا:,حکیمانہ,تحقیر آمیز,سخت ہمیشہ,غیر منظم,A | حکیمانہ,Medium,1,ULTRA,1
q_10_isl_b3_mcq_091,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | انداز تربیت,Remember,تربیت میں اہم طریقہ تھا:,سوال و جواب,صرف سزا,صرف خاموشی,صرف تحریر,A | سوال و جواب,Medium,1,ULTRA,1
q_10_isl_b3_mcq_092,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | انداز تربیت,Remember,غلطی کی اصلاح کی جاتی تھی:,نرمی سے,تحقیر سے,ہمیشہ سزا سے,نظر انداز کرکے,A | نرمی سے,Medium,1,ULTRA,1
q_10_isl_b3_mcq_093,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | انداز تربیت,Remember,تربیت میں تدرج کا مطلب ہے:,مرحلہ وار تربیت,فوری سختی,صرف تقریر,صرف تحریر,A | مرحلہ وار تربیت,Medium,1,ULTRA,1
q_10_isl_b3_mcq_094,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | انداز تربیت,Remember,نبی کریم ﷺ مخاطب کے:,جذبات کا خیال رکھتے,جذبات نظر انداز کرتے,نام پوچھتے فقط,مال دیکھتے,A | جذبات کا خیال رکھتے,Medium,1,ULTRA,1
q_10_isl_b3_mcq_095,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | انداز تربیت,Remember,نبی کریم ﷺ حوصلہ افزائی کرتے:,اچھے عمل پر,غلطی پر,تکبر پر,سستی پر,A | اچھے عمل پر,Medium,1,ULTRA,1
q_10_isl_b3_mcq_096,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | انداز تربیت,Remember,حضرت انس رضی اللہ عنہ نے خدمت کی:,دس سال,پانچ سال,سات سال,بارہ سال,A | دس سال,Medium,1,ULTRA,1
q_10_isl_b3_mcq_097,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | انداز تربیت,Remember,حضرت معاذ رضی اللہ عنہ کو یمن بھیجنا مثال ہے:,اعتماد و ذمہ داری,بے اعتمادی,سختی,تنہائی,A | اعتماد و ذمہ داری,Medium,1,ULTRA,1
q_10_isl_b3_mcq_098,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | انداز تربیت,Remember,قیامت کے سوال پر جواب میں توجہ دلائی:,تیاری پر,تاریخ پر,مقام پر,نام پر,A | تیاری پر,Medium,1,ULTRA,1
q_10_isl_b3_mcq_099,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | انداز تربیت,Remember,تربیت کا مقصد تھا:,کردار سازی,مال جمع کرنا,شہرت,تفریح,A | کردار سازی,Medium,1,ULTRA,1
q_10_isl_b3_mcq_100,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | انداز تربیت,Remember,نبی کریم ﷺ کی تربیت میں نمایاں تھا:,رحمت و حکمت,تحقیر,غصہ,بے توجہی,A | رحمت و حکمت,Medium,1,ULTRA,1
