question_hash,active,topic,bloom_level,question,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
q_10_eng_ch1_086,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(d) Grammar Option | Hyphens and -ough Words",Apply,The word “cough” refers to:,even if; however,as much as needed,pass across,a sudden noise from the throat,D | a sudden noise from the throat,Medium,1,PRO,1
q_10_eng_ch1_087,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(d) Grammar Option | Hyphens and -ough Words",Apply,The word “rough” means:,as much as needed,even if; however,not smooth,an idea,C | not smooth,Medium,1,ULTRA,1
q_10_eng_ch1_088,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(d) Grammar Option | Hyphens and -ough Words",Apply,The word “enough” means:,a throat sound,as much as needed,not smooth,an idea,B | as much as needed,Medium,1,ULTRA,1
q_10_eng_ch1_089,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(d) Grammar Option | Hyphens and -ough Words",Apply,The word “thought” means:,an idea,not smooth,even if; however,pass across,A | an idea,Medium,1,PRO,1
q_10_eng_ch1_090,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(d) Grammar Option | Hyphens and -ough Words",Apply,The word “through” means:,a sudden throat noise,not smooth,an idea,pass across,D | pass across,Medium,1,ULTRA,1
q_10_eng_ch1_091,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(d) Grammar Option | Hyphens and -ough Words",Apply,The letters “-ough” are notable because they:,sound differently,sound the same,start all words,make plurals,A | sound differently,Medium,1,ELITE,1
q_10_eng_ch1_092,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(d) Grammar Option | Hyphens and -ough Words",Apply,A hyphen is mainly used to:,show possession,connect words or parts of words,end every sentence,mark a question,B | connect words or parts of words,Medium,1,ULTRA,1
sep_10_eng_ch1_mcq_009,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(d) Grammar Option | Process Approach to Writing",Topic,,,,,,,,,,1
q_10_eng_ch1_093,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(d) Grammar Option | Process Approach to Writing",Understand,Brainstorming means:,generate ideas,check spelling,add hyphens,read aloud,A | generate ideas,Medium,1,ULTRA,1
q_10_eng_ch1_094,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(d) Grammar Option | Process Approach to Writing",Understand,Mind-mapping means:,map ideas visually,memorize text,fix punctuation,change voice,A | map ideas visually,Medium,1,ULTRA,1
q_10_eng_ch1_095,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(d) Grammar Option | Process Approach to Writing",Understand,Structuring means:,organize ideas,write randomly,read poetry,find spellings,A | organize ideas,Medium,1,ELITE,1
q_10_eng_ch1_096,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(d) Grammar Option | Process Approach to Writing",Understand,Free writing means:,write freely,copy exactly,title only,proofread first,A | write freely,Medium,1,ULTRA,1
q_10_eng_ch1_097,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(d) Grammar Option | Process Approach to Writing",Understand,Note-taking means:,record key points,rewrite everything,list spellings,add imagery,A | record key points,Medium,1,ULTRA,1
q_10_eng_ch1_098,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(d) Grammar Option | Process Approach to Writing",Understand,A basic paragraph normally begins with a:,footnote,dialogue tag,topic sentence,closing sentence,C | topic sentence,Medium,1,ELITE,1
q_10_eng_ch1_099,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(d) Grammar Option | Process Approach to Writing",Understand,The middle of a paragraph mainly contains:,the final signature,supporting details,only the title,a glossary,B | supporting details,Medium,1,ELITE,1
q_10_eng_ch1_100,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q1(d) Grammar Option | Process Approach to Writing",Understand,A paragraph normally ends with a:,closing sentence,topic heading only,question mark only,word list,A | closing sentence,Medium,1,ELITE,1
sep_10_eng_ch1_mcq_010,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Textbook Direct Short-Option MCQs",Topic,,,,,,,,,,1
q_10_eng_ch1_101,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Textbook Direct Short-Option MCQs",Understand,“Howling like a hungry wolf” is a:,Metaphor,Hyperbole,Idiom,Simile,D | Simile,Medium,1,ELITE,1
q_10_eng_ch1_102,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Textbook Direct Short-Option MCQs",Understand,“His courage had turned to stone” is a:,Oxymoron,Alliteration,Metaphor,Simile,C | Metaphor,Medium,1,ELITE,1
q_10_eng_ch1_103,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Textbook Direct Short-Option MCQs",Understand,“Crash!” is an example of:,Idiom,Onomatopoeia,Simile,Metaphor,B | Onomatopoeia,Medium,1,ELITE,1
q_10_eng_ch1_104,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Textbook Direct Short-Option MCQs",Understand,“This storm will bury us alive!” is:,Hyperbole,Simile,Idiom,Alliteration,A | Hyperbole,Medium,1,ELITE,1
q_10_eng_ch1_105,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Textbook Direct Short-Option MCQs",Understand,“Bitter sweetness” is an:,Metaphor,Simile,Idiom,Oxymoron,D | Oxymoron,Medium,1,ELITE,1
q_10_eng_ch1_106,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Textbook Direct Short-Option MCQs",Understand,“Over my head” is an:,Metaphor,Hyperbole,Idiom,Simile,C | Idiom,Medium,1,ULTRA,1
q_10_eng_ch1_107,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Textbook Direct Short-Option MCQs",Understand,“Silently slipping sideways” shows:,Metaphor,Alliteration,Simile,Oxymoron,B | Alliteration,Medium,1,ELITE,1
q_10_eng_ch1_108,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Textbook Direct Short-Option MCQs",Remember,“Famished” means:,Hungry,Tired,Angry,Quiet,A | Hungry,Easy,1,ELITE,1
q_10_eng_ch1_109,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Textbook Direct Short-Option MCQs",Remember,“Ambiguous” means:,Simple,Certain,Bright,Unclear,D | Unclear,Easy,1,ELITE,1
q_10_eng_ch1_110,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Textbook Direct Short-Option MCQs",Remember,“Console” means:,Ignore,Question,Comfort,Criticize,C | Comfort,Easy,1,ELITE,1
q_10_eng_ch1_111,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Textbook Direct Short-Option MCQs",Remember,“Pummel” means:,Dry,Strike,Protect,Calm,B | Strike,Easy,1,ELITE,1
q_10_eng_ch1_112,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Textbook Direct Short-Option MCQs",Remember,“Kept her cool” means:,Stayed calm,Felt cold,Ran away,Spoke loudly,A | Stayed calm,Easy,1,ELITE,1
q_10_eng_ch1_113,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Textbook Direct Short-Option MCQs",Remember,"“Nothing ventured, nothing gained” is a:",Simile,Metaphor,Pronoun,Proverb,D | Proverb,Easy,1,ULTRA,1
q_10_eng_ch1_114,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Textbook Direct Short-Option MCQs",Remember,“Break the ice” is an:,Simile,Adjective,Idiom,Proverb,C | Idiom,Easy,1,ULTRA,1
q_10_eng_ch1_115,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Textbook Direct Short-Option MCQs",Remember,“Actions speak louder than words” is a:,Adverb,Proverb,Idiom,Metaphor,B | Proverb,Easy,1,ULTRA,1
